wikidata_qid,display_name,role,organization_ru,organization_qid,from_year,to_year,source_url
Q4424594,Смирнов Борис Леонидович,affiliation,Национальный медицинский университет имени А. А. Богомольца,Q4315019,,,https://www.wikidata.org/wiki/Q4424594
Q4424594,Смирнов Борис Леонидович,education,Императорская медико-хирургическая академия,Q38178366,,,https://www.wikidata.org/wiki/Q4424594
Q565707,Сталь-фон-Гольштейн Александр Августович,affiliation,Пекинский университет,Q16952,,,https://www.wikidata.org/wiki/Q565707
Q565707,Сталь-фон-Гольштейн Александр Августович,education,Берлинский университет,Q152087,,,https://www.wikidata.org/wiki/Q565707
Q565707,Сталь-фон-Гольштейн Александр Августович,education,Галле-Виттенбергский университет,Q32120,,,https://www.wikidata.org/wiki/Q565707
Q565707,Сталь-фон-Гольштейн Александр Августович,education,Гарвардский университет,Q13371,,,https://www.wikidata.org/wiki/Q565707
Q565707,Сталь-фон-Гольштейн Александр Августович,education,Дерптский университет,Q28024477,,,https://www.wikidata.org/wiki/Q565707
Q109485804,Тюляев Семён Иванович,affiliation,Институт востоковедения РАН,Q154528,,,https://www.wikidata.org/wiki/Q109485804
Q109485804,Тюляев Семён Иванович,education,Московский институт востоковедения,Q4304150,,,https://www.wikidata.org/wiki/Q109485804
Q111784145,Ульяновский Ростислав Александрович,education,Московский институт востоковедения,Q4304150,,,https://www.wikidata.org/wiki/Q111784145
Q1341741,Щербатской Фёдор Ипполитович,affiliation,Санкт-Петербургский государственный университет,Q27621,,,https://www.wikidata.org/wiki/Q1341741
Q1341741,Щербатской Фёдор Ипполитович,education,Императорский Царскосельский лицей,Q775909,,,https://www.wikidata.org/wiki/Q1341741
Q1341741,Щербатской Фёдор Ипполитович,education,Санкт-Петербургский государственный университет,Q27621,,,https://www.wikidata.org/wiki/Q1341741
