registry_id,full_name_ru,full_name_en,birth_year,death_year,field,role,affiliation,alma_mater,degree,wikidata_qid,orcid,source_url,status,note
RIND_bae26e83,Алексей Петрович Баранников,Aleksej Petrovič Barannikov,1890,1952,индология,индолог,СПбГУ,,доктор филологических наук,Q4077715,,https://www.wikidata.org/wiki/Q4077715,verified,
RIND_6cfb1a29,Анатолий Акимович Куценков,Anatolij Akimovič Kucenkov,1929,2020,"Экономика , социология , политология Индии","социолог , экономист",Центр индийских исследований Института востоковедения РАН,МГИМО МИД России ( 1951 ),доктор исторических наук,,,,candidate,
RIND_0eecea3f,Анвар Махмудович Касымов,Anvar Mahmudovič Kasymov,,,индология,индолог,,,доктор исторических наук,,,,candidate,
RIND_15a10473,Андрей Анатольевич Зализняк,Andrej Anatolʹevič Zaliznâk,1935,2017,лингвистика,"лингвист , диалектолог , преподаватель университета , филолог , переводчик","МГУ , Институт славяноведения РАН","филологический факультет МГУ , Сорбонна",доктор филологических наук,,,,candidate,
RIND_9628ede6,Андрей Иванович Востриков,Andrej Ivanovič Vostrikov,1902,1937,индология,индолог,ИВ АН СССР,,доктор филологических наук,Q502136,,https://www.wikidata.org/wiki/Q502136,verified,
RIND_dd13899d,Анна Александровна Ткачёва,Anna Aleksandrovna Tkačëva,,,"религиоведение , индология",учёный,Институт востоковедения РАН,,кандидат исторических наук,,,,candidate,
RIND_3297f31b,Анна Ароновна Суворова,Anna Aronovna Suvorova,1949,2023,востоковедение,"художественный критик , ориенталистка",ИВ РАН,Институт восточных языков при МГУ,доктор филологических наук,Q4445158,,https://www.wikidata.org/wiki/Q4445158,verified,
RIND_80da66ae,Борис Алексеевич Захарьин,Boris Alekseevič Zaharʹin,1942,,индология 2 и Indo-aryan philology [вд] 2,"лингвист-индолог , доктор филологических наук",ИСАА,ИСАА,доктор филологических наук,,,,candidate,
RIND_3fa9c724,Борис Владимирович Семичов,Boris Vladimirovič Semičov,,,индология,индолог,,,,,,,candidate,
RIND_624329f0,Борис Леонидович Огибенин,Boris Leonidovič Ogibenin,1940,2025,"лингвистика 2 , филология 2 , санскрит 2 и индоевропеистика 2","лингвист , филолог , преподаватель университета",Страсбургский университет,,кандидат филологических наук,,,,candidate,
RIND_62e1c507,Борис Леонидович Смирнов,Boris Leonidovič Smirnov,1891,1967,,врач,Туркменский государственный медицинский институт,Императорская военно-медицинская академия (1914),док. мед. наук,,,,candidate,
RIND_ae03005c,Валентина Вениаминовна Черновская,Valentina Veniaminovna Černovskaâ,,,,ориенталистка,ЯрГУ,,доктор исторических наук,,,,candidate,
RIND_2e3c3216,Валерий Алексеевич Пуляркин,Valerij Alekseevič Pulârkin,1930,2003,общественная география,"географ , регионалист , лингвист-индолог",Институт географии РАН,Кафедра экономической географии зарубежных стран МГУ,доктор географических наук,,,,candidate,
RIND_12e52989,Василий Васильевич Бродов,Vasilij Vasilʹevič Brodov,1912,1996,"философия, индийская философия","учёный , преподаватель университета , лингвист-индолог , йогин",Московская консерватория Институт философии АН СССР МГАХИ РНИМУ МГУ Всесоюзный заочный инженерно-строительный институт,ИФЛИ,доктор философских наук,,,,candidate,
RIND_802abfba,Василий Матвеевич Бескровный,Vasilij Matveevič Beskrovnyj,,,индология,индолог,ИВ РАН,,кандидат филологических наук,,,,candidate,
RIND_b31c5729,Вера Александровна Кочергина,Vera Aleksandrovna Kočergina,1924,2018,"лингвистика , словообразование","лингвистка , этимолог , профессор , филолог , лингвист-индолог",Московский государственный университет,филологический факультет МГУ,доктор филологических наук,,,,candidate,
RIND_ac659563,Виктор Викторович Голубев,Viktor Viktorovič Golubev,,,индология,индолог,,,,,,,candidate,
RIND_8e141a37,Владимир Иванович Кальянов,Vladimir Ivanovič Kalʹânov,1908,2001,"индология 2 , перевод на русский язык [вд] 2 и translation from Sanskrit [вд] 2","учёный , лингвист-индолог , переводчик",Институт восточных рукописей РАН,"Ленинградский институт истории, философии и лингвистики",доктор филологических наук,,,,candidate,
RIND_3be5cdf5,Владимир Николаевич Романов,Vladimir Nikolaevič Romanov,1947,2013,"история , востоковедение",учёный,Институт мировой культуры МГУ Институт востоковедения РАН Институт восточных культур и античности РГГУ,исторический факультет МГУ ( 1976 ),кандидат исторических наук,,,,candidate,
RIND_b4f905fa,Владимир Николаевич Топоров,Vladimir Nikolaevič Toporov,1928,2005,"филология , мифология , религиоведение , литературоведение","филолог , историк литературы , литературный критик , переводчик","Институт славяноведения РАН , РГГУ",филологический факультет МГУ (1951),доктор филологических наук (1988),,,,candidate,
RIND_cdb667ea,Владимир Святославович Воробьёв-Десятовский,Vladimir Svâtoslavovič Vorobʹëv-Desâtovskij,,,индология,индолог,ИВ АН СССР,,кандидат филологических наук,,,,candidate,
RIND_f8c2b453,Владислав Сергеевич Костюченко,Vladislav Sergeevič Kostûčenko,1934,,индология история философии,"лингвист-индолог , историк философии",МГУ имени М. В. Ломоносова,МГУ имени М. В. Ломоносова Институт народов Азии АН СССР,доктор философских наук,,,,candidate,
RIND_dd36b448,Всеволод Сергеевич Семенцов,Vsevolod Sergeevič Semencov,,,индология,индолог,ИВ АН СССР,,кандидат филологических наук,,,,candidate,
RIND_de1ed907,Вячеслав Всеволодович Иванов,Vâčeslav Vsevolodovič Ivanov,1929,2017,"лингвистика 6 , семиотика 6 , антропология , литературоведение , историческая лингвистика 6 , психолингвистика 6 , квантитативная лингвистика 6 и математическая лингвистика [вд] 6 6 […]","лингвист , поэт , историк , философ , переводчик , хеттолог , преподаватель университета , антрополог , филолог , редактор текста",Стэнфордский университет ИСл РАН 7 РГГУ Калифорнийский университет в Лос-Анджелесе 2 филологический факультет МГУ 8 философский факультет МГУ Йельский университет Калифорнийский университет Институт точной механики и вычислительной техники имени С. А. Лебедева 9,МГУ ( 1951 ),доктор филологических наук ( 1978 ),Q136485151,,https://www.wikidata.org/wiki/Q136485151,verified,
RIND_1ab83343,Галина Васильевна Сдасюк,Galina Vasilʹevna Sdasûk,1931,2024,общественная география,"географ , лингвист-индолог",географический факультет МГУ Индийский институт статистики [вд] Институт географии РАН,географический факультет МГУ ( 1954 ),доктор географических наук,,,,candidate,
RIND_065f7c1f,Георгий Александрович Зограф,Georgij Aleksandrovič Zograf,1928,1993,Индоарийские языки,"учёный , лингвист , переводчик",СПбФ ИВ РАН,ЛГУ имени А. А. Жданова,доктор филологических наук,Q124670547,,https://www.wikidata.org/wiki/Q124670547,verified,
RIND_4f692969,Герасим Степанович Лебедев,Gerasim Stepanovič Lebedev,,,индология,индолог,,,,,,,candidate,
RIND_14866c42,Григорий Григорьевич Котовский,Grigorij Grigorʹevič Kotovskij,1923,2001,"индология , история","востоковед , историк , общественный деятель , экономист",Институт востоковедения АН СССР (1956—2001),истфак МГУ,,,,,candidate,
RIND_b8a04932,Григорий Львович Бондаревский,Grigorij Lʹvovič Bondarevskij,1920,2003,,индолог,,,,Q4093157,,https://www.wikidata.org/wiki/Q4093157,verified,
RIND_7bda6368,Григорий Максимович Бонгард-Левин,Grigorij Maksimovič Bongard-Levin,1933,2008,"востоковедение , индология , история","историк , востоковед",Институт востоковедения РАН МГУ ИВИ РАН,ИСАА ( 1956 ),доктор исторических наук,Q3116666,,https://www.wikidata.org/wiki/Q3116666,verified,
RIND_f5d129d8,Григорий Фёдорович Ильин,Grigorij Fëdorovič Ilʹin,,,индология,индолог,ИВ АН СССР,,доктор исторических наук,,,,candidate,
RIND_68998522,Давид Беньяминович Зильберман,David Benʹâminovič Zilʹberman,1938,1977,индология,индолог,,,,Q4191868,,https://www.wikidata.org/wiki/Q4191868,verified,
RIND_04113f3d,Джой Иосифовна Эдельман,Džoj Iosifovna Èdelʹman,1930,,лингвистика,"лингвистка , иранистка , лингвист-индолог , преподаватель университета",Институт языкознания РАН,филологический факультет МГУ,доктор филологических наук,,,,candidate,
RIND_11ac77ee,Дмитрий Николаевич Кудрявский,Dmitrij Nikolaevič Kudrâvskij,,,индология,индолог,,,,,,,candidate,
RIND_fd287901,Дмитрий Николаевич Овсянико-Куликовский,Dmitrij Nikolaevič Ovsâniko-Kulikovskij,,,индология,индолог,,,,,,,candidate,
RIND_d63501e5,Ева Яковлевна Люстерник,Eva Âkovlevna Lûsternik,,,индология,индолог,,,доктор исторических наук,,,,candidate,
RIND_b65133ce,Евгений Михайлович Медведев,Evgenij Mihajlovič Medvedev,,,индология,индолог,ИВ АН СССР,,доктор исторических наук,,,,candidate,
RIND_51e8c8fa,Евгений Петрович Челышев,Evgenij Petrovič Čelyšev,1921,2020,"литературоведение , культурология 1 , востоковедение 1 , перевод , литература 1 , литература Индии 1 и философия 1","литературовед , культуролог , востоковед , переводчик , писатель , общественный деятель , преподаватель университета , лингвист-индолог , литературовед",Военный институт иностранных языков Институт востоковедения РАН МГИМО МИД России Отделение историко-филологических наук РАН Российский научно-исследовательский институт культурного и природного наследия имени Д. С. Лихачёва,Военный институт иностранных языков ( 1949 ),доктор филологических наук ( 1965 ),Q11499929,,https://www.wikidata.org/wiki/Q11499929,verified,
RIND_1e8e15e2,Евгения Юрьевна Ванина,Evgeniâ Ûrʹevna Vanina,1957,,индология,"учёный , лингвист-индолог",Институт востоковедения РАН МГИМО МИД России,ИСАА ( 1981 ),доктор исторических наук (2007),Q4103377,,https://www.wikidata.org/wiki/Q4103377,verified,
RIND_5964dde7,Залман Мовшевич Дымшиц,Zalman Movševič Dymšic,,,индология,индолог,,,доктор филологических наук,,,,candidate,
RIND_1672f0cd,Иван Павлович Минаев,Ivan Pavlovič Minaev,1840,1890,индология,индолог,,,,Q171275,,https://www.wikidata.org/wiki/Q171275,verified,
RIND_0606e272,Игорь Дмитриевич Серебряков,Igorʹ Dmitrievič Serebrâkov,1917,1998,"индология 2 , литература Индии 2 , санскрит 2 , индоарийские языки 2 и переводческая деятельность [вд] 2","лексикограф , лингвист , переводчик , лингвист-индолог",Военный институт иностранных языков Правда Институт востоковедения РАН,филологический факультет СПбГУ,доктор филологических наук,,,,candidate,
RIND_5a2e8fe2,Игорь Михайлович Рейснер,Igorʹ Mihajlovič Rejsner,,,индология,индолог,ИВ АН СССР,,доктор исторических наук,,,,candidate,
RIND_6c035857,Израиль Самойлович Рабинович,Izrailʹ Samojlovič Rabinovič,,,индология,индолог,,,доктор исторических наук,,,,candidate,
RIND_edf7919f,Ирина Игоревна Шептунова,Irina Igorevna Šeptunova,1942,2021,"искусствоведение , индология",,"ГИИ , ГМВ",,кандидат искусствоведения,,,,candidate,
RIND_d084c92b,Ирина Петровна Глушкова,Irina Petrovna Gluškova,1952,,индология,лингвистка,Институт востоковедения РАН,Институт стран Азии и Африки,кандидат филологических наук доктор исторических наук,Q253832,,https://www.wikidata.org/wiki/Q253832,verified,
RIND_8150f850,Клара Зармайровна Ашрафян,Klara Zarmajrovna Ašrafân,1924,1999,история Индии,"историк , лингвист-индолог",Институт востоковедения РАН,исторический факультет МГУ,доктор исторических наук,,,,candidate,
RIND_739b0ae4,Кока Александровна Антонова,Koka Aleksandrovna Antonova,1910,2007,"история 3 , востоковедение 3 и индология 3","историк , индолог , ориенталистка , лингвист-индолог",Институт мирового хозяйства и мировой политики АН СССР Институт востоковедения РАН,исторический факультет МГУ ( 1931 ),доктор исторических наук ( 1948 ),Q12486524,,https://www.wikidata.org/wiki/Q12486524,verified,
RIND_8ab218f0,Леонид Борисович Алаев,Leonid Borisovič Alaev,1932,2023,индология,"учёный , историк",Институт востоковедения РАН,истфак МГУ,доктор исторических наук,Q118356861,,https://www.wikidata.org/wiki/Q118356861,verified,
RIND_be85e70f,Людмила Васильевна Савельева,Lûdmila Vasilʹevna Savelʹeva,1933,2016,,учёный,Институт восточных рукописей РАН,Восточный факультет ЛГУ ( 1956 ),кандидат филологических наук,,,,candidate,
RIND_df31e227,Людмила Васильевна Шапошникова,Lûdmila Vasilʹevna Šapošnikova,1926,2015,история,"писательница , этнолог , историк",Международный Центр Рерихов,истфак МГУ,кандидат исторических наук,,,,candidate,
RIND_869cc5d2,Маргарита Иосифовна Воробьёва-Десятовская,Margarita Iosifovna Vorobʹëva-Desâtovskaâ,1933,2021,востоковедение,ориенталистка,Институт восточных рукописей РАН,Восточный факультет ЛГУ ( 1955 ),"доктор исторических наук , кандидат филологических наук",,,,candidate,
RIND_c51e4d75,Марина Валерьевна Орельская,Marina Valerʹevna Orelʹskaâ,1968,,индология санскрит хинди бенгали искусствоведение литература,учёный,,Восточный факультет СПбГУ,кандидат филологических наук и доктор философии,,,,candidate,
RIND_2133fca6,Михаил Дмитриевич Бухарин,Mihail Dmitrievič Buharin,1971,,история Древнего Востока,"востоковед , лингвист-индолог , преподаватель университета",Институт всеобщей истории РАН,истфак МГУ,доктор исторических наук (2007),,,,candidate,
RIND_8ac86e31,Михаил Сергеевич Андронов,Mihail Sergeevič Andronov,1931,2008,,"филолог , лингвист",,Московский институт востоковедения,доктор филологических наук,,,,candidate,
RIND_d4baaabe,Михаил Яковлевич Калинович,Mihail Âkovlevič Kalinovič,,,индология,индолог,,,,,,,candidate,
RIND_b37d113c,Наталия Васильевна Исаева,Nataliâ Vasilʹevna Isaeva,1954,2022,"История философии и религии , индология",историк,Институт востоковедения РАН Вольфсон-колледж [вд],философский факультет МГУ ( 1976 ),доктор исторических наук,,,,candidate,
RIND_f7ecc30b,Наталья Ивановна Толстая,Natalʹâ Ivanovna Tolstaâ,1926,2003,,"переводчица , востоковед , редактор , литературовед",,,,Q124670547,,https://www.wikidata.org/wiki/Q124670547,verified,
RIND_44df5374,Наталья Михайловна Сазанова,Natalʹâ Mihajlovna Sazanova,1932,2006,востоковедение индология,учёный,Всероссийская государственная библиотека иностранной литературы имени М. И. Рудомино ИСАА,исторический факультет МГУ ( 1954 ),доктор филологических наук,,,,candidate,
RIND_53cce0ec,Наталья Романовна Гусева,Natalʹâ Romanovna Guseva,1914,2010,"индология , этнография , история","лингвист-индолог , этнограф",шинный завод « Красный треугольник » в Ленинграде 3 ; Институт востоковедения РАН 3 4 ; Институт этнологии и антропологии имени Н. Н. Миклухо-Маклая РАН 3 4,Ленинградский государственный университет (1940) 3 4,доктор исторических наук (1978) 3 4,Q4152723,,https://www.wikidata.org/wiki/Q4152723,verified,
RIND_5eb5f1f4,Николай Дмитриевич Миронов,Nikolaj Dmitrievič Mironov,,,индология,индолог,,,,,,,candidate,
RIND_45d9e0c5,Николай Петрович Аникеев,Nikolaj Petrovič Anikeev,1925,2007,индология,"философ , лингвист-индолог , переводчик",Институт философии АН СССР,Московский институт востоковедения,доктор философских наук,,,,candidate,
RIND_4b16638b,Олег Валерьевич Перзашкевич,Oleg Valerʹevič Perzaškevič,,,индология,индолог,,,,,,,candidate,
RIND_fd17be1e,Олег Георгиевич Ульциферов,Oleg Georgievič Ulʹciferov,1932,2014,"индология , лингвистика индийских языков.","лингвист-индолог , лингвист , преподаватель университета",МГИМО,МГИМО МИД России Московский институт востоковедения,доктор филологических наук,,,,candidate,
RIND_78715f08,Оскар Эмильевич Визель,Oskar Èmilʹevič Vizelʹ,,,индология,индолог,,,,,,,candidate,
RIND_034456a2,Оттон Николаевич Бётлингк,Otton Nikolaevič Bëtlingk,1815,1904,индология,индолог,,,,Q76423,,https://www.wikidata.org/wiki/Q76423,verified,
RIND_ea18b318,Павел Александрович Гринцер,Pavel Aleksandrovič Grincer,1928,2009,,филолог,Институт мировой литературы имени А. М. Горького РАН РГГУ,МГУ (1951),доктор филологических наук,,,,candidate,
RIND_ef070124,Павел Яковлевич Петров,Pavel Âkovlevič Petrov,,,индология,индолог,,,,,,,candidate,
RIND_a5330508,Пётр Михайлович Шаститко,Pëtr Mihajlovič Šastitko,1923,2009,"востоковедение , индология",востоковед,Институт востоковедения РАН,Московский институт востоковедения,доктор исторических наук,,,,candidate,
RIND_a9abebd1,Роберт Христианович Ленц,Robert Hristianovič Lenc,,,индология,индолог,,,,,,,candidate,
RIND_dd7c787b,Розалия Осиповна Шор,Rozaliâ Osipovna Šor,,,индология,индолог,,,доктор филологических наук,,,,candidate,
RIND_759d8e52,Ростислав Александрович Ульяновский,Rostislav Aleksandrovič Ulʹânovskij,1904,1995,,,,,доктор экономических наук,,,,candidate,
RIND_fbe74154,Ростислав Борисович Рыбаков,Rostislav Borisovič Rybakov,1938,2019,"индология , религиоведение",востоковед,Институт востоковедения РАН,Институт стран Азии и Африки 2 при МГУ им. М. В. Ломоносова,доктор исторических наук 3,Q4401411,,https://www.wikidata.org/wiki/Q4401411,verified,
RIND_514f0ef6,Семён Иванович Тюляев,Semën Ivanovič Tûlâev,1898,1993,"искусствоведение , индология , востоковедение",,"Государственный музей восточных культур , Институт народов Азии АН СССР",Московский институт востоковедения,доктор искусствоведения,,,,candidate,
RIND_de6b2c86,Сергей Константинович Булич,Sergej Konstantinovič Bulič,,,индология,индолог,,,,,,,candidate,
RIND_da3e06ff,Сергей Фёдорович Ольденбург,Sergej Fëdorovič Olʹdenburg,1863,1934,индология,индолог,АН,,доктор филологических наук,Q171848,,https://www.wikidata.org/wiki/Q171848,verified,
RIND_9acc2eae,Сергей Фридрихович Левин,Sergej Fridrihovič Levin,,,индология,индолог,,,,,,,candidate,
RIND_01b62642,Татьяна Львовна Шаумян,Tatʹâna Lʹvovna Šaumân,1938,,востоковедение,ориенталистка,Институт востоковедения РАН,исторический факультет МГУ ( 1960 ),кандидат исторических наук,,,,candidate,
RIND_1058b44f,Фёдор Ипполитович Щербатской,Fëdor Ippolitovič Ŝerbatskoj,1866,1942,индология,индолог,АН СССР,,доктор филологических наук,Q1341741,,https://www.wikidata.org/wiki/Q1341741,verified,
RIND_450a0cf6,Фёдор Фёдорович Болензен,Fëdor Fëdorovič Bolenzen,,,индология,индолог,,,,,,,candidate,
RIND_c2d6a988,Энвер Ахмедович Макаев,Ènver Ahmedovič Makaev,1916,2004,"сравнительное языкознание 3 , лингвистика 3 , история лингвистики 3 , германистика 3 и морфология 3","арменист , лингвист , германист , преподаватель университета",Институт языкознания РАН,МГЛУ,доктор филологических наук,,,,candidate,
RIND_bebab441,Юрий Михайлович Павлов,Ûrij Mihajlovič Pavlov,1934,2007,религиоведение индология индийская философия социальная философия политология экономика,"философ , политолог , лингвист-индолог",философский факультет МГУ,исторический факультет МГУ ( 1956 ),доктор философских наук,,,,candidate,
RIND_ae1d8b00,Юрий Николаевич Рерих,Ûrij Nikolaevič Rerih,,,индология,индолог,ИВ АН СССР,,доктор филологических наук,,,,candidate,
RIND_5dcc2bfe,Юрий Яковлевич Глазов,Ûrij Âkovlevič Glazov,1929,1998,индология,индолог,,,кандидат филологических наук,Q75186213,,https://www.wikidata.org/wiki/Q75186213,verified,
