registry_id,display_name,full_name_ru,full_name_en,birth_year,death_year,wikidata_qid,source_url,ruwiki_url,description_ru,occupations_ru,status,note
RIND_1058b44f,Щербатской Фёдор Ипполитович,Щербатской Фёдор Ипполитович,Fyodor Shcherbatskoy,1866,1942,Q1341741,https://www.wikidata.org/wiki/Q1341741,https://ru.wikipedia.org/wiki/%D0%A9%D0%B5%D1%80%D0%B1%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B9%2C_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%98%D0%BF%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%BE%D0%B2%D0%B8%D1%87,русский и советский востоковед (1866-1942),философ; востоковед; лингвист-индолог,verified,
RIND_5ac74908,Сталь-фон-Гольштейн Александр Августович,Сталь-фон-Гольштейн Александр Августович,Alexander von Staël-Holstein,1877,1937,Q565707,https://www.wikidata.org/wiki/Q565707,https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%BB%D1%8C-%D1%84%D0%BE%D0%BD-%D0%93%D0%BE%D0%BB%D1%8C%D1%88%D1%82%D0%B5%D0%B9%D0%BD%2C_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%BE%D0%B2%D0%B8%D1%87,Baltic German orientalist (1877-1937),лингвист; политик; востоковед; синолог; лингвист-индолог; East Asian studies scholar,verified,
RIND_1777ba54,Мерварт Александр Михайлович,Мерварт Александр Михайлович,Alexander Mervart,1884,1932,Q3523976,https://www.wikidata.org/wiki/Q3523976,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%B2%D0%B0%D1%80%D1%82%2C_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,российский этнограф и лингвист немецкого происхождения,антрополог; лингвист; этнограф; этнолог; лингвист-индолог; историк; учитель,verified,
RIND_bae26e83,Баранников Алексей Петрович,Баранников Алексей Петрович,Alekseĭ Petrovich Barannikov,1890,1952,Q4077715,https://www.wikidata.org/wiki/Q4077715,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%2C_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,востоковед,филолог; лингвист-индолог; писатель; преподаватель университета,verified,
RIND_62e1c507,Смирнов Борис Леонидович,Смирнов Борис Леонидович,Boris Smirnov,1891,1967,Q4424594,https://www.wikidata.org/wiki/Q4424594,https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2%2C_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,physician (1891-1967),врач,verified,
RIND_514f0ef6,Тюляев Семён Иванович,Тюляев Семён Иванович,Semyon Tyulyaev,1898,1993,Q109485804,https://www.wikidata.org/wiki/Q109485804,https://ru.wikipedia.org/wiki/%D0%A2%D1%8E%D0%BB%D1%8F%D0%B5%D0%B2%2C_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Soviet indologist,лингвист-индолог; историк искусства,verified,
,Обермиллер Евгений Евгеньевич,Обермиллер Евгений Евгеньевич,Eugène Obermiller,1901,1935,Q1633918,https://www.wikidata.org/wiki/Q1633918,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%B5%D1%80%D0%BC%D0%B8%D0%BB%D0%BB%D0%B5%D1%80%2C_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87,Russian orientalist (1901–1935),востоковед; тибетолог,verified,
RIND_9628ede6,Востриков Андрей Иванович,Востриков Андрей Иванович,Andrei Vostrikov,1902,1937,Q502136,https://www.wikidata.org/wiki/Q502136,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%82%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%2C_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Russian academician (1902-1937),востоковед,disputed,"birth_year disputed on Wikidata: chose 1902, also attested 1904"
,Рерих Юрий Николаевич,Рерих Юрий Николаевич,George de Roerich,1902,1960,Q358957,https://www.wikidata.org/wiki/Q358957,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%80%D0%B8%D1%85%2C_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87,"русский востоковед, лингвист, искусствовед, этнограф, путешественник",путешественник-исследователь; диалектолог; переводчик; преподаватель университета; востоковед,verified,
RIND_759d8e52,Ульяновский Ростислав Александрович,Ульяновский Ростислав Александрович,Rostislav Ulyanovsky,1904,1995,Q111784145,https://www.wikidata.org/wiki/Q111784145,https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%2C_%D0%A0%D0%BE%D1%81%D1%82%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,Soviet historian,востоковед; историк; экономист,verified,
RIND_8e141a37,Кальянов Владимир Иванович,Кальянов Владимир Иванович,Vladimir Kalyanov,1908,2001,Q4210614,https://www.wikidata.org/wiki/Q4210614,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%2C_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,советский индолог,учёный; лингвист-индолог; переводчик,verified,
RIND_739b0ae4,Антонова Кока Александровна,Антонова Кока Александровна,Koka Antonova,1910,2007,Q19933264,https://www.wikidata.org/wiki/Q19933264,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0%2C_%D0%9A%D0%BE%D0%BA%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,Soviet Indologist specialising in medieval and modern Indian history,историк; индолог; востоковед; лингвист-индолог,verified,
RIND_12e52989,Бродов Василий Васильевич,Бродов Василий Васильевич,Vasily Brodov,1912,1996,Q15064697,https://www.wikidata.org/wiki/Q15064697,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%BE%D0%B4%D0%BE%D0%B2%2C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87,Soviet philosopher,учёный; преподаватель университета; лингвист-индолог; йогин,verified,
RIND_53cce0ec,Гусева Наталья Романовна,Гусева Наталья Романовна,Natalya Guseva,1914,2010,Q4152723,https://www.wikidata.org/wiki/Q4152723,https://ru.wikipedia.org/wiki/%D0%93%D1%83%D1%81%D0%B5%D0%B2%D0%B0%2C_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0,российский этнограф и индолог (1914-2010),лингвист-индолог; этнограф,verified,
RIND_c2d6a988,Макаев Энвер Ахмедович,Макаев Энвер Ахмедович,Enver Makaev,1916,2004,Q4275228,https://www.wikidata.org/wiki/Q4275228,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D0%B5%D0%B2%2C_%D0%AD%D0%BD%D0%B2%D0%B5%D1%80_%D0%90%D1%85%D0%BC%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,Soviet linguist,арменист; лингвист; германист; преподаватель университета,verified,
RIND_0606e272,Серебряков Игорь Дмитриевич,Серебряков Игорь Дмитриевич,Igor Serebryakov,1917,1998,Q658050,https://www.wikidata.org/wiki/Q658050,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D1%8F%D0%BA%D0%BE%D0%B2%2C_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87,советский и российский индолог и санскритолог,лексикограф; лингвист; переводчик; лингвист-индолог,verified,
