post_id,year,tier,is_outlier,score,percentile
619,2015,mid_high,0,7.0,0.5241
761,2015,mid_high,0,7.0,0.5258
793,2015,mid_high,0,7.0,0.5275
795,2015,mid_high,0,7.0,0.5292
821,2015,mid_high,0,7.0,0.5309
832,2015,mid_high,0,7.0,0.5326
847,2015,mid_high,0,7.0,0.5344
855,2015,mid_high,0,7.0,0.5361
873,2015,mid_high,0,7.0,0.5378
12,2015,mid_high,0,8.0,0.5395
76,2015,mid_high,0,8.0,0.5412
83,2015,mid_high,0,8.0,0.543
122,2015,mid_high,0,8.0,0.5447
126,2015,mid_high,0,8.0,0.5464
190,2015,mid_high,0,8.0,0.5481
195,2015,mid_high,0,8.0,0.5498
238,2015,mid_high,0,8.0,0.5515
243,2015,mid_high,0,8.0,0.5533
318,2015,mid_high,0,8.0,0.555
507,2015,mid_high,0,8.0,0.5567
542,2015,mid_high,0,8.0,0.5584
563,2015,mid_high,0,8.0,0.5601
578,2015,mid_high,0,8.0,0.5619
601,2015,mid_high,0,8.0,0.5636
616,2015,mid_high,0,8.0,0.5653
618,2015,mid_high,0,8.0,0.567
746,2015,mid_high,0,8.0,0.5687
772,2015,mid_high,0,8.0,0.5704
787,2015,mid_high,0,8.0,0.5722
880,2015,mid_high,0,8.0,0.5739
883,2015,mid_high,0,8.0,0.5756
84,2015,mid_high,0,9.0,0.5773
107,2015,mid_high,0,9.0,0.579
128,2015,mid_high,0,9.0,0.5808
154,2015,mid_high,0,9.0,0.5825
182,2015,mid_high,0,9.0,0.5842
216,2015,mid_high,0,9.0,0.5859
254,2015,mid_high,0,9.0,0.5876
315,2015,mid_high,0,9.0,0.5893
326,2015,mid_high,0,9.0,0.5911
343,2015,mid_high,0,9.0,0.5928
347,2015,mid_high,0,9.0,0.5945
352,2015,mid_high,0,9.0,0.5962
353,2015,mid_high,0,9.0,0.5979
418,2015,mid_high,0,9.0,0.5997
471,2015,mid_high,0,9.0,0.6014
532,2015,mid_high,0,9.0,0.6031
580,2015,mid_high,0,9.0,0.6048
596,2015,mid_high,0,9.0,0.6065
660,2015,mid_high,0,9.0,0.6082
663,2015,mid_high,0,9.0,0.61
694,2015,mid_high,0,9.0,0.6117
705,2015,mid_high,0,9.0,0.6134
728,2015,mid_high,0,9.0,0.6151
737,2015,mid_high,0,9.0,0.6168
740,2015,mid_high,0,9.0,0.6186
755,2015,mid_high,0,9.0,0.6203
812,2015,mid_high,0,9.0,0.622
829,2015,mid_high,0,9.0,0.6237
170,2015,mid_high,0,10.0,0.6254
248,2015,mid_high,0,10.0,0.6271
281,2015,mid_high,0,10.0,0.6289
300,2015,mid_high,0,10.0,0.6306
533,2015,mid_high,0,10.0,0.6323
541,2015,mid_high,0,10.0,0.634
581,2015,mid_high,0,10.0,0.6357
589,2015,mid_high,0,10.0,0.6375
791,2015,mid_high,0,10.0,0.6392
800,2015,mid_high,0,10.0,0.6409
100,2015,mid_high,0,11.0,0.6426
162,2015,mid_high,0,11.0,0.6443
250,2015,mid_high,0,11.0,0.646
270,2015,mid_high,0,11.0,0.6478
294,2015,mid_high,0,11.0,0.6495
486,2015,mid_high,0,11.0,0.6512
521,2015,mid_high,0,11.0,0.6529
592,2015,mid_high,0,11.0,0.6546
605,2015,mid_high,0,11.0,0.6564
687,2015,mid_high,0,11.0,0.6581
688,2015,mid_high,0,11.0,0.6598
801,2015,mid_high,0,11.0,0.6615
818,2015,mid_high,0,11.0,0.6632
825,2015,mid_high,0,11.0,0.6649
210,2015,mid_high,0,12.0,0.6667
223,2015,mid_high,0,12.0,0.6684
241,2015,mid_high,0,12.0,0.6701
464,2015,mid_high,0,12.0,0.6718
506,2015,mid_high,0,12.0,0.6735
508,2015,mid_high,0,12.0,0.6753
607,2015,mid_high,0,12.0,0.677
629,2015,mid_high,0,12.0,0.6787
730,2015,mid_high,0,12.0,0.6804
776,2015,mid_high,0,12.0,0.6821
785,2015,mid_high,0,12.0,0.6838
14,2015,mid_high,0,13.0,0.6856
48,2015,mid_high,0,13.0,0.6873
138,2015,mid_high,0,13.0,0.689
309,2015,mid_high,0,13.0,0.6907
470,2015,mid_high,0,13.0,0.6924
543,2015,mid_high,0,13.0,0.6942
544,2015,mid_high,0,13.0,0.6959
750,2015,mid_high,0,13.0,0.6976
786,2015,mid_high,0,13.0,0.6993
828,2015,mid_high,0,13.0,0.701
849,2015,mid_high,0,13.0,0.7027
9,2015,mid_high,0,14.0,0.7045
171,2015,mid_high,0,14.0,0.7062
205,2015,mid_high,0,14.0,0.7079
208,2015,mid_high,0,14.0,0.7096
263,2015,mid_high,0,14.0,0.7113
271,2015,mid_high,0,14.0,0.7131
403,2015,mid_high,0,14.0,0.7148
582,2015,mid_high,0,14.0,0.7165
590,2015,mid_high,0,14.0,0.7182
602,2015,mid_high,0,14.0,0.7199
779,2015,mid_high,0,14.0,0.7216
24,2015,mid_high,0,15.0,0.7234
26,2015,mid_high,0,15.0,0.7251
52,2015,mid_high,0,15.0,0.7268
54,2015,mid_high,0,15.0,0.7285
58,2015,mid_high,0,15.0,0.7302
66,2015,mid_high,0,15.0,0.732
290,2015,mid_high,0,15.0,0.7337
437,2015,mid_high,0,15.0,0.7354
491,2015,mid_high,0,15.0,0.7371
674,2015,mid_high,0,15.0,0.7388
734,2015,mid_high,0,15.0,0.7405
749,2015,mid_high,0,15.0,0.7423
834,2015,mid_high,0,15.0,0.744
843,2015,mid_high,0,15.0,0.7457
33,2015,mid_high,0,16.0,0.7474
40,2015,mid_high,0,16.0,0.7491
88,2015,high,0,16.0,0.7509
522,2015,high,0,16.0,0.7526
575,2015,high,0,16.0,0.7543
683,2015,high,0,16.0,0.756
782,2015,high,0,16.0,0.7577
68,2015,high,0,17.0,0.7595
95,2015,high,0,17.0,0.7612
476,2015,high,0,17.0,0.7629
525,2015,high,0,17.0,0.7646
622,2015,high,0,17.0,0.7663
722,2015,high,0,17.0,0.768
280,2015,high,0,18.0,0.7698
312,2015,high,0,18.0,0.7715
364,2015,high,0,18.0,0.7732
560,2015,high,0,18.0,0.7749
633,2015,high,0,18.0,0.7766
774,2015,high,0,18.0,0.7784
27,2015,high,0,19.0,0.7801
31,2015,high,0,19.0,0.7818
244,2015,high,0,19.0,0.7835
277,2015,high,0,19.0,0.7852
361,2015,high,0,19.0,0.7869
707,2015,high,0,19.0,0.7887
736,2015,high,0,19.0,0.7904
770,2015,high,0,19.0,0.7921
811,2015,high,0,19.0,0.7938
514,2015,high,0,20.0,0.7955
546,2015,high,0,20.0,0.7973
867,2015,high,0,20.0,0.799
115,2015,high,0,21.0,0.8007
118,2015,high,0,21.0,0.8024
339,2015,high,0,21.0,0.8041
469,2015,high,0,21.0,0.8058
613,2015,high,0,21.0,0.8076
675,2015,high,0,21.0,0.8093
695,2015,high,0,21.0,0.811
713,2015,high,0,21.0,0.8127
731,2015,high,0,21.0,0.8144
766,2015,high,0,21.0,0.8162
809,2015,high,0,21.0,0.8179
835,2015,high,0,21.0,0.8196
20,2015,high,0,22.0,0.8213
255,2015,high,0,22.0,0.823
534,2015,high,0,22.0,0.8247
628,2015,high,0,22.0,0.8265
842,2015,high,0,22.0,0.8282
141,2015,high,0,23.0,0.8299
677,2015,high,0,23.0,0.8316
22,2015,high,0,24.0,0.8333
197,2015,high,0,24.0,0.8351
239,2015,high,0,24.0,0.8368
485,2015,high,0,24.0,0.8385
732,2015,high,0,24.0,0.8402
17,2015,high,0,25.0,0.8419
261,2015,high,0,25.0,0.8436
276,2015,high,0,25.0,0.8454
286,2015,high,0,25.0,0.8471
302,2015,high,0,25.0,0.8488
623,2015,high,0,25.0,0.8505
804,2015,high,0,25.0,0.8522
852,2015,high,0,25.0,0.854
275,2015,high,0,26.0,0.8557
483,2015,high,0,26.0,0.8574
512,2015,high,0,26.0,0.8591
781,2015,high,0,26.0,0.8608
851,2015,high,0,26.0,0.8625
857,2015,high,0,26.0,0.8643
1,2015,high,0,27.0,0.866
19,2015,high,0,27.0,0.8677
174,2015,high,0,27.0,0.8694
230,2015,high,0,27.0,0.8711
298,2015,high,0,27.0,0.8729
477,2015,high,0,27.0,0.8746
484,2015,high,0,27.0,0.8763
397,2015,high,0,28.0,0.878
