person_id,display_name,n_talks,years,series,raw_affils,source_url
PERS_4a0de87e,Белимова Влада Сергеевна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_61de659d,Белов Владимир Николаевич,1,2020,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_d01427ca,Бещук Юлия Владимировна,1,2026,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_9bf51055,В. М. Шелкович,1,2006,Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_e4aab278,Возчиков Дмитрий Викторович,1,2026,Zograf Readings / Зографские чтения,Екатеринбург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_42da4866,Г. Д. Стукалин,1,2019,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view
PERS_51524b11,Гладкова Анна Геннадьевна,1,2025,Zograf Readings / Зографские чтения,СПб.,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_44440578,Грановская Хелена,1,2026,Zograf Readings / Зографские чтения,Тель-Авив,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_142b5c2b,Д. Н. Парамонов,1,2011,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_7700f517,Д. О. Парамонов,1,2010,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view
PERS_e30ad8b7,Д.С. Гавриков,1,2022,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view
PERS_5f6689e8,Дмитриева Виктория Алексеевна,1,2025,Zograf Readings / Зографские чтения,СПб.,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_c2ffc606,Драчук Андрей Олегович,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_2b7ca933,Е. В. Танонова,1,2011,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_3d4df70f,Е. О. Акимушкина,1,2012,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_6f89f9c1,Е. Р. Крючкова,1,2006,Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_30b54681,Е. С. Бушуев,1,2011,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_6b867946,Е. В. Смирнова,1,2014,Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view
PERS_3fd690ee,Е. Л. Комиссарук,1,2018,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_bdaaf440,Е.В.Слинько,1,2004,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view
PERS_94f33410,Застрожнова Евгения Григорьевна,1,2026,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_900efc73,Зевацкий Тимофей Юрьевич,1,2025,Zograf Readings / Зографские чтения,СПб.,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_35a30342,И. О. Негреев,1,2018,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_a1484b38,Кавалевская А. П.,1,2021,Zograf Readings / Зографские чтения,Гамбург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view
PERS_92f41884,Касым Софья Васильевна,1,2026,Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_fb73fb38,Кешарпу Екатерина Витальевна,1,2026,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view
PERS_467d4dbb,Клебанов А. А.,1,2021,Zograf Readings / Зографские чтения,Киото,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view
PERS_af811d47,Корнеева Татьяна Георгиевна,1,2020,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_f5a69b65,Кройцер Светлана Александровна,1,2025,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_9366fe2c,Крыштоп Людмила Эдуардовна,1,2020,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_40f75cf9,Л.Г. Роман,1,2022,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view
PERS_29607432,Лапшин Иван Евгеньевич,1,2020,Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
