axis,category,term,document_frequency,category_title_share_pct
l1,other,индия,7,30.43
l1,other,конференция,7,30.43
l1,other,слово,6,26.09
l1,other,открытие,5,21.74
l1,other,приветственный,5,21.74
l1,other,выступление,4,17.39
l1,other,культура,2,8.7
l1,other,текст,2,8.7
l1,pedagogy_applied,хинди,2,100.0
l1,philosophy,философия,46,19.17
l1,philosophy,индия,36,15.0
l1,philosophy,буддизм,21,8.75
l1,philosophy,абхинавагупта,14,5.83
l1,philosophy,учение,14,5.83
l1,philosophy,концепция,13,5.42
l1,philosophy,текст,13,5.42
l1,philosophy,традиция,12,5.0
l1,philosophy,васубандх,11,4.58
l1,philosophy,кашмирский,11,4.58
l1,philosophy,понятие,10,4.17
l1,philosophy,сознание,9,3.75
l1,religion,буддизм,54,15.61
l1,religion,текст,49,14.16
l1,religion,традиция,33,9.54
l1,religion,образ,23,6.65
l1,religion,индия,22,6.36
l1,religion,ритуал,22,6.36
l1,religion,будда,21,6.07
l1,religion,культ,17,4.91
l1,religion,тантра,14,4.05
l1,religion,пураны,13,3.76
l1,religion,канон,13,3.76
l1,religion,тибет,12,3.47
l1,tibetology,тибет,4,100.0
l1,tibetology,буддизм,2,50.0
l1,tibetology,рукопись,2,50.0
l2,classical,индия,58,10.55
l2,classical,буддизм,54,9.82
l2,classical,текст,50,9.09
l2,classical,санскрит,46,8.36
l2,classical,традиция,32,5.82
l2,classical,древнеиндийский,25,4.55
l2,classical,философия,23,4.18
l2,classical,литература,20,3.64
l2,classical,поэзия,20,3.64
l2,classical,пали,19,3.45
l2,classical,будда,19,3.45
l2,classical,термин,17,3.09
l2,colonial,индия,29,25.89
l2,colonial,история,12,10.71
l2,colonial,минаев,10,8.93
l2,colonial,коллекция,9,8.04
l2,colonial,бенгальский,8,7.14
l2,colonial,текст,7,6.25
l2,colonial,лебедев,6,5.36
l2,colonial,рукопись,6,5.36
l2,colonial,возрождение,6,5.36
l2,colonial,традиционный,6,5.36
l2,colonial,культурный,5,4.46
l2,colonial,мыслитель,5,4.46
l2,contemporary,индия,28,25.0
l2,contemporary,современный,13,11.61
l2,contemporary,текст,11,9.82
l2,contemporary,традиция,9,8.04
l2,contemporary,язык,9,8.04
l2,contemporary,новый,8,7.14
l2,contemporary,хинди,7,6.25
l2,contemporary,литература,6,5.36
l2,contemporary,ланка,6,5.36
l2,contemporary,театр,6,5.36
l2,contemporary,диаспора,6,5.36
l2,contemporary,ритуал,6,5.36
l2,medieval,средневековый,29,9.76
l2,medieval,индия,27,9.09
l2,medieval,текст,24,8.08
l2,medieval,образ,22,7.41
l2,medieval,буддизм,22,7.41
l2,medieval,тибет,18,6.06
l2,medieval,традиция,17,5.72
l2,medieval,поэзия,16,5.39
l2,medieval,литература,14,4.71
l2,medieval,бхакти,13,4.38
l2,medieval,собрание,12,4.04
l2,medieval,тамильский,12,4.04
l2,modern,индия,19,13.67
l2,modern,юрий_рерих,17,12.23
l2,modern,язык,14,10.07
l2,modern,философия,12,8.63
l2,modern,история,10,7.19
l2,modern,рерих,9,6.47
l2,modern,буддизм,8,5.76
l2,modern,бенгальский,8,5.76
l2,modern,поэзия,8,5.76
l2,modern,хинди,7,5.04
l2,modern,современный,7,5.04
l2,modern,перевод,7,5.04
l2,unspecified,индия,16,21.62
l2,unspecified,язык,11,14.86
l2,unspecified,директор,9,12.16
l2,unspecified,ивр_ран,9,12.16
l2,unspecified,слово,7,9.46
l2,unspecified,миф,6,8.11
l2,unspecified,конференция,6,8.11
l2,unspecified,культура,5,6.76
l2,unspecified,приветственный,5,6.76
l2,unspecified,западный,4,5.41
l2,unspecified,мунда,4,5.41
l2,unspecified,выступление,4,5.41
l2,vedic,ведийский,25,32.05
l2,vedic,ригведа,15,19.23
l2,vedic,текст,12,15.38
l2,vedic,ритуал,10,12.82
l2,vedic,традиция,8,10.26
l2,vedic,индоевропейский,5,6.41
l2,vedic,священный,4,5.13
l2,vedic,упанишад,4,5.13
l2,vedic,этимология,4,5.13
l2,vedic,индия,4,5.13
l2,vedic,параллель,4,5.13
l2,vedic,речь,3,3.85
