presentation_id,year,period,series,calendar_date,weekday,l1,l2,title,tokens,unique_tokens,bigrams,theme_match
PRES_da7ffa3cba,2019,2018-2022,Zograf Readings,2019-05-15,Wednesday,philosophy,classical,Атман как синоним дравьи в «Вакьяпадии» (ВП 3.2.1),атман|синоним|дравие|вакьяпадий,атман|вакьяпадий|дравие|синоним,атман синоним|синоним дравие|дравие вакьяпадий,True
PRES_e1d74ec461,2019,2018-2022,Zograf Readings,2019-05-16,Thursday,literature,classical,Прием лейтмотива в классической индийской поэзии,прием|лейтмотив|классический|индия|поэзия,индия|классический|лейтмотив|поэзия|прием,прием лейтмотив|лейтмотив классический|классический индия|индия поэзия,True
PRES_e7a6d5efa9,2019,2018-2022,Zograf Readings,2019-05-15,Wednesday,philosophy,classical,Понятие nirodha в истории буддийской философии,понятие|история|буддизм|философия,буддизм|история|понятие|философия,понятие история|история буддизм|буддизм философия,True
PRES_edf0bd4014,2019,2018-2022,Zograf Readings,2019-05-15,Wednesday,philosophy,medieval,Понятие блаженства (ананды) в индуистском тантризме,понятие|блаженство|ананда|индуистский|тантризм,ананда|блаженство|индуистский|понятие|тантризм,понятие блаженство|блаженство ананда|ананда индуистский|индуистский тантризм,True
PRES_f38580f0b7,2019,2018-2022,Zograf Readings,2019-05-14,Tuesday,literature,classical,«Махабхарата» и мотив «заточенных в пещере»,махабхарат|мотив|заточить|пещера,заточить|махабхарат|мотив|пещера,махабхарат мотив|мотив заточить|заточить пещера,True
PRES_f72bae1c5e,2019,2018-2022,Zograf Readings,2019-05-16,Thursday,literature,modern,Индийские языки и нарративы на Маврикии: Рама-катха и поэзия на бходжпури,индия|язык|нарратив|маврикий|рам-катх|поэзия|бходжпури,бходжпури|индия|маврикий|нарратив|поэзия|рам-катх|язык,индия язык|язык нарратив|нарратив маврикий|маврикий рам-катх|рам-катх поэзия|поэзия бходжпури,True
PRES_fb613d9f3f,2019,2018-2022,Zograf Readings,2019-05-16,Thursday,religion,medieval,Социовозрастная инициация и монашеское посвящение в неварском буддизме,социовозрастной|инициация|монашеский|посвящение|неварский|буддизм,буддизм|инициация|монашеский|неварский|посвящение|социовозрастной,социовозрастной инициация|инициация монашеский|монашеский посвящение|посвящение неварский|неварский буддизм,True
PRES_ff3d302713,2019,2018-2022,Zograf Readings,2019-05-15,Wednesday,religion,medieval,Роль Умапати Шивачарьи в формировании окончательной редакции канона шайва-сиддханты,умапати|шивачарья|формирование|окончательный|редакция|канон|шайва-сиддхант,канон|окончательный|редакция|умапати|формирование|шайва-сиддхант|шивачарья,умапати шивачарья|шивачарья формирование|формирование окончательный|окончательный редакция|редакция канон|канон шайва-сиддхант,True
PRES_15b5fbdc83,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,philosophy,unspecified,Что отличает индийскую эпистемическую культуру от западной?,что|отличать|индия|эпистемический|культура|западный,западный|индия|культура|отличать|что|эпистемический,что отличать|отличать индия|индия эпистемический|эпистемический культура|культура западный,True
PRES_215f0bcf2e,2020,2018-2022,Roerich Readings,2020-12-14,Monday,history,colonial,"«Во отдаленном краю границы пребывающий, исповедая веру манджушринову»: о буддийском дискурсе в калмыцкой политике императора Юнчжэна (1723–1735)",отдалить|край|граница|пребывать|исповедать|вера|манджушринов|буддизм|дискурс|калмыцкий|политика|император|юнчжэн,буддизм|вера|граница|дискурс|император|исповедать|калмыцкий|край|манджушринов|отдалить|политика|пребывать|юнчжэн,отдалить край|край граница|граница пребывать|пребывать исповедать|исповедать вера|вера манджушринов|манджушринов буддизм|буддизм дискурс|дискурс калмыцкий|калмыцкий политика|политика император|император юнчжэн,True
PRES_23ce849cd3,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,religion,classical,Некоторые особенности текстов по вастувидье в пуранах и их интерпретация в современной массовой культуре,текст|вастувидья|пураны|современный|массовый|культура,вастувидья|культура|массовый|пураны|современный|текст,текст вастувидья|вастувидья пураны|пураны современный|современный массовый|массовый культура,True
PRES_273faaf1c4,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,art_archaeology,classical,"Шива Саптасварамурти из Пареля. Иконография, интерпретации, параллели",шива|саптасварамуртеть|парель|иконография|параллель,иконография|параллель|парель|саптасварамуртеть|шива,шива саптасварамуртеть|саптасварамуртеть парель|парель иконография|иконография параллель,True
PRES_2bb37e704c,2020,2018-2022,Roerich Readings,2020-12-14,Monday,religion,medieval,Интерпретация датировки появления буддизма в Японии в традиционных источниках и храмовых хрониках энги,датировка|появление|буддизм|япония|традиционный|источник|храмовый|хроника|энг,буддизм|датировка|источник|появление|традиционный|храмовый|хроника|энг|япония,датировка появление|появление буддизм|буддизм япония|япония традиционный|традиционный источник|источник храмовый|храмовый хроника|хроника энг,True
PRES_33bcacf231,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,other,classical,Смена парадигмы? Числовые «коды» в структуре индийских математических сочинений древности и средневековья,смена|парадигма|числовой|код|индия|математический|сочинение|древность|средневековье,древность|индия|код|математический|парадигма|смена|сочинение|средневековье|числовой,смена парадигма|парадигма числовой|числовой код|код индия|индия математический|математический сочинение|сочинение древность|древность средневековье,True
PRES_37b0efbebb,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,literature,classical,Поэтический цикл Кабилара о князе Пари,поэтический|цикл|кабилара|князь|пари,кабилара|князь|пари|поэтический|цикл,поэтический цикл|цикл кабилара|кабилара князь|князь пари,True
PRES_4222cc5294,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,philosophy,classical,Проблемы атомизма по «Вимшике» Васубандху и «Аламбана-парикше» Дигнаги,атомизм|вимшик|васубандх|аламбана-парикша|дигнагой,аламбана-парикша|атомизм|васубандх|вимшик|дигнагой,атомизм вимшик|вимшик васубандх|васубандх аламбана-парикша|аламбана-парикша дигнагой,True
PRES_492441fb51,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,literature,classical,Небывальщины и парадоксы в древнеиндийской поэзии,небывальщина|парадокс|древнеиндийский|поэзия,древнеиндийский|небывальщина|парадокс|поэзия,небывальщина парадокс|парадокс древнеиндийский|древнеиндийский поэзия,True
PRES_4c303a7d1a,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,philosophy,classical,Антропоморфная образность «игры знания»: телесная метафора и метафора путешествия,антропоморфный|образность|игра|знание|телесный|метафора|метафора|путешествие,антропоморфный|знание|игра|метафора|образность|путешествие|телесный,антропоморфный образность|образность игра|игра знание|знание телесный|телесный метафора|метафора путешествие,True
PRES_52e54251ce,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,literature,classical,Опыт применения интертекстуального подхода при изучении санскритских и палийских памятников,применение|интертекстуальный|санскрит|пали|памятник,интертекстуальный|пали|памятник|применение|санскрит,применение интертекстуальный|интертекстуальный санскрит|санскрит пали|пали памятник,True
PRES_54c018c9f5,2020,2018-2022,Roerich Readings,2020-12-14,Monday,ethnography,contemporary,Некоторые особенности праздника семи неварских селений юго-западной части Долины Катманду,праздник|семь|неварский|селение|юго-западный|часть|долина|катманду,долина|катманду|неварский|праздник|селение|семь|часть|юго-западный,праздник семь|семь неварский|неварский селение|селение юго-западный|юго-западный часть|часть долина|долина катманду,True
PRES_5927c1b975,2020,2018-2022,Roerich Readings,2020-12-16,Wednesday,philosophy,classical,О некоторых основных понятиях пратьябхиджни,основный|понятие|пратьябхиджний,основный|понятие|пратьябхиджний,основный понятие|понятие пратьябхиджний,True
PRES_5e3f146897,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,literature,medieval,Небывальщины и парадоксы в средневековой североиндийской поэзии,небывальщина|парадокс|средневековый|североиндийский|поэзия,небывальщина|парадокс|поэзия|североиндийский|средневековый,небывальщина парадокс|парадокс средневековый|средневековый североиндийский|североиндийский поэзия,True
PRES_69020aec6c,2020,2018-2022,Roerich Readings,2020-12-15,Tuesday,literature,vedic,"К анализу стиха Ригведа 1.120.11, или Предварительные заметки о ведийском автомобиле",стих|ригведа|предварительный|заметка|ведийский|автомобиль,автомобиль|ведийский|заметка|предварительный|ригведа|стих,стих ригведа|ригведа предварительный|предварительный заметка|заметка ведийский|ведийский автомобиль,True
PRES_705d6f4e9c,2020,2018-2022,Roerich Readings,2020-12-14,Monday,literature,classical,Мотивный анализ сюжета «Джатаки о павлине» Харибхатты (IV–V вв. н.э.),мотивный|сюжет|джатака|павлин|харибхатт,джатака|мотивный|павлин|сюжет|харибхатт,мотивный сюжет|сюжет джатака|джатака павлин|павлин харибхатт,True
