group,term,count,document_frequency,title_share_pct,per_1000_tokens
ALL,компаративный,3,3,0.22,0.38
ALL,записка,3,3,0.22,0.38
ALL,монета,3,3,0.22,0.38
ALL,четвертый,3,3,0.22,0.38
ALL,иллюзия,3,3,0.22,0.38
ALL,дворцовый,3,3,0.22,0.38
ALL,наб,3,3,0.22,0.38
ALL,абсолютный,3,3,0.22,0.38
ALL,мудрость,3,3,0.22,0.38
ALL,называть,3,3,0.22,0.38
ALL,джаясь,3,3,0.22,0.38
ALL,гость,3,3,0.22,0.38
ALL,телесность,3,3,0.22,0.38
ALL,обозначение,3,3,0.22,0.38
ALL,число,3,3,0.22,0.38
ALL,строительство,3,3,0.22,0.38
ALL,махаваста,3,3,0.22,0.38
ALL,античный,3,3,0.22,0.38
ALL,автор,3,3,0.22,0.38
ALL,житийный,3,3,0.22,0.38
ALL,серия,3,3,0.22,0.38
ALL,штрих,3,3,0.22,0.38
ALL,исследователь,3,3,0.22,0.38
ALL,баул,3,3,0.22,0.38
ALL,речевой,3,3,0.22,0.38
ALL,генезис,3,3,0.22,0.38
ALL,визуальный,3,3,0.22,0.38
ALL,свитка,3,3,0.22,0.38
ALL,обучение,3,3,0.22,0.38
ALL,далджито,3,3,0.22,0.38
ALL,награ,3,3,0.22,0.38
ALL,поле,3,3,0.22,0.38
ALL,четыре,3,3,0.22,0.38
ALL,аватар,3,3,0.22,0.38
ALL,языковой,3,3,0.22,0.38
ALL,элита,3,3,0.22,0.38
ALL,архив,3,3,0.22,0.38
ALL,песенный,3,3,0.22,0.38
ALL,медитация,3,3,0.22,0.38
ALL,нарратив,3,3,0.22,0.38
ALL,долина,3,3,0.22,0.38
ALL,ишварапратьябхиджень-вимаршиня,3,3,0.22,0.38
ALL,игровой,3,3,0.22,0.38
ALL,бодхисаттва,3,3,0.22,0.38
ALL,большой,3,3,0.22,0.38
ALL,праджняпарамит,3,3,0.22,0.38
ALL,сикхский,3,3,0.22,0.38
ALL,рама,3,3,0.22,0.38
ALL,перспектива,3,3,0.22,0.38
ALL,взаимодействие,3,3,0.22,0.38
ALL,повествовательный,3,3,0.22,0.38
ALL,вишишта-адвайта-ведант,3,3,0.22,0.38
ALL,мысль,3,3,0.22,0.38
ALL,ренессанс,3,3,0.22,0.38
ALL,гуджарат,3,3,0.22,0.38
ALL,полевой,3,3,0.22,0.38
ALL,алфавит,3,3,0.22,0.38
ALL,специфика,3,3,0.22,0.38
ALL,утпаладев,3,3,0.22,0.38
ALL,аурангабад,3,3,0.22,0.38
ALL,сквозь,3,3,0.22,0.38
ALL,айодхие,3,3,0.22,0.38
ALL,размышление,3,3,0.22,0.38
ALL,садхана,3,3,0.22,0.38
ALL,карнатака,3,3,0.22,0.38
ALL,рациональность,3,3,0.22,0.38
ALL,ксилограф,3,3,0.22,0.38
ALL,конструкция,3,3,0.22,0.38
ALL,данные,3,3,0.22,0.38
ALL,тулунаду,3,3,0.22,0.38
ALL,пословица,3,3,0.22,0.38
ALL,основный,3,3,0.22,0.38
ALL,письменный,3,3,0.22,0.38
ALL,воспоминание,3,3,0.22,0.38
ALL,основание,3,3,0.22,0.38
ALL,жрец,3,2,0.15,0.38
ALL,дурга,3,3,0.22,0.38
ALL,сом,3,3,0.22,0.38
ALL,ашвагхошить,3,3,0.22,0.38
ALL,сон,3,3,0.22,0.38
ALL,манускрипт,3,3,0.22,0.38
ALL,чудо,3,3,0.22,0.38
ALL,пудгала,3,2,0.15,0.38
ALL,библиотека,3,3,0.22,0.38
ALL,потоп,3,3,0.22,0.38
ALL,семь,3,3,0.22,0.38
ALL,список,3,3,0.22,0.38
ALL,просветление,3,3,0.22,0.38
ALL,мессершмидт,3,3,0.22,0.38
ALL,стилистика,3,3,0.22,0.38
ALL,сундарара,3,3,0.22,0.38
ALL,полемика,3,3,0.22,0.38
ALL,брат,3,3,0.22,0.38
ALL,лирика,3,3,0.22,0.38
ALL,шайв-бхакть,3,3,0.22,0.38
ALL,индология,3,3,0.22,0.38
ALL,вид,3,3,0.22,0.38
ALL,тень,3,3,0.22,0.38
ALL,ракурс,3,3,0.22,0.38
ALL,дешик,3,3,0.22,0.38
ALL,критика,3,3,0.22,0.38
ALL,историография,3,3,0.22,0.38
ALL,шантаракшит,3,3,0.22,0.38
ALL,трактовка,3,3,0.22,0.38
ALL,почему,3,3,0.22,0.38
ALL,диалог,3,3,0.22,0.38
ALL,благо,3,3,0.22,0.38
ALL,йогини-тантра,3,3,0.22,0.38
ALL,атрибуция,3,3,0.22,0.38
ALL,повод,3,3,0.22,0.38
ALL,мистический,3,3,0.22,0.38
ALL,течение,3,3,0.22,0.38
ALL,зачем,3,3,0.22,0.38
ALL,отношение,3,3,0.22,0.38
ALL,государственный,3,3,0.22,0.38
ALL,субъект-пудгала,3,3,0.22,0.38
ALL,гималайский,3,3,0.22,0.38
ALL,регион,3,3,0.22,0.38
ALL,умапати,3,3,0.22,0.38
ALL,шивачарья,3,3,0.22,0.38
ALL,пьеса,3,3,0.22,0.38
ALL,асанга,3,3,0.22,0.38
ALL,функциональный,3,3,0.22,0.38
ALL,ошо,3,3,0.22,0.38
ALL,художник,3,3,0.22,0.38
ALL,встреча,3,3,0.22,0.38
ALL,летопись,3,3,0.22,0.38
ALL,князь,3,3,0.22,0.38
ALL,парадокс,3,3,0.22,0.38
ALL,жена,3,3,0.22,0.38
ALL,скрябин,3,3,0.22,0.38
ALL,мифологический,3,3,0.22,0.38
ALL,инклюзивизм,3,3,0.22,0.38
ALL,онтология,3,3,0.22,0.38
ALL,топоним,3,3,0.22,0.38
ALL,период,3,3,0.22,0.38
ALL,зороастрийский,3,2,0.15,0.38
ALL,махаяна,3,3,0.22,0.38
ALL,доклад,3,3,0.22,0.38
ALL,камалашила,3,3,0.22,0.38
ALL,индоарийский,3,3,0.22,0.38
ALL,жертвоприношение,3,3,0.22,0.38
ALL,йогический,3,3,0.22,0.38
ALL,цыган,3,2,0.15,0.38
ALL,рыба,3,3,0.22,0.38
ALL,салман,3,3,0.22,0.38
ALL,этап,3,3,0.22,0.38
ALL,средний,3,3,0.22,0.38
ALL,керала,3,3,0.22,0.38
ALL,сурешвара,3,3,0.22,0.38
ALL,сикх,3,3,0.22,0.38
ALL,аюрведа,2,2,0.15,0.25
ALL,реминисценция,2,2,0.15,0.25
ALL,психология,2,2,0.15,0.25
ALL,самопожертвование,2,2,0.15,0.25
ALL,спхота,2,2,0.15,0.25
ALL,бхагавата-пурана,2,2,0.15,0.25
ALL,лук,2,2,0.15,0.25
ALL,нигхант,2,2,0.15,0.25
ALL,тамилнад,2,2,0.15,0.25
ALL,сторона,2,2,0.15,0.25
ALL,рай,2,2,0.15,0.25
ALL,девибхагават-пурана,2,2,0.15,0.25
ALL,география,2,2,0.15,0.25
ALL,девар,2,2,0.15,0.25
ALL,гадание,2,2,0.15,0.25
ALL,хронология,2,2,0.15,0.25
ALL,технический,2,2,0.15,0.25
ALL,тара,2,2,0.15,0.25
ALL,демонстрация,2,2,0.15,0.25
ALL,согласный,2,1,0.07,0.25
ALL,ашок,2,2,0.15,0.25
ALL,постановка,2,2,0.15,0.25
ALL,сюжетный,2,2,0.15,0.25
ALL,энциклопедия,2,2,0.15,0.25
ALL,фонетический,2,2,0.15,0.25
ALL,становление,2,2,0.15,0.25
ALL,вишишт-адвайта,2,2,0.15,0.25
ALL,северный,2,2,0.15,0.25
ALL,урду,2,2,0.15,0.25
ALL,плач,2,2,0.15,0.25
ALL,нагарджун,2,2,0.15,0.25
ALL,пракритский,2,2,0.15,0.25
ALL,материальный,2,2,0.15,0.25
ALL,бык,2,2,0.15,0.25
ALL,скотоводческий,2,2,0.15,0.25
ALL,цейлон,2,2,0.15,0.25
ALL,чайтанья,2,2,0.15,0.25
ALL,сооружение,2,2,0.15,0.25
ALL,техника,2,2,0.15,0.25
ALL,калачакра,2,2,0.15,0.25
ALL,радж,2,2,0.15,0.25
ALL,великий,2,2,0.15,0.25
ALL,малый,2,2,0.15,0.25
ALL,иранец,2,2,0.15,0.25
ALL,тыс,2,1,0.07,0.25
ALL,строительный,2,2,0.15,0.25
ALL,варанася,2,2,0.15,0.25
ALL,одесский,2,2,0.15,0.25
ALL,гутхи,2,2,0.15,0.25
ALL,личчхав,2,2,0.15,0.25
ALL,стоить,2,2,0.15,0.25
ALL,дандин,2,2,0.15,0.25
ALL,рудрый-шивый,2,2,0.15,0.25
ALL,шрутить,2,2,0.15,0.25
ALL,махатмие,2,2,0.15,0.25
ALL,братство,2,2,0.15,0.25
ALL,сат-чит-ананд,2,2,0.15,0.25
