person_id,display_name,session_betweenness,session_graph_degree,multi_person_sessions,total_participations,zograf,roerich,balance,series_attended
PERS_bf91d4b8,Ю. А. Уймина,3e-05,7,2,2,2,0,1.0,zograf_only
PERS_b76851a7,Митруев Б. Л.,1.1e-05,6,2,2,2,0,1.0,zograf_only
PERS_7da0afff,К.А. Демичев,4e-06,5,2,2,0,2,-1.0,roerich_only
PERS_f56c5a7e,Жукова Любовь Евгеньевна,0.0,3,2,3,3,0,1.0,zograf_only
PERS_00c3b0cc,М.Б. Щербак,0.0,6,1,1,1,0,1.0,zograf_only
PERS_05707a8e,М.Б.Загорулько,0.0,4,1,1,1,0,1.0,zograf_only
PERS_07adc1e6,Лейтан Эдгар Зигфридович,0.0,5,1,1,1,0,1.0,zograf_only
PERS_1130c736,Серебряный Сергей Дмитриевич,0.0,3,1,1,1,0,1.0,zograf_only
PERS_147ab928,К.Д. Никольская,0.0,5,1,1,0,1,-1.0,roerich_only
PERS_168a3a8b,Усенко Иван Сергеевич,0.0,4,1,1,1,0,1.0,zograf_only
PERS_180c5e5c,А. В. Арапов,0.0,5,1,1,1,0,1.0,zograf_only
PERS_2011b78d,А.В. Бондарев,0.0,5,1,1,0,1,-1.0,roerich_only
PERS_2095dc59,Е.Г. Шалахов,0.0,4,1,1,0,1,-1.0,roerich_only
PERS_23abae7d,Пушкарева Юлия Георгиевна,0.0,3,1,1,1,0,1.0,zograf_only
PERS_23f54085,Э. И. Введенская,0.0,6,1,1,1,0,1.0,zograf_only
PERS_26c3214a,Christian Lindtner,0.0,20,1,1,1,0,1.0,zograf_only
PERS_26ce5ec1,Нина Будзишевска,0.0,9,1,1,1,0,1.0,zograf_only
PERS_29607432,Лапшин Иван Евгеньевич,0.0,6,1,1,1,0,1.0,zograf_only
PERS_2b7ca933,Е. В. Танонова,0.0,5,1,1,1,0,1.0,zograf_only
PERS_2c9b38ec,С. В. Ватман,0.0,6,1,1,1,0,1.0,zograf_only
PERS_2e00cb36,О. Н. Меренкова,0.0,4,1,1,1,0,1.0,zograf_only
PERS_2e2b9553,Д.Д. Наймушина,0.0,6,1,1,0,1,-1.0,roerich_only
PERS_30b54681,Е. С. Бушуев,0.0,5,1,1,1,0,1.0,zograf_only
PERS_3195408b,Д.Н. Ратушный,0.0,4,1,1,0,1,-1.0,roerich_only
PERS_34c0d384,М. Б. Павлова,0.0,20,1,1,1,0,1.0,zograf_only
PERS_35a30342,И. О. Негреев,0.0,5,1,1,1,0,1.0,zograf_only
PERS_37bb2d43,Покатилов Сергей Андреевич,0.0,2,1,1,1,0,1.0,zograf_only
PERS_38c5f03f,Н.А. Железнова,0.0,5,1,1,0,1,-1.0,roerich_only
PERS_3d22e8d4,А. М. Стрелков,0.0,8,1,1,1,0,1.0,zograf_only
PERS_3d4df70f,Е. О. Акимушкина,0.0,4,1,1,1,0,1.0,zograf_only
PERS_3e38ff72,Д.А. Рожнова,0.0,4,1,1,0,1,-1.0,roerich_only
PERS_3fd690ee,Е. Л. Комиссарук,0.0,5,1,1,1,0,1.0,zograf_only
PERS_40f75cf9,Л.Г. Роман,0.0,3,1,1,1,0,1.0,zograf_only
PERS_42da4866,Г. Д. Стукалин,0.0,6,1,1,1,0,1.0,zograf_only
PERS_44440578,Грановская Хелена,0.0,7,1,1,1,0,1.0,zograf_only
PERS_467d4dbb,Клебанов А. А.,0.0,3,1,1,1,0,1.0,zograf_only
PERS_47ad46f1,М. А. Родионов,0.0,4,1,1,1,0,1.0,zograf_only
PERS_4a0de87e,Белимова Влада Сергеевна,0.0,3,1,1,1,0,1.0,zograf_only
PERS_4ebb20aa,С. В. Кардинская,0.0,3,1,1,1,0,1.0,zograf_only
PERS_51524b11,Гладкова Анна Геннадьевна,0.0,5,1,1,1,0,1.0,zograf_only
PERS_51e0a171,А.А. Алешина,0.0,5,1,1,0,1,-1.0,roerich_only
