term,early_df,late_df,early_title_share_pct,late_title_share_pct,log_odds_late_minus_early,z_score,trend
раннебуддийский,6,1,0.9,0.15,-1.505,-1.661,early
санскрит,26,40,3.91,5.83,0.4133,1.654,late
герой,5,0,0.75,0.0,-2.4365,-1.65,early
ордалия,5,0,0.75,0.0,-2.4365,-1.65,early
христианский,5,0,0.75,0.0,-2.4365,-1.65,early
история,19,31,2.86,4.52,0.4657,1.616,late
ганди,0,5,0.0,0.73,2.3741,1.607,late
мантра,0,5,0.0,0.73,2.3741,1.607,late
путешествие,0,5,0.0,0.73,2.3741,1.607,late
свами,0,5,0.0,0.73,2.3741,1.607,late
архитектура,1,6,0.15,0.87,1.4425,1.593,late
монгольский,1,6,0.15,0.87,1.4425,1.593,late
комментарий,3,9,0.45,1.31,0.9761,1.561,late
обряд,3,9,0.45,1.31,0.9761,1.561,late
народный,7,2,1.05,0.29,-1.1373,-1.557,early
человек,7,2,1.05,0.29,-1.1373,-1.557,early
шиваизм,7,2,1.05,0.29,-1.1373,-1.557,early
тибет,24,15,3.61,2.19,-0.5035,-1.551,early
взаимоотношение,4,0,0.6,0.0,-2.2343,-1.499,early
герасим,4,0,0.6,0.0,-2.2343,-1.499,early
майя,4,0,0.6,0.0,-2.2343,-1.499,early
мира_баи,4,0,0.6,0.0,-2.2343,-1.499,early
современность,4,0,0.6,0.0,-2.2343,-1.499,early
субъект,4,0,0.6,0.0,-2.2343,-1.499,early
идея,2,7,0.3,1.02,1.0748,1.472,late
маэ_ран,2,7,0.3,1.02,1.0748,1.472,late
тантрический,2,7,0.3,1.02,1.0748,1.472,late
вальмик,0,4,0.0,0.58,2.172,1.457,late
дипанкара,0,4,0.0,0.58,2.172,1.457,late
жизненный,0,4,0.0,0.58,2.172,1.457,late
имперский,0,4,0.0,0.58,2.172,1.457,late
маэ,0,4,0.0,0.58,2.172,1.457,late
миниатюра,0,4,0.0,0.58,2.172,1.457,late
огонь,0,4,0.0,0.58,2.172,1.457,late
поворот,0,4,0.0,0.58,2.172,1.457,late
сит,0,4,0.0,0.58,2.172,1.457,late
тантризм,0,4,0.0,0.58,2.172,1.457,late
экспедиция,0,4,0.0,0.58,2.172,1.457,late
реальность,5,1,0.75,0.15,-1.3364,-1.451,early
век,12,6,1.8,0.87,-0.6944,-1.436,early
вода,1,5,0.15,0.73,1.274,1.383,late
дравидология,1,5,0.15,0.73,1.274,1.383,late
парадигма,1,5,0.15,0.73,1.274,1.383,late
племя,1,5,0.15,0.73,1.274,1.383,late
рушдить,1,5,0.15,0.73,1.274,1.383,late
толкование,1,5,0.15,0.73,1.274,1.383,late
шива,3,8,0.45,1.17,0.8634,1.36,late
вишну,6,2,0.9,0.29,-0.9927,-1.334,early
пространство,6,2,0.9,0.29,-0.9927,-1.334,early
сакральный,6,2,0.9,0.29,-0.9927,-1.334,early
актуальный,3,0,0.45,0.0,-1.9815,-1.311,early
античный,3,0,0.45,0.0,-1.9815,-1.311,early
вастувидие,3,0,0.45,0.0,-1.9815,-1.311,early
видеоматериал,3,0,0.45,0.0,-1.9815,-1.311,early
вишишта-адвайта-ведант,3,0,0.45,0.0,-1.9815,-1.311,early
генезис,3,0,0.45,0.0,-1.9815,-1.311,early
джаясь,3,0,0.45,0.0,-1.9815,-1.311,early
ишварапратьябхиджень-вимаршиня,3,0,0.45,0.0,-1.9815,-1.311,early
калика-пурана,3,0,0.45,0.0,-1.9815,-1.311,early
калькутта,3,0,0.45,0.0,-1.9815,-1.311,early
критика,3,0,0.45,0.0,-1.9815,-1.311,early
махаваста,3,0,0.45,0.0,-1.9815,-1.311,early
механизм,3,0,0.45,0.0,-1.9815,-1.311,early
монета,3,0,0.45,0.0,-1.9815,-1.311,early
мысль,3,0,0.45,0.0,-1.9815,-1.311,early
повествовательный,3,0,0.45,0.0,-1.9815,-1.311,early
строительство,3,0,0.45,0.0,-1.9815,-1.311,early
сундарара,3,0,0.45,0.0,-1.9815,-1.311,early
телугу,3,0,0.45,0.0,-1.9815,-1.311,early
китайский,10,5,1.5,0.73,-0.6855,-1.302,early
поэма,10,5,1.5,0.73,-0.6855,-1.302,early
асанга,0,3,0.0,0.44,1.9192,1.269,late
встреча,0,3,0.0,0.44,1.9192,1.269,late
гималайский,0,3,0.0,0.44,1.9192,1.269,late
государственный,0,3,0.0,0.44,1.9192,1.269,late
доклад,0,3,0.0,0.44,1.9192,1.269,late
жена,0,3,0.0,0.44,1.9192,1.269,late
жертвоприношение,0,3,0.0,0.44,1.9192,1.269,late
индоарийский,0,3,0.0,0.44,1.9192,1.269,late
инклюзивизм,0,3,0.0,0.44,1.9192,1.269,late
йогический,0,3,0.0,0.44,1.9192,1.269,late
камалашила,0,3,0.0,0.44,1.9192,1.269,late
керала,0,3,0.0,0.44,1.9192,1.269,late
князь,0,3,0.0,0.44,1.9192,1.269,late
летопись,0,3,0.0,0.44,1.9192,1.269,late
махаяна,0,3,0.0,0.44,1.9192,1.269,late
мифологический,0,3,0.0,0.44,1.9192,1.269,late
онтология,0,3,0.0,0.44,1.9192,1.269,late
отношение,0,3,0.0,0.44,1.9192,1.269,late
ошо,0,3,0.0,0.44,1.9192,1.269,late
парадокс,0,3,0.0,0.44,1.9192,1.269,late
период,0,3,0.0,0.44,1.9192,1.269,late
пьеса,0,3,0.0,0.44,1.9192,1.269,late
регион,0,3,0.0,0.44,1.9192,1.269,late
рыба,0,3,0.0,0.44,1.9192,1.269,late
салман,0,3,0.0,0.44,1.9192,1.269,late
сериал,0,3,0.0,0.44,1.9192,1.269,late
сикх,0,3,0.0,0.44,1.9192,1.269,late
скрябин,0,3,0.0,0.44,1.9192,1.269,late
средний,0,3,0.0,0.44,1.9192,1.269,late
субъект-пудгала,0,3,0.0,0.44,1.9192,1.269,late
сурешвара,0,3,0.0,0.44,1.9192,1.269,late
тело,0,3,0.0,0.44,1.9192,1.269,late
топоним,0,3,0.0,0.44,1.9192,1.269,late
умапати,0,3,0.0,0.44,1.9192,1.269,late
функциональный,0,3,0.0,0.44,1.9192,1.269,late
художник,0,3,0.0,0.44,1.9192,1.269,late
шивачарья,0,3,0.0,0.44,1.9192,1.269,late
этап,0,3,0.0,0.44,1.9192,1.269,late
храм,4,9,0.6,1.31,0.7233,1.264,late
взгляд,2,6,0.3,0.87,0.9302,1.25,late
грамматика,2,6,0.3,0.87,0.9302,1.25,late
фольклор,2,6,0.3,0.87,0.9302,1.25,late
глава,7,3,1.05,0.44,-0.7994,-1.235,early
антология,4,1,0.6,0.15,-1.1343,-1.203,early
ассам,4,1,0.6,0.15,-1.1343,-1.203,early
ладакх,4,1,0.6,0.15,-1.1343,-1.203,early
мыслитель,4,1,0.6,0.15,-1.1343,-1.203,early
персонаж,4,1,0.6,0.15,-1.1343,-1.203,early
песня,4,1,0.6,0.15,-1.1343,-1.203,early
религиозно-философский,4,1,0.6,0.15,-1.1343,-1.203,early
согласно,4,1,0.6,0.15,-1.1343,-1.203,early
соотношение,4,1,0.6,0.15,-1.1343,-1.203,early
танка,4,1,0.6,0.15,-1.1343,-1.203,early
эпизод,4,1,0.6,0.15,-1.1343,-1.203,early
понятие,5,10,0.75,1.46,0.6227,1.183,late
непал,8,4,1.2,0.58,-0.6733,-1.155,early
сказание,8,4,1.2,0.58,-0.6733,-1.155,early
сутра,8,4,1.2,0.58,-0.6733,-1.155,early
литература,27,20,4.06,2.92,-0.3367,-1.154,early
понимание,3,7,0.45,1.02,0.7368,1.138,late
терминология,3,7,0.45,1.02,0.7368,1.138,late
вариант,1,4,0.15,0.58,1.0719,1.137,late
восток,1,4,0.15,0.58,1.0719,1.137,late
город,1,4,0.15,0.58,1.0719,1.137,late
датировка,1,4,0.15,0.58,1.0719,1.137,late
живой,1,4,0.15,0.58,1.0719,1.137,late
конец,1,4,0.15,0.58,1.0719,1.137,late
наследие,1,4,0.15,0.58,1.0719,1.137,late
научный,1,4,0.15,0.58,1.0719,1.137,late
пещерный,1,4,0.15,0.58,1.0719,1.137,late
письменность,1,4,0.15,0.58,1.0719,1.137,late
протоиндийский,1,4,0.15,0.58,1.0719,1.137,late
североиндийский,1,4,0.15,0.58,1.0719,1.137,late
труд,1,4,0.15,0.58,1.0719,1.137,late
эпоха,1,4,0.15,0.58,1.0719,1.137,late
религия,9,15,1.35,2.19,0.467,1.133,late
индуизм,9,5,1.35,0.73,-0.5839,-1.09,early
божество,5,2,0.75,0.29,-0.8241,-1.08,early
диалект,5,2,0.75,0.29,-0.8241,-1.08,early
программа,5,2,0.75,0.29,-0.8241,-1.08,early
проповедь,5,2,0.75,0.29,-0.8241,-1.08,early
функция,5,2,0.75,0.29,-0.8241,-1.08,early
искусство,4,8,0.6,1.17,0.6106,1.047,late
эпос,4,8,0.6,1.17,0.6106,1.047,late
ритуал,11,17,1.65,2.48,0.3972,1.046,late
будда,16,11,2.41,1.6,-0.4003,-1.042,early
махабхарат,10,6,1.5,0.87,-0.517,-1.036,early
учение,8,13,1.2,1.9,0.4386,1.002,late
дискурс,2,5,0.3,0.73,0.7617,0.999,late
калачакр-тантра,2,5,0.3,0.73,0.7617,0.999,late
отражение,2,5,0.3,0.73,0.7617,0.999,late
памятник,2,5,0.3,0.73,0.7617,0.999,late
скульптура,2,5,0.3,0.73,0.7617,0.999,late
веданта,6,3,0.9,0.44,-0.6548,-0.988,early
творчество,6,3,0.9,0.44,-0.6548,-0.988,early
мотив,5,9,0.75,1.31,0.5211,0.973,late
эпический,7,4,1.05,0.58,-0.5466,-0.917,early
абхидхармакош,3,1,0.45,0.15,-0.8814,-0.903,early
адивась,3,1,0.45,0.15,-0.8814,-0.903,early
буддист,3,1,0.45,0.15,-0.8814,-0.903,early
внутренний,3,1,0.45,0.15,-0.8814,-0.903,early
воплощение,3,1,0.45,0.15,-0.8814,-0.903,early
деревня,3,1,0.45,0.15,-0.8814,-0.903,early
дополнение,3,1,0.45,0.15,-0.8814,-0.903,early
ив_ран,3,1,0.45,0.15,-0.8814,-0.903,early
ирландский,3,1,0.45,0.15,-0.8814,-0.903,early
кабир,3,1,0.45,0.15,-0.8814,-0.903,early
катхаваттх,3,1,0.45,0.15,-0.8814,-0.903,early
каутилья,3,1,0.45,0.15,-0.8814,-0.903,early
кочевник,3,1,0.45,0.15,-0.8814,-0.903,early
кришна,3,1,0.45,0.15,-0.8814,-0.903,early
махакавие,3,1,0.45,0.15,-0.8814,-0.903,early
найти,3,1,0.45,0.15,-0.8814,-0.903,early
непосредственный,3,1,0.45,0.15,-0.8814,-0.903,early
опровержение,3,1,0.45,0.15,-0.8814,-0.903,early
политика,3,1,0.45,0.15,-0.8814,-0.903,early
посвящение,3,1,0.45,0.15,-0.8814,-0.903,early
почетный,3,1,0.45,0.15,-0.8814,-0.903,early
представитель,3,1,0.45,0.15,-0.8814,-0.903,early
раджастхан,3,1,0.45,0.15,-0.8814,-0.903,early
рассказ,3,1,0.45,0.15,-0.8814,-0.903,early
символ,3,1,0.45,0.15,-0.8814,-0.903,early
сингал,3,1,0.45,0.15,-0.8814,-0.903,early
создание,3,1,0.45,0.15,-0.8814,-0.903,early
сообщение,3,1,0.45,0.15,-0.8814,-0.903,early
состав,3,1,0.45,0.15,-0.8814,-0.903,early
сосуд,3,1,0.45,0.15,-0.8814,-0.903,early
старый,3,1,0.45,0.15,-0.8814,-0.903,early
царский,3,1,0.45,0.15,-0.8814,-0.903,early
через,3,1,0.45,0.15,-0.8814,-0.903,early
чтение,3,1,0.45,0.15,-0.8814,-0.903,early
игра,3,6,0.45,0.87,0.5922,0.893,late
лексика,3,6,0.45,0.87,0.5922,0.893,late
развитие,3,6,0.45,0.87,0.5922,0.893,late
три,3,6,0.45,0.87,0.5922,0.893,late
южный,3,6,0.45,0.87,0.5922,0.893,late
васубандх,8,5,1.2,0.73,-0.4712,-0.861,early
классификация,8,5,1.2,0.73,-0.4712,-0.861,early
контекст,12,17,1.8,2.48,0.3123,0.843,late
буддология,1,3,0.15,0.44,0.8191,0.839,late
востоковед,1,3,0.15,0.44,0.8191,0.839,late
действие,1,3,0.15,0.44,0.8191,0.839,late
дигнагой,1,3,0.15,0.44,0.8191,0.839,late
дхармакиртеть,1,3,0.15,0.44,0.8191,0.839,late
загадка,1,3,0.15,0.44,0.8191,0.839,late
замечание,1,3,0.15,0.44,0.8191,0.839,late
канонический,1,3,0.15,0.44,0.8191,0.839,late
катманду,1,3,0.15,0.44,0.8191,0.839,late
когнитивный,1,3,0.15,0.44,0.8191,0.839,late
код,1,3,0.15,0.44,0.8191,0.839,late
мерварт,1,3,0.15,0.44,0.8191,0.839,late
монастырь,1,3,0.15,0.44,0.8191,0.839,late
музыкальный,1,3,0.15,0.44,0.8191,0.839,late
парибхаша,1,3,0.15,0.44,0.8191,0.839,late
построение,1,3,0.15,0.44,0.8191,0.839,late
почитание,1,3,0.15,0.44,0.8191,0.839,late
предание,1,3,0.15,0.44,0.8191,0.839,late
призма,1,3,0.15,0.44,0.8191,0.839,late
рабиндранат,1,3,0.15,0.44,0.8191,0.839,late
россия,1,3,0.15,0.44,0.8191,0.839,late
синтез,1,3,0.15,0.44,0.8191,0.839,late
словарь,1,3,0.15,0.44,0.8191,0.839,late
смена,1,3,0.15,0.44,0.8191,0.839,late
сотериологический,1,3,0.15,0.44,0.8191,0.839,late
сотериология,1,3,0.15,0.44,0.8191,0.839,late
таттвасанграха,1,3,0.15,0.44,0.8191,0.839,late
третий,1,3,0.15,0.44,0.8191,0.839,late
фон,1,3,0.15,0.44,0.8191,0.839,late
шраута-ритуал,1,3,0.15,0.44,0.8191,0.839,late
классический,9,6,1.35,0.87,-0.4154,-0.816,early
культурный,9,6,1.35,0.87,-0.4154,-0.816,early
ригведа,9,6,1.35,0.87,-0.4154,-0.816,early
тагор,4,7,0.6,1.02,0.484,0.812,late
артхашастр,4,2,0.6,0.29,-0.622,-0.788,early
диаспора,4,2,0.6,0.29,-0.622,-0.788,early
кабинет,4,2,0.6,0.29,-0.622,-0.788,early
мифология,4,2,0.6,0.29,-0.622,-0.788,early
общество,4,2,0.6,0.29,-0.622,-0.788,early
письмо,4,2,0.6,0.29,-0.622,-0.788,early
поэтика,4,2,0.6,0.29,-0.622,-0.788,early
произведение,4,2,0.6,0.29,-0.622,-0.788,early
символический,4,2,0.6,0.29,-0.622,-0.788,early
стихотворный,4,2,0.6,0.29,-0.622,-0.788,early
элемент,4,2,0.6,0.29,-0.622,-0.788,early
пураны,10,7,1.5,1.02,-0.3724,-0.779,early
роман,5,8,0.75,1.17,0.4084,0.746,late
буддизм,50,45,7.52,6.56,-0.1456,-0.712,early
возможный,5,3,0.75,0.44,-0.4862,-0.711,early
принцип,5,3,0.75,0.44,-0.4862,-0.711,early
танец,5,3,0.75,0.44,-0.4862,-0.711,early
брахман,2,4,0.3,0.58,0.5596,0.709,late
зеркало,2,4,0.3,0.58,0.5596,0.709,late
картина,2,4,0.3,0.58,0.5596,0.709,late
модель,2,4,0.3,0.58,0.5596,0.709,late
мунда,2,4,0.3,0.58,0.5596,0.709,late
несколько,2,4,0.3,0.58,0.5596,0.709,late
область,2,4,0.3,0.58,0.5596,0.709,late
познание,2,4,0.3,0.58,0.5596,0.709,late
смысл,2,4,0.3,0.58,0.5596,0.709,late
средство,2,4,0.3,0.58,0.5596,0.709,late
фонд,2,4,0.3,0.58,0.5596,0.709,late
новый,11,15,1.65,2.19,0.2729,0.701,late
юрий_рерих,11,15,1.65,2.19,0.2729,0.701,late
версия,6,4,0.9,0.58,-0.402,-0.656,early
непальский,6,4,0.9,0.58,-0.402,-0.656,early
происхождение,6,4,0.9,0.58,-0.402,-0.656,early
практика,7,10,1.05,1.46,0.3095,0.647,late
источник,16,13,2.41,1.9,-0.237,-0.646,early
средневековый,13,17,1.95,2.48,0.2338,0.645,late
древнеиндийский,17,14,2.56,2.04,-0.2244,-0.632,early
традиция,40,36,6.02,5.25,-0.1432,-0.627,early
джайнский,3,5,0.45,0.73,0.4237,0.62,late
джатака,3,5,0.45,0.73,0.4237,0.62,late
образ,22,27,3.31,3.94,0.1761,0.62,late
рукопись,7,5,1.05,0.73,-0.3445,-0.614,early
школа,7,5,1.05,0.73,-0.3445,-0.614,early
два,9,7,1.35,1.02,-0.2708,-0.554,early
хинди,9,7,1.35,1.02,-0.2708,-0.554,early
иконография,4,6,0.6,0.87,0.3394,0.553,late
неварский,4,6,0.6,0.87,0.3394,0.553,late
прием,4,6,0.6,0.87,0.3394,0.553,late
священный,4,6,0.6,0.87,0.3394,0.553,late
миф,10,13,1.5,1.9,0.2242,0.545,late
язык,28,33,4.21,4.81,0.1369,0.537,late
аватар,2,1,0.3,0.15,-0.5434,-0.526,early
автор,2,1,0.3,0.15,-0.5434,-0.526,early
акт,2,1,0.3,0.15,-0.5434,-0.526,early
алфавит,2,1,0.3,0.15,-0.5434,-0.526,early
астрологический,2,1,0.3,0.15,-0.5434,-0.526,early
аурангабад,2,1,0.3,0.15,-0.5434,-0.526,early
ашвагхошить,2,1,0.3,0.15,-0.5434,-0.526,early
баул,2,1,0.3,0.15,-0.5434,-0.526,early
биография,2,1,0.3,0.15,-0.5434,-0.526,early
вайшешик,2,1,0.3,0.15,-0.5434,-0.526,early
взаимодействие,2,1,0.3,0.15,-0.5434,-0.526,early
вид,2,1,0.3,0.15,-0.5434,-0.526,early
визуальный,2,1,0.3,0.15,-0.5434,-0.526,early
власть,2,1,0.3,0.15,-0.5434,-0.526,early
воспоминание,2,1,0.3,0.15,-0.5434,-0.526,early
гость,2,1,0.3,0.15,-0.5434,-0.526,early
группа,2,1,0.3,0.15,-0.5434,-0.526,early
гуджарат,2,1,0.3,0.15,-0.5434,-0.526,early
далджито,2,1,0.3,0.15,-0.5434,-0.526,early
дерево,2,1,0.3,0.15,-0.5434,-0.526,early
дешик,2,1,0.3,0.15,-0.5434,-0.526,early
диалог,2,1,0.3,0.15,-0.5434,-0.526,early
дхармашастр,2,1,0.3,0.15,-0.5434,-0.526,early
жизнеописание,2,1,0.3,0.15,-0.5434,-0.526,early
завершать,2,1,0.3,0.15,-0.5434,-0.526,early
записка,2,1,0.3,0.15,-0.5434,-0.526,early
идеологический,2,1,0.3,0.15,-0.5434,-0.526,early
иллюзия,2,1,0.3,0.15,-0.5434,-0.526,early
индоиранский,2,1,0.3,0.15,-0.5434,-0.526,early
институт,2,1,0.3,0.15,-0.5434,-0.526,early
каста,2,1,0.3,0.15,-0.5434,-0.526,early
конструкция,2,1,0.3,0.15,-0.5434,-0.526,early
конференция,2,1,0.3,0.15,-0.5434,-0.526,early
ксилограф,2,1,0.3,0.15,-0.5434,-0.526,early
мудрость,2,1,0.3,0.15,-0.5434,-0.526,early
награ,2,1,0.3,0.15,-0.5434,-0.526,early
называть,2,1,0.3,0.15,-0.5434,-0.526,early
обозначение,2,1,0.3,0.15,-0.5434,-0.526,early
основание,2,1,0.3,0.15,-0.5434,-0.526,early
песенный,2,1,0.3,0.15,-0.5434,-0.526,early
письменный,2,1,0.3,0.15,-0.5434,-0.526,early
полевой,2,1,0.3,0.15,-0.5434,-0.526,early
полемика,2,1,0.3,0.15,-0.5434,-0.526,early
пословица,2,1,0.3,0.15,-0.5434,-0.526,early
праджняпарамит,2,1,0.3,0.15,-0.5434,-0.526,early
просветление,2,1,0.3,0.15,-0.5434,-0.526,early
птица,2,1,0.3,0.15,-0.5434,-0.526,early
размышление,2,1,0.3,0.15,-0.5434,-0.526,early
рама,2,1,0.3,0.15,-0.5434,-0.526,early
рациональность,2,1,0.3,0.15,-0.5434,-0.526,early
садхана,2,1,0.3,0.15,-0.5434,-0.526,early
свитка,2,1,0.3,0.15,-0.5434,-0.526,early
семья,2,1,0.3,0.15,-0.5434,-0.526,early
специфика,2,1,0.3,0.15,-0.5434,-0.526,early
специфический,2,1,0.3,0.15,-0.5434,-0.526,early
список,2,1,0.3,0.15,-0.5434,-0.526,early
так,2,1,0.3,0.15,-0.5434,-0.526,early
тулунаду,2,1,0.3,0.15,-0.5434,-0.526,early
характеристика,2,1,0.3,0.15,-0.5434,-0.526,early
четвертый,2,1,0.3,0.15,-0.5434,-0.526,early
число,2,1,0.3,0.15,-0.5434,-0.526,early
чудо,2,1,0.3,0.15,-0.5434,-0.526,early
штрих,2,1,0.3,0.15,-0.5434,-0.526,early
элита,2,1,0.3,0.15,-0.5434,-0.526,early
канон,11,9,1.65,1.31,-0.2256,-0.515,early
начало,5,7,0.75,1.02,0.2818,0.502,late
формирование,5,7,0.75,1.02,0.2818,0.502,late
традиционный,12,10,1.8,1.46,-0.2089,-0.499,early
бенгальский,13,11,1.95,1.6,-0.195,-0.486,early
абсолютный,1,2,0.15,0.29,0.4812,0.466,late
адвайта,1,2,0.15,0.29,0.4812,0.466,late
айодхие,1,2,0.15,0.29,0.4812,0.466,late
архив,1,2,0.15,0.29,0.4812,0.466,late
атрибуция,1,2,0.15,0.29,0.4812,0.466,late
библиотека,1,2,0.15,0.29,0.4812,0.466,late
благо,1,2,0.15,0.29,0.4812,0.466,late
бодхисаттва,1,2,0.15,0.29,0.4812,0.466,late
большой,1,2,0.15,0.29,0.4812,0.466,late
брат,1,2,0.15,0.29,0.4812,0.466,late
вербальный,1,2,0.15,0.29,0.4812,0.466,late
гималаи,1,2,0.15,0.29,0.4812,0.466,late
данные,1,2,0.15,0.29,0.4812,0.466,late
день,1,2,0.15,0.29,0.4812,0.466,late
долина,1,2,0.15,0.29,0.4812,0.466,late
дурга,1,2,0.15,0.29,0.4812,0.466,late
житийный,1,2,0.15,0.29,0.4812,0.466,late
заметка,1,2,0.15,0.29,0.4812,0.466,late
зачем,1,2,0.15,0.29,0.4812,0.466,late
игровой,1,2,0.15,0.29,0.4812,0.466,late
индология,1,2,0.15,0.29,0.4812,0.466,late
исследователь,1,2,0.15,0.29,0.4812,0.466,late
историография,1,2,0.15,0.29,0.4812,0.466,late
йогини-тантра,1,2,0.15,0.29,0.4812,0.466,late
карнатака,1,2,0.15,0.29,0.4812,0.466,late
компаративный,1,2,0.15,0.29,0.4812,0.466,late
лирика,1,2,0.15,0.29,0.4812,0.466,late
манускрипт,1,2,0.15,0.29,0.4812,0.466,late
мать,1,2,0.15,0.29,0.4812,0.466,late
медитация,1,2,0.15,0.29,0.4812,0.466,late
мессершмидт,1,2,0.15,0.29,0.4812,0.466,late
мистический,1,2,0.15,0.29,0.4812,0.466,late
нарратив,1,2,0.15,0.29,0.4812,0.466,late
обучение,1,2,0.15,0.29,0.4812,0.466,late
основный,1,2,0.15,0.29,0.4812,0.466,late
перспектива,1,2,0.15,0.29,0.4812,0.466,late
повод,1,2,0.15,0.29,0.4812,0.466,late
поле,1,2,0.15,0.29,0.4812,0.466,late
потоп,1,2,0.15,0.29,0.4812,0.466,late
почему,1,2,0.15,0.29,0.4812,0.466,late
ракурс,1,2,0.15,0.29,0.4812,0.466,late
результат,1,2,0.15,0.29,0.4812,0.466,late
ренессанс,1,2,0.15,0.29,0.4812,0.466,late
речевой,1,2,0.15,0.29,0.4812,0.466,late
семь,1,2,0.15,0.29,0.4812,0.466,late
серия,1,2,0.15,0.29,0.4812,0.466,late
сикхский,1,2,0.15,0.29,0.4812,0.466,late
синоним,1,2,0.15,0.29,0.4812,0.466,late
сквозь,1,2,0.15,0.29,0.4812,0.466,late
смерть,1,2,0.15,0.29,0.4812,0.466,late
сом,1,2,0.15,0.29,0.4812,0.466,late
сон,1,2,0.15,0.29,0.4812,0.466,late
сочинение,1,2,0.15,0.29,0.4812,0.466,late
стилистика,1,2,0.15,0.29,0.4812,0.466,late
такой,1,2,0.15,0.29,0.4812,0.466,late
телесность,1,2,0.15,0.29,0.4812,0.466,late
тень,1,2,0.15,0.29,0.4812,0.466,late
течение,1,2,0.15,0.29,0.4812,0.466,late
трактовка,1,2,0.15,0.29,0.4812,0.466,late
утпаладев,1,2,0.15,0.29,0.4812,0.466,late
четыре,1,2,0.15,0.29,0.4812,0.466,late
шайв-бхакть,1,2,0.15,0.29,0.4812,0.466,late
шантаракшит,1,2,0.15,0.29,0.4812,0.466,late
языковой,1,2,0.15,0.29,0.4812,0.466,late
индуистский,6,8,0.9,1.17,0.2399,0.46,late
мир,6,8,0.9,1.17,0.2399,0.46,late
слово,6,8,0.9,1.17,0.2399,0.46,late
теория,6,8,0.9,1.17,0.2399,0.46,late
британский,3,2,0.45,0.29,-0.3691,-0.446,early
вакьяпадий,3,2,0.45,0.29,-0.3691,-0.446,early
вастувидья,3,2,0.45,0.29,-0.3691,-0.446,early
ведды,3,2,0.45,0.29,-0.3691,-0.446,early
доктрина,3,2,0.45,0.29,-0.3691,-0.446,early
другой,3,2,0.45,0.29,-0.3691,-0.446,early
духовный,3,2,0.45,0.29,-0.3691,-0.446,early
женский,3,2,0.45,0.29,-0.3691,-0.446,early
корень,3,2,0.45,0.29,-0.3691,-0.446,early
могольский,3,2,0.45,0.29,-0.3691,-0.446,early
определение,3,2,0.45,0.29,-0.3691,-0.446,early
основа,3,2,0.45,0.29,-0.3691,-0.446,early
открытие,3,2,0.45,0.29,-0.3691,-0.446,early
последний,3,2,0.45,0.29,-0.3691,-0.446,early
предварительный,3,2,0.45,0.29,-0.3691,-0.446,early
размер,3,2,0.45,0.29,-0.3691,-0.446,early
сборник,3,2,0.45,0.29,-0.3691,-0.446,early
свет,3,2,0.45,0.29,-0.3691,-0.446,early
содержание,3,2,0.45,0.29,-0.3691,-0.446,early
стих,3,2,0.45,0.29,-0.3691,-0.446,early
типология,3,2,0.45,0.29,-0.3691,-0.446,early
фигура,3,2,0.45,0.29,-0.3691,-0.446,early
японский,3,2,0.45,0.29,-0.3691,-0.446,early
драма,7,9,1.05,1.31,0.2079,0.426,late
дискуссия,4,3,0.6,0.44,-0.284,-0.399,early
ивр_ран,4,3,0.6,0.44,-0.284,-0.399,early
