gm_thrid,primary,parent,entities,n_messages,year
7496872302775107584,книга,книги_и_раздача,,9,2025
7506843721863790592,разное,прочее,,1,2025
7497624500469497856,стотра_гимн,тексты,,2,2025
7536954354206507008,учебник,грамматика,,1,2025
7487994441116942336,панини,грамматика,Patañjali|Pune,1,2025
7521675553804386304,шрифт,инструменты,,1,2025
7535772141604569088,разное,прочее,,1,2025
7520378769757962240,этимология,лексикография,,3,2025
7535043451678621696,разное,прочее,,1,2025
7518007036328542208,встреча_событие,организация_группы,,2,2025
7527268806069059584,сайт,инструменты,,1,2025
7529132672771162112,текст,тексты,Махабхарата,5,2025
7520512474198573056,словарь,лексикография,Apte Practical Sanskrit-English Dictionary|Pāṇini|Vaman Shivram Apte,11,2025
7501620649674145792,разное,прочее,,1,2025
7513312050264670208,текст,тексты,,11,2025
7534667351339302912,книга,книги_и_раздача,,2,2025
7503954478640398336,учебник,грамматика,,3,2025
7493793703292567552,разное,прочее,Tatyana Elizarenkova,5,2025
7528749326210695168,мантра_бхакти,тексты,,1,2025
7499545561860669440,традиция_философия,история_и_культура,,1,2025
7488399219629228032,стотра_гимн,тексты,,1,2025
7516620050390843392,книга,книги_и_раздача,Махабхарата,1,2025
7529789515656855552,книга,книги_и_раздача,,1,2025
7530230520740839424,книга,книги_и_раздача,Рамаяна,1,2025
7538694458735329280,встреча_событие,организация_группы,Moscow,1,2025
7507064901221744640,программа_приложение,инструменты,Аштадхьяи,2,2025
7517289262404861952,pdf,инструменты,,1,2025
7495346473324773376,стотра_гимн,тексты,,2,2025
7498247892097826816,разное,прочее,,4,2025
7494552362827120640,встреча_событие,организация_группы,Moscow,1,2025
7521813579312398336,словарь,лексикография,Georg Bühler|Пураны,4,2025
7503981044107837440,текст,тексты,Wikipedia|Śaṅkara|Упанишады,14,2025
7527691538462146560,книга,книги_и_раздача,,1,2025
7471254682805993472,словарь,лексикография,,2,2025
7467929422914387968,учебник,грамматика,,1,2025
7472655696497999872,текст,тексты,Махабхарата,6,2025
7481332733173563392,разное,прочее,,3,2025
7473932093024632832,словарь,лексикография,,5,2025
7478332688594632704,сандхи_фонетика,грамматика,,1,2025
7468597327517712384,сравнительное_языкознание,лексикография,,2,2025
7471224627506708480,панини,грамматика,Patañjali,1,2025
7485385861358419968,текст,тексты,,1,2025
7483999138706620416,текст,тексты,,1,2025
7473442181375590400,разное,прочее,,1,2025
7476789284400267264,панини,грамматика,Patañjali,5,2025
7472412343952998400,текст,тексты,Moscow|Махабхарата,1,2025
7480591087671705600,учебник,грамматика,,2,2025
7480868525421101056,астрология,прочее,Ригведа,5,2025
7472615634431377408,книга,книги_и_раздача,Wilson Sanskrit-English Dictionary|Упанишады,9,2025
7475102947935780864,учебник,грамматика,Аштадхьяи,13,2025
7473426753692631040,разное,прочее,,1,2025
7469825838282702848,разное,прочее,,1,2025
7477495483282227200,курс_практикум,организация_группы,Patañjali,1,2025
7469090856742420480,разное,прочее,,1,2025
7469356417630076928,словарь,лексикография,Hermann Grassmann|Wörterbuch zum Rig-Veda|Ригведа,1,2025
7472267656378187776,сайт,инструменты,,1,2025
7485973711803121664,шрифт,инструменты,,1,2025
7478656652235767808,словарь,лексикография,GitHub|Ригведа,1,2025
7478999639175200768,текст,тексты,Упанишады,2,2025
7481621081087803392,разное,прочее,,5,2025
7468227321884835840,pdf,инструменты,,1,2025
7479803334372622336,словообразование_сложные_слова,грамматика,Wilson Sanskrit-English Dictionary,1,2025
7472285536292438016,панини,грамматика,Patañjali|Śaṅkara|Упанишады,17,2025
7473930006382510080,разное,прочее,,1,2025
7479585909653897216,учебник,грамматика,,2,2025
7480468622364639232,словарь,лексикография,,7,2025
7477947081256075264,этимология,лексикография,Andrey Zaliznyak,2,2025
7475451882044915712,встреча_событие,организация_группы,Moscow|Ригведа,1,2025
7487492433390862336,учебник,грамматика,,2,2025
7474874303429738496,словарь,лексикография,,1,2025
7478600065715535872,спряжение_глагол,грамматика,,3,2025
7477221154318450688,учебник,грамматика,,2,2025
7473915869778673664,книга,книги_и_раздача,Бхагавад-гита,1,2025
7484227026675564544,разное,прочее,,1,2025
7475938215615004672,разное,прочее,,1,2025
7465344311995924480,словарь,лексикография,,1,2025
7469793026614755328,шрифт,инструменты,,14,2025
7464558488426905600,книга,книги_и_раздача,GitHub|Wikipedia|Махабхарата,14,2025
7476445887424626688,перевод_вопрос,переводы_и_издания,,1,2025
7473242497148256256,текст,тексты,,1,2025
7473921876218085376,текст,тексты,Махабхарата|Рамаяна,3,2025
7475267342293794816,разное,прочее,,3,2025
7479486801675026432,учебник,грамматика,,1,2025
7473504629751283712,книга,книги_и_раздача,,1,2025
7485095117096747008,разное,прочее,,1,2025
7471654917867831296,шрифт,инструменты,,1,2025
7472078598934888448,словарь,лексикография,GitHub|Grosses Petersburger Wörterbuch,2,2025
7485308935009730560,комментарии_ачарьи,тексты,,1,2025
7483103022041530368,разное,прочее,,4,2025
7471948383746260992,словарь,лексикография,Pāṇini|Рамаяна,1,2025
7480475989536931840,учебник,грамматика,Махабхарата,10,2025
7466066190513733632,текст,тексты,,3,2025
7465469562027245568,разное,прочее,,1,2025
7485406706635112448,корпус_данные,инструменты,,1,2025
7477666649343000576,разное,прочее,Patañjali|Pāṇini|Śaṅkara|Махабхарата|Панчатантра|Упанишады,24,2025
7473145024090210304,учебник,грамматика,,1,2025
7478708322323922944,традиция_философия,история_и_культура,Moscow,1,2025
7477486999880859648,текст,тексты,Рамаяна,1,2025
7464281196005949440,словарь,лексикография,,1,2025
7470418801659478016,традиция_философия,история_и_культура,,1,2025
7469347078407192576,словарь,лексикография,Hermann Grassmann|Tatyana Elizarenkova|Wörterbuch zum Rig-Veda|Ригведа,1,2025
7465452395589271552,разное,прочее,,1,2025
7486397158921338880,книга,книги_и_раздача,,1,2025
7473925949096984576,текст,тексты,,1,2025
7473932342614032384,словарь,лексикография,,1,2025
7467292049046241280,словарь,лексикография,,3,2025
7480063049924083712,разное,прочее,,1,2025
7473088911491727360,разное,прочее,,1,2025
7473491919244361728,книга,книги_и_раздача,Moscow,1,2025
7467280142253948928,учебник,грамматика,,1,2025
7478015740989145088,текст,тексты,Махабхарата|Рамаяна,2,2025
7487221908753088512,комментарии_ачарьи,тексты,,1,2025
7478700151679221760,книга,книги_и_раздача,,1,2025
7473121881514573824,учебник,грамматика,,7,2025
7472335780344496128,разное,прочее,,1,2025
7469269484018073600,словарь,лексикография,,3,2025
7465342506930012160,разное,прочее,,1,2025
7478559669333524480,курс_практикум,организация_группы,Patañjali,1,2025
7468610508705234944,учебник,грамматика,,1,2025
7484629616211001344,разное,прочее,,1,2025
7486518370002534400,программа_приложение,инструменты,,1,2025
7481512489773957120,словарь,лексикография,,1,2025
7484299892957904896,словарь,лексикография,Saint Petersburg,2,2025
7473396891999272960,pdf,инструменты,GitHub|Махабхарата,4,2025
7476487287276044288,словарь,лексикография,,2,2025
7476790020653711360,словарь,лексикография,Rudolph Roth,31,2025
7475618665779429376,книга,книги_и_раздача,Patañjali,2,2025
7469834080561922048,разное,прочее,,1,2025
7426997672660172800,разное,прочее,,1,2024
7448608860297756672,учебник,грамматика,,1,2024
7434432403856162816,словарь,лексикография,DCS|GitHub|Monier-Williams,2,2024
7431849989967446016,текст,тексты,,1,2024
7454233136526786560,учебник,грамматика,,2,2025
7425297818907049984,разное,прочее,,1,2024
7422698409453158400,разное,прочее,Monier-Williams|Wilson Sanskrit-English Dictionary,12,2024
7429998335216320512,словарь,лексикография,,2,2024
7426337321546416128,учебник,грамматика,Ferdinand Knauer|Georg Bühler|Pāṇini,11,2024
7448298915339698176,перевод_вопрос,переводы_и_издания,,1,2024
7433448236839337984,сайт,инструменты,Andrey Zaliznyak,1,2024
7430383440897245184,мантра_бхакти,тексты,,24,2024
7425292968758607872,шрифт,инструменты,,6,2024
7452286268698787840,перевод_вопрос,переводы_и_издания,,1,2024
7440084251934982144,текст,тексты,,1,2024
7456821306250493952,учебник,грамматика,Pāṇini,2,2025
7434254710394060800,учебник,грамматика,,3,2024
7422670524607627264,разное,прочее,,2,2024
7459349731142008832,словарь,лексикография,Monier-Williams|Рамаяна,3,2025
7462227516865904640,разное,прочее,,5,2025
7441496879327608832,словарь,лексикография,DCS|GitHub,1,2024
7430376459023155200,текст,тексты,Ригведа,4,2024
7427472963616636928,текст,тексты,,1,2024
7437962829413482496,учебник,грамматика,,2,2024
7429414835976142848,спряжение_глагол,грамматика,,5,2024
7440146203221688320,разное,прочее,,1,2024
7459051390737842176,текст,тексты,Махабхарата,11,2025
7435715695880437760,сайт,инструменты,GitHub,1,2024
7426366209755447296,словарь,лексикография,,10,2024
7455640402020794368,текст,тексты,Махабхарата,3,2025
7433892315008073728,разное,прочее,,11,2024
7464279698261934080,индия_путешествие,история_и_культура,,1,2025
7448540738074181632,разное,прочее,,1,2024
7438284647804436480,текст,тексты,Moscow,1,2024
7425174698709745664,мантра_бхакти,тексты,,2,2024
7441494932232077312,учебник,грамматика,,1,2024
7459303059108134912,учебник,грамматика,,1,2025
7445251160118657024,учебник,грамматика,Moscow,1,2024
7439323682685583360,индия_путешествие,история_и_культура,,1,2024
7431119006797398016,текст,тексты,,1,2024
7436425683763462144,программа_приложение,инструменты,,1,2024
7448706060242649088,перевод_вопрос,переводы_и_издания,,1,2024
7430129099478138880,сандхи_фонетика,грамматика,Pāṇini|Wilson Sanskrit-English Dictionary,49,2024
7443338164993785856,книга,книги_и_раздача,Махабхарата,7,2024
7435900641128480768,спряжение_глагол,грамматика,Ригведа,3,2024
7448251540520828928,разное,прочее,Moscow,1,2024
7444537989836832768,текст,тексты,Махабхарата,5,2024
7464227421567320064,метрика_чхандас,грамматика,,1,2025
7460781315639476224,pdf,инструменты,,1,2025
7434129286777274368,разное,прочее,Махабхарата,3,2024
7435268258786181120,текст,тексты,,7,2024
7458039906048147456,традиция_философия,история_и_культура,,1,2025
7432351860671905792,курс_практикум,организация_группы,,2,2024
7439333611114856448,разное,прочее,,1,2024
7432761082678083584,текст,тексты,,1,2024
7463566892881412096,pdf,инструменты,Moscow|Ригведа,1,2025
7443110040214437888,разное,прочее,,1,2024
7445214949451759616,курс_практикум,организация_группы,,1,2024
7425516008379514880,разное,прочее,,5,2024
7439318404900585472,разное,прочее,,1,2024
7434501510125322240,текст,тексты,,2,2024
7432678828402540544,книга,книги_и_раздача,Moscow|Saint Petersburg,1,2024
7443164521811673088,текст,тексты,Махабхарата,1,2024
7454959292506963968,текст,тексты,Śaṅkara,3,2025
7434049907353190400,словарь,лексикография,Бхагавад-гита,1,2024
7455723468837879808,разное,прочее,,4,2025
7460651842124382208,этимология,лексикография,,2,2025
7434043002470793216,синтаксис,грамматика,,2,2024
7435945989847908352,книга,книги_и_раздача,,1,2024
7422742417247305728,текст,тексты,,1,2024
7455973723827339264,комментарии_ачарьи,тексты,,1,2025
7449050052931092480,курс_практикум,организация_группы,,1,2024
7457501970812633088,персона_ученый,история_и_культура,,1,2025
7439322998483451904,текст,тексты,Moscow|Махабхарата,4,2024
7435310600951955456,синтаксис,грамматика,,4,2024
7428969783007117312,разное,прочее,,2,2024
7434259087710224384,учебник,грамматика,DCS,1,2024
7425157598668652544,текст,тексты,Махабхарата,7,2024
7433425131730370560,сайт,инструменты,Moscow,1,2024
7439280813124878336,разное,прочее,,1,2024
7434262289975345152,словарь,лексикография,,1,2024
7438952321038417920,словарь,лексикография,Wikipedia|Аштадхьяи,4,2024
7463391689055404032,pdf,инструменты,Moscow,1,2025
7433714174116495360,книга,книги_и_раздача,Moscow|Saint Petersburg,1,2024
7429003015804157952,сайт,инструменты,Moscow,1,2024
7461707380122714112,курс_практикум,организация_группы,,1,2025
7440750785997045760,комментарии_ачарьи,тексты,Śaṅkara,9,2024
7454166692497719296,словарь,лексикография,Wikipedia,6,2025
7426082900646297600,встреча_событие,организация_группы,Moscow,4,2024
7430381701173346304,разное,прочее,,3,2024
7460162629441421312,учебник,грамматика,,2,2025
7454487128712413184,спряжение_глагол,грамматика,,5,2025
7454956450035531776,текст,тексты,Wikipedia|Ригведа,3,2025
7437831720471101440,встреча_событие,организация_группы,Moscow,2,2024
7458319802876035072,программа_приложение,инструменты,,1,2025
7444567604513996800,разное,прочее,,3,2024
7434131415870996480,pdf,инструменты,,1,2024
7367023439012429824,курс_практикум,организация_группы,,1,2024
7375425752756387840,разное,прочее,Delhi,1,2024
7404481579426250752,учебник,грамматика,Pāṇini|Аштадхьяи,4,2024
7356987592308424704,разное,прочее,,2,2024
7368144528722624512,словарь,лексикография,Moscow|Saint Petersburg,1,2024
7374323076099473408,разное,прочее,,10,2024
7356674843258912768,шрифт,инструменты,,1,2024
7409363428485103616,текст,тексты,,1,2024
7413693028278206464,разное,прочее,,4,2024
7400258788298588160,курс_практикум,организация_группы,,1,2024
7402514903089545216,этимология,лексикография,,1,2024
7396962405783175168,текст,тексты,Махабхарата,1,2024
7418913435437498368,текст,тексты,,1,2024
7418833452476137472,текст,тексты,Упанишады,1,2024
7406251335730855936,разное,прочее,,6,2024
7368699231401410560,книга,книги_и_раздача,,3,2024
7414251512653676544,встреча_событие,организация_группы,,1,2024
7361060952016420864,pdf,инструменты,,1,2024
7367017258146594816,разное,прочее,,1,2024
7361857265164353536,книга,книги_и_раздача,,1,2024
7362667833310838784,текст,тексты,,13,2024
7388894779049771008,словарь,лексикография,Georg Bühler|Упанишады,12,2024
7402275559954186240,курс_практикум,организация_группы,,2,2024
7357060185811058688,шрифт,инструменты,,1,2024
7409508324319690752,учебник,грамматика,,1,2024
7412218593951088640,шрифт,инструменты,,1,2024
7360016109253165056,программа_приложение,инструменты,,1,2024
7403637321739796480,разное,прочее,,1,2024
7422256218903674880,pdf,инструменты,,5,2024
7419748950010232832,текст,тексты,Moscow|Махабхарата|Рамаяна,1,2024
7412220062626480128,словарь,лексикография,,1,2024
7409601035793072128,текст,тексты,Ригведа,1,2024
7413491437342294016,учебник,грамматика,,3,2024
