topic,entity,count
панини,Śaṅkara,8
комментарии_ачарьи,Śaṅkara,8
текст,DCS,8
исправление_опечаток,Ferdinand Knauer,8
словарь,Sanskrit-Wörterbuch in kürzerer Fassung,8
словарь,Wörterbuch zum Rig-Veda,7
книга,Śaṅkara,7
разное,Delhi,7
текст,Andrey Zaliznyak,7
книга,Tatyana Elizarenkova,7
текст,Панчатантра,7
шрифт,Andrey Zaliznyak,7
книга,Ferdinand Knauer,7
словарь,Pune,7
книга,Varanasi,7
этимология,Varanasi,7
словарь,SLP1,7
учебник,Dropbox,7
панини,Rapidshare,7
программа_приложение,Moscow,6
встреча_событие,Moscow,6
учебник,Śaṅkara,6
мантра_бхакти,Wikipedia,6
шрифт,Patañjali,6
словарь,Hermann Grassmann,6
pdf,Wikipedia,6
сайт,Ригведа,6
учебник,Пураны,6
словарь,Amarakosha,6
сайт,Йога-Васиштха,6
терминология,Pāṇini,6
pdf,Бхагавад-гита,6
словарь,ITRANS,6
сайт,Harvard-Kyoto,6
учебник,Рамаяна,5
книга,Delhi,5
астрология,Махабхарата,5
панини,Ригведа,5
этимология,Аштадхьяи,5
астрология,Ригведа,5
этимология,Andrey Zaliznyak,5
словарь,Cappeller Sanskrit-English Dictionary,5
терминология,Patañjali,5
спряжение_глагол,Йога-Васиштха,5
сайт,Бхагавад-гита,5
шрифт,Dropbox,5
словарь,Harvard-Kyoto,5
разное,Rudolph Roth,5
pdf,Ferdinand Knauer,5
сайт,Махабхарата,4
сайт,Andrey Zaliznyak,4
pdf,Moscow,4
традиция_философия,Rudolph Roth,4
терминология,Wikipedia,4
стотра_гимн,Wikipedia,4
шрифт,Ригведа,4
терминология,Йога-Васиштха,4
перевод_вопрос,Wikipedia,4
комментарии_ачарьи,Ригведа,4
учебник,Rudolph Roth,4
сайт,Patañjali,4
книга,Дхатупатха,4
шрифт,SLP1,4
перевод_вопрос,Patañjali,4
учебник,Панчатантра,3
текст,Saint Petersburg,3
текст,Delhi,3
шрифт,Махабхарата,3
сайт,Moscow,3
панини,Andrey Zaliznyak,3
разное,Пураны,3
pdf,Tatyana Elizarenkova,3
индия_путешествие,Wikipedia,3
словарь,Carl Cappeller,3
терминология,Śaṅkara,3
pdf,Упанишады,3
синтаксис,Йога-Васиштха,3
встреча_событие,DCS,3
панини,SLP1,3
склонение_падеж,Йога-Васиштха,3
шрифт,Упанишады,3
книга,Kātyāyana,3
сайт,Упанишады,3
pdf,Аштадхьяи,3
сандхи_фонетика,Ригведа,3
учебник,Дхатупатха,3
программа_приложение,Patañjali,3
панини,Wikipedia,3
комментарии_ачарьи,Wikipedia,3
сайт,ITRANS,3
разное,Velthuis,3
разное,ITRANS,3
разное,SLP1,3
программа_приложение,ITRANS,3
программа_приложение,SLP1,3
разное,Dropbox,3
шрифт,Йога-Васиштха,3
pdf,Delhi,3
сравнительное_языкознание,Pāṇini,3
книга,Аштадхьяи,3
билингва_английский,Moscow,3
шрифт,Rapidshare,3
pdf,Patañjali,3
сайт,Ferdinand Knauer,2
астрология,Йога-Васиштха,2
спряжение_глагол,Delhi,2
шрифт,Moscow,2
этимология,Махабхарата,2
курс_практикум,Delhi,2
программа_приложение,Аштадхьяи,2
курс_практикум,Ригведа,2
курс_практикум,Patañjali,2
курс_практикум,Andrey Zaliznyak,2
спряжение_глагол,Аштадхьяи,2
комментарии_ачарьи,Moscow,2
разное,Рамаяна,2
синтаксис,Moscow,2
корпус_данные,Махабхарата,2
разное,Pune,2
сандхи_фонетика,Wikipedia,2
сайт,DCS,2
традиция_философия,Wikipedia,2
учебник,Vācaspatyam,2
чтение,Махабхарата,2
перевод_вопрос,Аштадхьяи,2
спряжение_глагол,Tatyana Elizarenkova,2
учебник,Horace Hayman Wilson,2
склонение_падеж,Horace Hayman Wilson,2
метрика_чхандас,Йога-Васиштха,2
курс_практикум,Wikipedia,2
словарь,Панчатантра,2
текст,Dropbox,2
сайт,Рамаяна,2
pdf,Kātyāyana,2
индия_путешествие,Махабхарата,2
словарь,Дхатупатха,2
текст,Horace Hayman Wilson,2
текст,Wilson Sanskrit-English Dictionary,2
разное,Панчатантра,2
сандхи_фонетика,Йога-Васиштха,2
книга,ITRANS,2
разное,Hermann Grassmann,2
разное,Wörterbuch zum Rig-Veda,2
курс_практикум,Рамаяна,2
синтаксис,Hermann Grassmann,2
синтаксис,Wörterbuch zum Rig-Veda,2
словарь,Śabdakalpadruma,2
билингва_английский,Wikipedia,2
pdf,DCS,2
шрифт,Velthuis,2
pdf,Varanasi,2
традиция_философия,Patañjali,2
текст,Otto Böhtlingk,2
сравнительное_языкознание,Andrey Zaliznyak,2
терминология,Ferdinand Knauer,2
учебник,ITRANS,2
pdf,Śaṅkara,2
шрифт,Śaṅkara,2
сайт,Śaṅkara,2
текст,Rapidshare,2
учебник,Wilson Sanskrit-English Dictionary,2
шрифт,Аштадхьяи,2
спряжение_глагол,Rapidshare,2
синтаксис,Махабхарата,1
астрология,Patañjali,1
спряжение_глагол,Moscow,1
корпус_данные,DCS,1
этимология,Рамаяна,1
курс_практикум,Moscow,1
панини,Pune,1
словообразование_сложные_слова,Wilson Sanskrit-English Dictionary,1
встреча_событие,Ригведа,1
книга,Панчатантра,1
традиция_философия,Moscow,1
учебник,DCS,1
шрифт,Rudolph Roth,1
панини,Varanasi,1
pdf,GitHub,1
комментарии_ачарьи,Delhi,1
словообразование_сложные_слова,Махабхарата,1
чтение,Moscow,1
этимология,Patañjali,1
встреча_событие,Delhi,1
сравнительное_языкознание,Moscow,1
сайт,Saint Petersburg,1
этимология,Monier-Williams,1
pdf,Пураны,1
стотра_гимн,Dropbox,1
разное,Monier-Williams,1
билингва_английский,Śaṅkara,1
билингва_английский,Varanasi,1
билингва_английский,Pune,1
билингва_английский,Delhi,1
перевод_вопрос,Ригведа,1
частицы_служебные_слова,Moscow,1
частицы_служебные_слова,Saint Petersburg,1
словообразование_сложные_слова,Пураны,1
словообразование_сложные_слова,Wikipedia,1
этимология,Tatyana Elizarenkova,1
шрифт,Пураны,1
спряжение_глагол,Rudolph Roth,1
сайт,Wikipedia,1
словообразование_сложные_слова,Ferdinand Knauer,1
склонение_падеж,Wilson Sanskrit-English Dictionary,1
мантра_бхакти,Пураны,1
спряжение_глагол,Махабхарата,1
перевод_вопрос,Бхагавад-гита,1
текст,Pune,1
индия_путешествие,Varanasi,1
спряжение_глагол,Andrey Zaliznyak,1
частицы_служебные_слова,Махабхарата,1
частицы_служебные_слова,Śaṅkara,1
частицы_служебные_слова,Horace Hayman Wilson,1
частицы_служебные_слова,Wilson Sanskrit-English Dictionary,1
сандхи_фонетика,Śaṅkara,1
билингва_английский,Andrey Zaliznyak,1
встреча_событие,Wikipedia,1
курс_практикум,Varanasi,1
спряжение_глагол,Упанишады,1
текст,Monier-Williams,1
сайт,Дхатупатха,1
сравнительное_языкознание,Wikipedia,1
стотра_гимн,Horace Hayman Wilson,1
стотра_гимн,Wilson Sanskrit-English Dictionary,1
учебник,GitHub,1
текст,Kātyāyana,1
сайт,SLP1,1
книга,Vrindavan,1
текст,Śabdakalpadruma,1
книга,Vācaspatyam,1
разное,DCS,1
терминология,Ригведа,1
стотра_гимн,Arthur Macdonell,1
стотра_гимн,Macdonell Sanskrit-English Dictionary,1
этимология,Ригведа,1
стотра_гимн,Varanasi,1
этимология,Wikipedia,1
панини,Kātyāyana,1
курс_практикум,Kātyāyana,1
сайт,Delhi,1
шрифт,Ferdinand Knauer,1
книга,Hermann Grassmann,1
книга,Wörterbuch zum Rig-Veda,1
сандхи_фонетика,Панчатантра,1
сандхи_фонетика,ITRANS,1
терминология,Rudolph Roth,1
перевод_вопрос,Tatyana Elizarenkova,1
терминология,Horace Hayman Wilson,1
терминология,Wilson Sanskrit-English Dictionary,1
курс_практикум,Dropbox,1
pdf,Рамаяна,1
панини,Пураны,1
шрифт,Otto Böhtlingk,1
панини,Махабхарата,1
сайт,Tatyana Elizarenkova,1
йога_васиштха,Andrey Zaliznyak,1
этимология,Moscow,1
мантра_бхакти,Махабхарата,1
текст,SLP1,1
астрология,Бхагавад-гита,1
панини,Wilson Sanskrit-English Dictionary,1
индия_путешествие,Śabdakalpadruma,1
разное,Śabdakalpadruma,1
книга,Śabdakalpadruma,1
метрика_чхандас,Махабхарата,1
перевод_вопрос,Упанишады,1
исправление_опечаток,Йога-Васиштха,1
сайт,Velthuis,1
pdf,Velthuis,1
учебник,Wörterbuch zum Rig-Veda,1
шрифт,Unicode Devanagari,1
индия_путешествие,Панчатантра,1
сайт,Dropbox,1
корпус_данные,Dropbox,1
книга,DCS,1
корпус_данные,Tatyana Elizarenkova,1
панини,Tatyana Elizarenkova,1
традиция_философия,Harvard-Kyoto,1
книга,Rudolph Roth,1
программа_приложение,Velthuis,1
этимология,Dropbox,1
исправление_опечаток,Dropbox,1
синтаксис,Delhi,1
программа_приложение,Dropbox,1
pdf,ITRANS,1
йога_васиштха,Махабхарата,1
встреча_событие,Varanasi,1
сайт,Пураны,1
традиция_философия,Andrey Zaliznyak,1
индия_путешествие,Andrey Zaliznyak,1
pdf,Панчатантра,1
склонение_падеж,Patañjali,1
метрика_чхандас,Patañjali,1
синтаксис,Patañjali,1
панини,DCS,1
спряжение_глагол,Ригведа,1
йога_васиштха,Rapidshare,1
сравнительное_языкознание,Дхатупатха,1
сайт,Rudolph Roth,1
мантра_бхакти,Rapidshare,1
учебник,Harvard-Kyoto,1
учебник,SLP1,1
учебник,Velthuis,1
курс_практикум,Аштадхьяи,1
сайт,Varanasi,1
индия_путешествие,Saint Petersburg,1
индия_путешествие,Упанишады,1
разное,Vrindavan,1
разное,Otto Böhtlingk,1
этимология,Rapidshare,1
pdf,Wilson Sanskrit-English Dictionary,1
склонение_падеж,Śaṅkara,1
словообразование_сложные_слова,Śaṅkara,1
склонение_падеж,Andrey Zaliznyak,1
обмен_файлами,Махабхарата,1
обмен_файлами,Saint Petersburg,1
pdf,Saint Petersburg,1
стотра_гимн,Rapidshare,1
сравнительное_языкознание,Ригведа,1
шрифт,Pune,1
pdf,Hermann Grassmann,1
pdf,Wörterbuch zum Rig-Veda,1
разное,Kātyāyana,1
pdf,Otto Böhtlingk,1
pdf,Carl Cappeller,1
pdf,Cappeller Sanskrit-English Dictionary,1
спряжение_глагол,Varanasi,1
обмен_файлами,Delhi,1
обмен_файлами,Varanasi,1
шрифт,Дхатупатха,1
шрифт,Delhi,1
