source,target,weight,topics,edge_type
Ramadas,S Roy,1,General scholarly discussion,thread_coparticipation
Ramadas,Ramalingam Shanmugalingam,1,General scholarly discussion,thread_coparticipation
N. Ganesan,S Roy,1,General scholarly discussion,thread_coparticipation
George Thompson,Shrinivas Tilak,1,General scholarly discussion,thread_coparticipation
George Thompson,S Roy,1,General scholarly discussion,thread_coparticipation
Georg von Simson,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,D.H. Killingley,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Vasudha Narayanan,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Mittal Sushil,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Lars Martin Fosse,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Kristen Anne Hardy,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,John Smith,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Horst Lasic,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Harry Falk,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Harold F. Arnold,1,General scholarly discussion,thread_coparticipation
Dmitri,Peter Wyzlic,1,General scholarly discussion,thread_coparticipation
Shrinivas Tilak,V.V. Raman,1,General scholarly discussion,thread_coparticipation
S Roy,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
S Roy,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
S Roy,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
S Roy,V.V. Raman,1,General scholarly discussion,thread_coparticipation
S Roy,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
Richard B Mahoney,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
Richard B Mahoney,Royce Wiles,1,General scholarly discussion,thread_coparticipation
Lynken Ghose,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
Lynken Ghose,Royce Wiles,1,General scholarly discussion,thread_coparticipation
Lynken Ghose,Richard B Mahoney,1,General scholarly discussion,thread_coparticipation
J. Daniel White,Yashwant Malaiya,1,Announcements and events,thread_coparticipation
Maciej St. Zieba,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Maciej St. Zieba,1,General scholarly discussion,thread_coparticipation
Geeta Bharathan,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Geeta Bharathan,Periannan Chandrasekaran,1,General scholarly discussion,thread_coparticipation
Raoul Martens,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Rajesh Kochhar,Raoul Martens,1,General scholarly discussion,thread_coparticipation
Dmitri,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Vasudha Narayanan,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Kristen Anne Hardy,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Horst Lasic,1,General scholarly discussion,thread_coparticipation
Christian K. Wedemeyer,mohkam,1,General scholarly discussion,thread_coparticipation
Christian K. Wedemeyer,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Christian K. Wedemeyer,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,mohkam,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,Christian K. Wedemeyer,1,General scholarly discussion,thread_coparticipation
Rajesh Kochhar,V.V. Raman,1,General scholarly discussion,thread_coparticipation
Lukas Werth,Rajesh Kochhar,1,General scholarly discussion,thread_coparticipation
Lukas Werth,N. Ganesan,1,General scholarly discussion,thread_coparticipation
Gabriele Zeller,Peter Wyzlic,1,General scholarly discussion,thread_coparticipation
Gabriele Zeller,Harry Spier,1,General scholarly discussion,thread_coparticipation
Romila Thapar,S. Deshpande,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,S. Deshpande,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Romila Thapar,1,General scholarly discussion,thread_coparticipation
N. Ganesan,Shikaripura Harihareswara,1,General scholarly discussion,thread_coparticipation
Richard B Mahoney,Yashwant Malaiya,1,General scholarly discussion,thread_coparticipation
Richard B Mahoney,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
Trimble,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Srinivasan Pichumani,Trimble,1,General scholarly discussion,thread_coparticipation
Amarjit,David R. Israel,1,General scholarly discussion,thread_coparticipation
Jean-Luc Chevillard,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Jean-Luc Chevillard,S Krishna,1,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Jean-Luc Chevillard,1,General scholarly discussion,thread_coparticipation
James E. Agenbroad,Subrahmanya S.,1,General scholarly discussion,thread_coparticipation
James E. Agenbroad,Shrinivas Tilak,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,James E. Agenbroad,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,James E. Agenbroad,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Bharat Gupt,1,General scholarly discussion,thread_coparticipation
Klaus Karttunen,Patricia Meredith Greer,1,General scholarly discussion,thread_coparticipation
Vidyasankar Sundaresan,mohkam,1,General scholarly discussion,thread_coparticipation
Venkatraman Iyer,mohkam,1,General scholarly discussion,thread_coparticipation
Stephen Hodge,mohkam,1,General scholarly discussion,thread_coparticipation
Claude Setzer,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Claude Setzer,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Claude Setzer,Katharina Kupfer,1,General scholarly discussion,thread_coparticipation
Claude Setzer,John Brockington,1,General scholarly discussion,thread_coparticipation
Arun Gupta,Katharina Kupfer,1,General scholarly discussion,thread_coparticipation
Arun Gupta,John Brockington,1,General scholarly discussion,thread_coparticipation
Vidyasankar Sundaresan,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Subrahmanya S.,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Shrinivas Tilak,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
James E. Agenbroad,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
James E. Agenbroad,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,D.H. Killingley,1,General scholarly discussion,thread_coparticipation
Andrew Cohen,Birgit Kellner,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,INDIAN BOOKS CENTRE,1,General scholarly discussion,thread_coparticipation
Chris Austin,INDIAN BOOKS CENTRE,1,General scholarly discussion,thread_coparticipation
"Aditya, the Hindu Skeptic",John Smith,1,General scholarly discussion,thread_coparticipation
Vidyasankar Sundaresan,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Katharina Kupfer,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Katharina Kupfer,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Katharina Kupfer,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Katharina Kupfer,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
John Brockington,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
John Brockington,hans henrich hock,1,General scholarly discussion,thread_coparticipation
John Brockington,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
John Brockington,Katharina Kupfer,1,General scholarly discussion,thread_coparticipation
Hans Henrich Hock,Katharina Kupfer,1,General scholarly discussion,thread_coparticipation
Hans Henrich Hock,John Brockington,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,John Brockington,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Hans Henrich Hock,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Raffaele Torella,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Enrica Garzilli,1,General scholarly discussion,thread_coparticipation
Chris Austin,Jan E.M. Houben,1,Veda and ritual,thread_coparticipation
B. Reusch,Chris Austin,1,Veda and ritual,thread_coparticipation
Jan E.M. Houben,Trimble,1,General scholarly discussion,thread_coparticipation
Roland Steiner,Swami Gitananda,1,General scholarly discussion,thread_coparticipation
Chris Hibbard/E. Stern,Mariana Caixeiro,1,Digital resources and tools,thread_coparticipation
Hans Henrich Hock,Satish K. Tiwary,1,General scholarly discussion,thread_coparticipation
Hans Henrich Hock,Lynken Ghose,1,General scholarly discussion,thread_coparticipation
Arun Gupta,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Arun Gupta,Satish K. Tiwary,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Satish K. Tiwary,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Lars Martin Fosse,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Hans Henrich Hock,1,General scholarly discussion,thread_coparticipation
hans henrich hock,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
John A Grimes,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Peter D Banos,jonathan silk,1,General scholarly discussion,thread_coparticipation
Peter D Banos,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,Luis Gonzalez-Reimann,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,RM. Krishnan,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,R Srinivasan,1,General scholarly discussion,thread_coparticipation
Lynken Ghose,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Lynken Ghose,Satish K. Tiwary,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Satish K. Tiwary,1,General scholarly discussion,thread_coparticipation
Hans Henrich Hock,Vikrant Shah,1,General scholarly discussion,thread_coparticipation
Hans Henrich Hock,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Raffaele Torella,William Smith,1,General scholarly discussion,thread_coparticipation
Enrica Garzilli,William Smith,1,General scholarly discussion,thread_coparticipation
Enrica Garzilli,Raffaele Torella,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,William Smith,1,General scholarly discussion,thread_coparticipation
R Srinivasan,RM. Krishnan,1,General scholarly discussion,thread_coparticipation
Periannan Chandrasekaran,R Srinivasan,1,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,RM. Krishnan,1,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,R Srinivasan,1,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,Periannan Chandrasekaran,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,RM. Krishnan,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,R Srinivasan,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,N. Ganesan,1,General scholarly discussion,thread_coparticipation
Dr Aloka Parasher-Sen,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Poornima,Trishul (Travis Smith),1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,Trishul (Travis Smith),1,General scholarly discussion,thread_coparticipation
Das Devaraj,Trishul (Travis Smith),1,General scholarly discussion,thread_coparticipation
Das Devaraj,Poornima,1,General scholarly discussion,thread_coparticipation
Das Devaraj,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
John A Grimes,Rolf Heinrich Koch,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Ramadas,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,L. Suresh Kumar-LSK,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,George Thompson,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Dominik Wujastyk,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Bhalchandrarao C Patwardhan,1,General scholarly discussion,thread_coparticipation
Arun Gupta,Bhalchandrarao C Patwardhan,1,General scholarly discussion,thread_coparticipation
Artur Karp,Subrahmanya S.,1,General scholarly discussion,thread_coparticipation
Artur Karp,Ramadas,1,General scholarly discussion,thread_coparticipation
Artur Karp,L. Suresh Kumar-LSK,1,General scholarly discussion,thread_coparticipation
Artur Karp,Bhalchandrarao C Patwardhan,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,L. Suresh Kumar-LSK,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Bhalchandrarao C Patwardhan,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Artur Karp,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Sudalaimuthu Palaniappan,V.V. Raman,1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,Peter D Banos,1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,N. Ganesan,1,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Jay Thakar,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Jay Thakar,Peter D Banos,1,General scholarly discussion,thread_coparticipation
Jay Thakar,Luis Gonzalez-Reimann,1,General scholarly discussion,thread_coparticipation
Prasenjit Medhi,Ven. Tantra,1,History and culture,thread_coparticipation
Dominik Wujastyk,Prasenjit Medhi,1,History and culture,thread_coparticipation
Ramadas,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,Subrahmanya S.,1,General scholarly discussion,thread_coparticipation
L. Suresh Kumar-LSK,Ramadas,1,General scholarly discussion,thread_coparticipation
George Thompson,L. Suresh Kumar-LSK,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Subrahmanya S.,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Ramesh Patnaikuni,1,General scholarly discussion,thread_coparticipation
Jogesh Panda,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
V.V. Raman,Vikrant Shah,1,History and culture,thread_coparticipation
Satish K. Tiwary,V.V. Raman,1,History and culture,thread_coparticipation
Robert Zydenbos,Vikrant Shah,1,History and culture,thread_coparticipation
Robert Zydenbos,V.V. Raman,1,History and culture,thread_coparticipation
Robert Zydenbos,Satish K. Tiwary,1,History and culture,thread_coparticipation
L. Suresh Kumar-LSK,Vikrant Shah,1,History and culture,thread_coparticipation
L. Suresh Kumar-LSK,Satish K. Tiwary,1,History and culture,thread_coparticipation
L. Suresh Kumar-LSK,Robert Zydenbos,1,History and culture,thread_coparticipation
Dominik Wujastyk,Satish K. Tiwary,1,History and culture,thread_coparticipation
David Salmon,Vikrant Shah,1,History and culture,thread_coparticipation
David Salmon,Satish K. Tiwary,1,History and culture,thread_coparticipation
David Salmon,L. Suresh Kumar-LSK,1,History and culture,thread_coparticipation
N. Ganesan,Peter D Banos,1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,Luis Gonzalez-Reimann,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,Jay Thakar,1,General scholarly discussion,thread_coparticipation
Allen W Thrasher,gldnreef at primenet.com,1,General scholarly discussion,thread_coparticipation
B. Reusch,jonathan silk,1,General scholarly discussion,thread_coparticipation
Brian Akers,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Brian Akers,Richard B Mahoney,1,General scholarly discussion,thread_coparticipation
Brian Akers,Kengo Harimoto,1,General scholarly discussion,thread_coparticipation
Brian Akers,Gunthard Mueller,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Paul Kekai Manansala,1,General scholarly discussion,thread_coparticipation
Akhilesh Jha,Michael Witzel,1,General scholarly discussion,thread_coparticipation
R Srinivasan,Valerie J Roebuck,1,General scholarly discussion,thread_coparticipation
Haridas C,Valerie J Roebuck,1,General scholarly discussion,thread_coparticipation
Haridas C,V.V. Raman,1,General scholarly discussion,thread_coparticipation
Haridas C,R Srinivasan,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Haridas C,1,General scholarly discussion,thread_coparticipation
Raveen Satkurunathan,hans henrich hock,1,General scholarly discussion,thread_coparticipation
R Srinivasan,hans henrich hock,1,General scholarly discussion,thread_coparticipation
R Srinivasan,Subrahmanya S.,1,General scholarly discussion,thread_coparticipation
R Srinivasan,Raveen Satkurunathan,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Robert Zydenbos,1,General scholarly discussion,thread_coparticipation
Venkatraman Iyer,tina debruyn,1,General scholarly discussion,thread_coparticipation
David Salmon,tina debruyn,1,General scholarly discussion,thread_coparticipation
Anthony Good,L. Suresh Kumar-LSK,1,General scholarly discussion,thread_coparticipation
Richard B Mahoney,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,Richard B Mahoney,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Dominique.Thillaud,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Peter D Banos,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,jonathan silk,1,General scholarly discussion,thread_coparticipation
JR Gardner,jonathan silk,1,General scholarly discussion,thread_coparticipation
Gregory {Greg} Downing,jonathan silk,1,General scholarly discussion,thread_coparticipation
Gregory {Greg} Downing,Lars Martin Fosse,1,General scholarly discussion,thread_coparticipation
Gregory {Greg} Downing,JR Gardner,1,General scholarly discussion,thread_coparticipation
David R. Israel,JR Gardner,1,General scholarly discussion,thread_coparticipation
David R. Israel,Gregory {Greg} Downing,1,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,kradhikary at mail.utexas.edu,1,General scholarly discussion,thread_coparticipation
Lance Nelson,kradhikary at mail.utexas.edu,1,General scholarly discussion,thread_coparticipation
Kamal Adhikary,Luis Gonzalez-Reimann,1,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Jesualdo Correia,1,General scholarly discussion,thread_coparticipation
Dmitri,birgit kellner,1,General scholarly discussion,thread_coparticipation
Dmitri,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,birgit kellner,1,General scholarly discussion,thread_coparticipation
Vanbakkam Vijayaraghavan,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Sudalaimuthu Palaniappan,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Subrahmanya S.,hans henrich hock,1,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Pravrajika Vrajaprana,1,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Ferenc Ruzsa,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Pravrajika Vrajaprana,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,John Richards,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Ferenc Ruzsa,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Erik Hoogcarspel,1,General scholarly discussion,thread_coparticipation
Arun Gupta,John Richards,1,General scholarly discussion,thread_coparticipation
Arun Gupta,Erik Hoogcarspel,1,General scholarly discussion,thread_coparticipation
Poopathi S.Manickam,Swaminathan Madhuresan,1,Bibliographic requests,thread_coparticipation
Poopathi S.Manickam,Sudalaimuthu Palaniappan,1,Bibliographic requests,thread_coparticipation
Poopathi S.Manickam,Srini Pichumani,1,Bibliographic requests,thread_coparticipation
Lakshmi Srinivas,Poopathi S.Manickam,1,Bibliographic requests,thread_coparticipation
Erik Hoogcarspel,Lynken Ghose,1,General scholarly discussion,thread_coparticipation
GANESANS at cl.uh.edu,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
GANESANS at cl.uh.edu,Jean-Luc Chevillard,1,General scholarly discussion,thread_coparticipation
Poornima,kradhikary at mail.utexas.edu,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,michiya at rh.u-tokai.ac.jp,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,kradhikary at mail.utexas.edu,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Poornima,1,General scholarly discussion,thread_coparticipation
Mary McGee,gldnreef at primenet.com,1,General scholarly discussion,thread_coparticipation
Leona Anderson,gldnreef at primenet.com,1,General scholarly discussion,thread_coparticipation
Leona Anderson,Mary McGee,1,General scholarly discussion,thread_coparticipation
Leona Anderson,Luis Gonzalez-Reimann,1,General scholarly discussion,thread_coparticipation
John Richards,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
John Richards,Pravrajika Vrajaprana,1,General scholarly discussion,thread_coparticipation
John Richards,L.S.Cousins,1,General scholarly discussion,thread_coparticipation
Ferenc Ruzsa,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Ferenc Ruzsa,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Ferenc Ruzsa,R Srinivasan,1,General scholarly discussion,thread_coparticipation
Ferenc Ruzsa,Pravrajika Vrajaprana,1,General scholarly discussion,thread_coparticipation
Ferenc Ruzsa,John Richards,1,General scholarly discussion,thread_coparticipation
Pravrajika Vrajaprana,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Pravrajika Vrajaprana,R Srinivasan,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Pravrajika Vrajaprana,1,General scholarly discussion,thread_coparticipation
L.S.Cousins,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
L.S.Cousins,R Srinivasan,1,General scholarly discussion,thread_coparticipation
L.S.Cousins,Pravrajika Vrajaprana,1,General scholarly discussion,thread_coparticipation
John Richards,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
John Richards,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
John Richards,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
Kamal Adhikary,Lance Nelson,1,General scholarly discussion,thread_coparticipation
Dr Aloka Parasher-Sen,kradhikary at mail.utexas.edu,1,General scholarly discussion,thread_coparticipation
Dr Aloka Parasher-Sen,Luis Gonzalez-Reimann,1,General scholarly discussion,thread_coparticipation
Dr Aloka Parasher-Sen,Lance Nelson,1,General scholarly discussion,thread_coparticipation
Dr Aloka Parasher-Sen,Kamal Adhikary,1,General scholarly discussion,thread_coparticipation
kradhikary at mail.utexas.edu,michiya at rh.u-tokai.ac.jp,1,General scholarly discussion,thread_coparticipation
Poornima,michiya at rh.u-tokai.ac.jp,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Mathias Metzger,1,General scholarly discussion,thread_coparticipation
Claude Setzer,leona anderson,1,General scholarly discussion,thread_coparticipation
Allen W Thrasher,leona anderson,1,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Mathias Metzger,1,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Claude Setzer,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Katharina Kupfer,1,General scholarly discussion,thread_coparticipation
Lubomir Ondracka,Motilal Banarsidass,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Motilal Banarsidass,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Lubomir Ondracka,1,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Lubomir Ondracka,1,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Bhalchandrarao C Patwardhan,1,General scholarly discussion,thread_coparticipation
R Srinivasan,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Pravrajika Vrajaprana,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Pravrajika Vrajaprana,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Pravrajika Vrajaprana,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Pravrajika Vrajaprana,Steve Farmer,1,General scholarly discussion,thread_coparticipation
Palaniappa at aol.com,jonathan silk,1,General scholarly discussion,thread_coparticipation
Palaniappa at aol.com,jayabarathi,1,General scholarly discussion,thread_coparticipation
Palaniappa at aol.com,Pratap Kumar,1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,Srinivasan Pichumani,1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,Pratap Kumar,1,General scholarly discussion,thread_coparticipation
Mariana Caixeiro,Palaniappa at aol.com,1,General scholarly discussion,thread_coparticipation
Hrid at aol.com,jonathan silk,1,General scholarly discussion,thread_coparticipation
Hrid at aol.com,jayabarathi,1,General scholarly discussion,thread_coparticipation
Dmitri,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Jesualdo Correia,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Martin Gansten,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Martin Gansten,Stephen Hodge,1,General scholarly discussion,thread_coparticipation
Martin Gansten,R Srinivasan,1,General scholarly discussion,thread_coparticipation
John Richards,Robert Zydenbos,1,General scholarly discussion,thread_coparticipation
John Richards,Martin Gansten,1,General scholarly discussion,thread_coparticipation
Mathias Metzger,leona anderson,1,General scholarly discussion,thread_coparticipation
R Srinivasan,Swami Tyagananda,1,General scholarly discussion,thread_coparticipation
R Srinivasan,Rosati,1,General scholarly discussion,thread_coparticipation
N. Ganesan,Swami Tyagananda,1,General scholarly discussion,thread_coparticipation
N. Ganesan,Rosati,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Rosati,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Rosati,1,General scholarly discussion,thread_coparticipation
Arun Gupta,Rosati,1,General scholarly discussion,thread_coparticipation
Daniela Rossella,Gunthard Mueller,1,General scholarly discussion,thread_coparticipation
Narayan R.Joshi,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Dmitri,Narayan R.Joshi,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Narayan R.Joshi,1,General scholarly discussion,thread_coparticipation
Girish Bhaskaruni,Valerie J Roebuck,1,General scholarly discussion,thread_coparticipation
Shikaripura Harihareswara,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Pratap Kumar,jonathan silk,1,General scholarly discussion,thread_coparticipation
Pratap Kumar,jayabarathi,1,General scholarly discussion,thread_coparticipation
Pratap Kumar,Srinivasan Pichumani,1,General scholarly discussion,thread_coparticipation
RM. Krishnan,shrikant bahulkar,1,General scholarly discussion,thread_coparticipation
Narayan R.Joshi,Valerie J Roebuck,1,General scholarly discussion,thread_coparticipation
Swami Tyagananda,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Martin Delhey,Richard B Mahoney,1,General scholarly discussion,thread_coparticipation
