source,target,weight,topics,edge_type
Dominik Wujastyk,"Olivelle, J P",28,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|List administration|Texts and philology|Veda and ritual,thread_coparticipation
Arlo Griffiths,Madhav Deshpande,28,Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Roland Steiner,27,Announcements and events|Digital resources and tools|General scholarly discussion|Grammar and linguistics|History and culture|Manuscripts and epigraphy,thread_coparticipation
Birgit Kellner,Jonathan Silk,27,Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
"Hock, Hans Henrich",Matthew Kapstein,27,Bibliographic requests|Digital resources and tools|General scholarly discussion|Grammar and linguistics|Texts and philology,thread_coparticipation
Michael Witzel,Swaminathan Madhuresan,27,General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
Venkatraman Iyer,Vidyasankar Sundaresan,27,General scholarly discussion|History and culture,thread_coparticipation
Dominik Wujastyk,jkirk,27,Digital resources and tools|General scholarly discussion|History and culture|Texts and philology,thread_coparticipation
Matthew Kapstein,alakendu das,27,Bibliographic requests|Buddhism and Jainism|General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Allen Thrasher,Dominik Wujastyk,26,General scholarly discussion|History and culture|Texts and philology|Veda and ritual,thread_coparticipation
Allen W Thrasher,Jonathan Silk,26,Buddhism and Jainism|General scholarly discussion|Texts and philology,thread_coparticipation
Dominik Wujastyk,Howard Resnick,26,Bibliographic requests|General scholarly discussion|Grammar and linguistics|History and culture|Teaching and pedagogy|Texts and philology,thread_coparticipation
Christophe Vielle,Jonathan Silk,26,Announcements and events|Bibliographic requests|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Dominik Wujastyk,Stefan Baums,26,Bibliographic requests|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology,thread_coparticipation
Lars Martin Fosse,Madhav Deshpande,26,Announcements and events|General scholarly discussion|Grammar and linguistics,thread_coparticipation
Artur Karp,Nagaraj Paturi,26,General scholarly discussion|Texts and philology,thread_coparticipation
Jean-Luc Chevillard,Sudalaimuthu Palaniappan,26,Bibliographic requests|Buddhism and Jainism|General scholarly discussion|History and culture|List administration,thread_coparticipation
David and Nancy Reigle,Dominik Wujastyk,26,Bibliographic requests|Digital resources and tools|General scholarly discussion|Texts and philology|Veda and ritual,thread_coparticipation
"Hock, Hans Henrich",Nagaraj Paturi,26,General scholarly discussion|Grammar and linguistics|History and culture|Veda and ritual,thread_coparticipation
"Lubin, Tim",Madhav Deshpande,26,Announcements and events|Bibliographic requests|Buddhism and Jainism|Digital resources and tools|General scholarly discussion|Manuscripts and epigraphy|Texts and philology|Veda and ritual,thread_coparticipation
Lars Martin Fosse,Vidhyanath Rao,26,General scholarly discussion|History and culture,thread_coparticipation
Dean Michael Anderson,Nagaraj Paturi,25,Bibliographic requests|Digital resources and tools|General scholarly discussion|Texts and philology,thread_coparticipation
Dipak Bhattacharya,Matthew Kapstein,25,Bibliographic requests|Digital resources and tools|General scholarly discussion|History and culture|Manuscripts and epigraphy,thread_coparticipation
Madhav Deshpande,"Uskokov, Aleksandar",25,Bibliographic requests|General scholarly discussion|Veda and ritual,thread_coparticipation
