queue_rank,thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,review_decision,short_title,english_public_note_draft,english_why_it_matters_draft,curator_comments,manual_reviewer,manual_review_date,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
37,015007,candidate,,,,general discussion,,Jaffrelot book,,,,,,Jaffrelot book,1999,General scholarly discussion,general discussion,37,19,35,184,threads/037-015007-jaffrelot-book.html,https://list.indology.info/pipermail/indology/1999-January/015013.html,long thread; multi-author; resolved replies
38,058304,candidate,,,,general discussion,,"Whitney and doubling of ""ch""",,,,,,"Whitney and doubling of ""ch""",2023,General scholarly discussion,general discussion,42,18,41,182,threads/038-058304-whitney-and-doubling-of-ch.html,https://list.indology.info/pipermail/indology/2023-October/058304.html,long thread; multi-author; resolved replies
39,038062,candidate,,philological_substance,function=identification/help request,identification/help request,,question for European Indologists,,,,,,question for European Indologists,2013,General scholarly discussion,identification/help request,30,24,29,180,threads/039-038062-question-for-european-indologists.html,https://list.indology.info/pipermail/indology/2013-June/038062.html,long thread; multi-author; resolved replies; request/help language
40,033994,candidate,,,,general discussion,,INDOLOGY FAQ. Re. Varanasi,,,,,,INDOLOGY FAQ. Re. Varanasi,2010,General scholarly discussion,general discussion,39,19,37,178,threads/040-033994-indology-faq-re-varanasi.html,https://list.indology.info/pipermail/indology/2010-February/034018.html,long thread; multi-author; resolved replies
41,017521,candidate,,,,general discussion,,"Is ""Sanskrit"" Dravidian?",,,,,,"Is ""Sanskrit"" Dravidian?",1999,General scholarly discussion,general discussion,37,13,35,174,threads/041-017521-is-sanskrit-dravidian.html,https://list.indology.info/pipermail/indology/1999-June/017533.html,long thread; multi-author; resolved replies; request/help language
42,051899,candidate,,,,general discussion,,The study of Sanskrit as the epitome of uselessness,,,,,,The study of Sanskrit as the epitome of uselessness,2020,General scholarly discussion,general discussion,32,25,31,173,threads/042-051899-the-study-of-sanskrit-as-the-epitome-of-uselessness.html,https://list.indology.info/pipermail/indology/2020-March/051899.html,long thread; multi-author; resolved replies
43,039600,candidate,,,,general discussion,,Alchemy metaphor,,,,,,Alchemy metaphor,2014,General scholarly discussion,general discussion,45,12,44,173,threads/043-039600-alchemy-metaphor.html,https://list.indology.info/pipermail/indology/2014-July/039600.html,long thread; multi-author; resolved replies
44,050859,candidate,,philological_substance,function=identification/help request,identification/help request,,Query on verse forms,,,,,,Query on verse forms,2019,General scholarly discussion,identification/help request,45,5,44,172,threads/044-050859-query-on-verse-forms.html,https://list.indology.info/pipermail/indology/2019-September/050859.html,long thread; multi-author; resolved replies; request/help language
45,048529,candidate,,philological_substance,topic=Veda and ritual,general discussion,,Soma and Amanita muscaria,,,,,,Soma and Amanita muscaria,2018,Veda and ritual,general discussion,36,19,35,171,threads/045-048529-soma-and-amanita-muscaria.html,https://list.indology.info/pipermail/indology/2018-October/048529.html,long thread; multi-author; resolved replies
46,018247,candidate,,,,general discussion,,Book Review: An Update on AIT (Part 1),,,,,,Book Review: An Update on AIT (Part 1),1999,General scholarly discussion,general discussion,33,14,31,169,threads/046-018247-book-review-an-update-on-ait-part-1.html,https://list.indology.info/pipermail/indology/1999-September/018254.html,long thread; multi-author; resolved replies; thanks/correction language; debate language
47,059093,candidate,,,,general discussion,,Congratulations to Laurie Patton,,,,,,Congratulations to Laurie Patton,2024,General scholarly discussion,general discussion,30,25,29,167,threads/047-059093-congratulations-to-laurie-patton.html,https://list.indology.info/pipermail/indology/2024-May/059093.html,long thread; multi-author; resolved replies
48,006876,candidate,,,,general discussion,,Q: Elegy Literature,,,,,,Q: Elegy Literature,1997,General scholarly discussion,general discussion,25,16,24,163,threads/048-006876-q-elegy-literature.html,https://list.indology.info/pipermail/indology/1997-February/006876.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
49,039327,candidate,,,,general discussion,,Hitler and MLBD,,,,,,Hitler and MLBD,2014,General scholarly discussion,general discussion,33,20,32,161,threads/049-039327-hitler-and-mlbd.html,https://list.indology.info/pipermail/indology/2014-May/039327.html,long thread; multi-author; resolved replies
50,014520,candidate,,,,general discussion,,Family jewels,,,,,,Family jewels,1998,General scholarly discussion,general discussion,36,9,35,161,threads/050-014520-family-jewels.html,https://list.indology.info/pipermail/indology/1998-December/014520.html,long thread; multi-author; resolved replies; request/help language
51,044510,candidate,,,,general discussion,,bhakti,,,,,,bhakti,2016,General scholarly discussion,general discussion,37,11,36,160,threads/051-044510-bhakti.html,https://list.indology.info/pipermail/indology/2016-November/044510.html,long thread; multi-author; resolved replies; thanks/correction language
52,005576,candidate,,philological_substance,function=identification/help request,identification/help request,,Official State Languages query,,,,,,Official State Languages query,1996,General scholarly discussion,identification/help request,33,13,31,158,threads/052-005576-official-state-languages-query.html,https://list.indology.info/pipermail/indology/1996-August/005579.html,long thread; multi-author; resolved replies; request/help language
53,021312,candidate,,philological_substance,keyword match,general discussion,,buddhist sanskrit texts,,,,,,buddhist sanskrit texts,2000,General scholarly discussion,general discussion,36,11,34,157,threads/053-021312-buddhist-sanskrit-texts.html,https://list.indology.info/pipermail/indology/2000-May/021316.html,long thread; multi-author; resolved replies
54,008236,candidate,,,,general discussion,,the gods,,,,,,the gods,1997,General scholarly discussion,general discussion,31,14,30,157,threads/054-008236-the-gods.html,https://list.indology.info/pipermail/indology/1997-May/008236.html,long thread; multi-author; resolved replies
55,013702,candidate,,,,general discussion,,Your thesis,,,,,,Your thesis,1998,General scholarly discussion,general discussion,30,13,28,157,threads/055-013702-your-thesis.html,https://list.indology.info/pipermail/indology/1998-October/013887.html,long thread; multi-author; resolved replies; thanks/correction language; debate language
56,007570,candidate,,,,general discussion,,avidya in Pali literature,,,,,,avidya in Pali literature,1997,General scholarly discussion,general discussion,31,11,30,156,threads/056-007570-avidya-in-pali-literature.html,https://list.indology.info/pipermail/indology/1997-April/007570.html,long thread; multi-author; resolved replies; request/help language
57,024039,candidate,,,,general discussion,,Black as Evil,,,,,,Black as Evil,2000,General scholarly discussion,general discussion,30,12,28,154,threads/057-024039-black-as-evil.html,https://list.indology.info/pipermail/indology/2000-November/024042.html,long thread; multi-author; resolved replies; request/help language
58,009829,candidate,,,,general discussion,,Roman transliteration of Tamil n's,,,,,,Roman transliteration of Tamil n's,1997,General scholarly discussion,general discussion,28,15,27,153,threads/058-009829-roman-transliteration-of-tamil-n-s.html,https://list.indology.info/pipermail/indology/1997-November/009829.html,long thread; multi-author; resolved replies; debate language
59,025546,candidate,,,,general discussion,,SV: SV: Plight of Buddhist art,,,,,,SV: SV: Plight of Buddhist art,2001,General scholarly discussion,general discussion,31,18,30,153,threads/059-025546-sv-sv-plight-of-buddhist-art.html,https://list.indology.info/pipermail/indology/2001-March/025546.html,long thread; multi-author; resolved replies
60,020396,candidate,,,,general discussion,,River Sarasvati: Atomic scientists reconfirm location,,,,,,River Sarasvati: Atomic scientists reconfirm location,2000,General scholarly discussion,general discussion,27,13,26,152,threads/060-020396-river-sarasvati-atomic-scientists-reconfirm-location.html,https://list.indology.info/pipermail/indology/2000-March/020396.html,long thread; multi-author; resolved replies; request/help language; debate language
61,053620,candidate,,,,general discussion,,sources for the idea that reincarnation is a semi-random process?,,,,,,sources for the idea that reincarnation is a semi-random process?,2020,General scholarly discussion,general discussion,34,16,33,152,threads/061-053620-sources-for-the-idea-that-reincarnation-is-a-semi-random-process.html,https://list.indology.info/pipermail/indology/2020-November/053620.html,long thread; multi-author; resolved replies
62,001208,candidate,,,,general discussion,,jyotish,,,,,,jyotish,1994,General scholarly discussion,general discussion,27,18,26,151,threads/062-001208-jyotish.html,https://list.indology.info/pipermail/indology/1994-September/001208.html,long thread; multi-author; resolved replies; debate language
63,018215,candidate,,,,general discussion,,"New Positions at Asian Studies, UT Austin",,,,,,"New Positions at Asian Studies, UT Austin",1999,General scholarly discussion,general discussion,27,16,26,151,threads/063-018215-new-positions-at-asian-studies-ut-austin.html,https://list.indology.info/pipermail/indology/1999-September/018215.html,long thread; multi-author; resolved replies; thanks/correction language; debate language
64,049523,candidate,,,,general discussion,,pracodayāt in gāyatrī mantras,,,,,,pracodayāt in gāyatrī mantras,2019,General scholarly discussion,general discussion,43,5,42,150,threads/064-049523-pracoday-t-in-g-yatr-mantras.html,https://list.indology.info/pipermail/indology/2019-March/049523.html,long thread; multi-author; resolved replies
65,023738,candidate,,,,general discussion,,ghalib correctly quoted,,,,,,ghalib correctly quoted,2000,General scholarly discussion,general discussion,29,19,28,150,threads/065-023738-ghalib-correctly-quoted.html,https://list.indology.info/pipermail/indology/2000-November/023738.html,long thread; multi-author; resolved replies
66,014354,candidate,,,,debate/controversy,,Vicious Debate,,,,,,Vicious Debate,1998,General scholarly discussion,general discussion,35,10,33,149,threads/066-014354-vicious-debate.html,https://list.indology.info/pipermail/indology/1998-December/014386.html,long thread; multi-author; resolved replies; debate language
67,059324,candidate,,,,general discussion,,Analogues to Anselm's Ontological Arguments in Indian Philosophy?,,,,,,Analogues to Anselm's Ontological Arguments in Indian Philosophy?,2024,General scholarly discussion,general discussion,39,10,38,149,threads/067-059324-analogues-to-anselm-s-ontological-arguments-in-indian-philosophy.html,https://list.indology.info/pipermail/indology/2024-June/059324.html,long thread; multi-author; resolved replies
68,011660,candidate,,,,general discussion,,"arma-, armaka 'ruined site'",,,,,,"arma-, armaka 'ruined site'",1998,General scholarly discussion,general discussion,28,15,27,147,threads/068-011660-arma-armaka-ruined-site.html,https://list.indology.info/pipermail/indology/1998-April/011660.html,long thread; multi-author; resolved replies; request/help language
69,028422,candidate,,,,general discussion,,Snakes,,,,,,Snakes,2004,General scholarly discussion,general discussion,32,16,31,146,threads/069-028422-snakes.html,https://list.indology.info/pipermail/indology/2004-July/028422.html,long thread; multi-author; resolved replies
70,006442,candidate,,infrastructure_history,function=general discussion,digital resource/tool,,Vedic Website,,,,,,Vedic Website,1996,General scholarly discussion,general discussion,27,14,26,145,threads/070-006442-vedic-website.html,https://list.indology.info/pipermail/indology/1996-December/006442.html,long thread; multi-author; resolved replies; request/help language
71,041671,candidate,,,,general discussion,,"Tagore, Aurobindo, and Malhotra",,,,,,"Tagore, Aurobindo, and Malhotra",2015,General scholarly discussion,general discussion,33,13,32,144,threads/071-041671-tagore-aurobindo-and-malhotra.html,https://list.indology.info/pipermail/indology/2015-July/041671.html,long thread; multi-author; resolved replies
72,014994,candidate,,,,general discussion,,Too Many Postings?,,,,,,Too Many Postings?,1999,General scholarly discussion,general discussion,34,8,33,144,threads/072-014994-too-many-postings.html,https://list.indology.info/pipermail/indology/1999-January/014994.html,long thread; multi-author; resolved replies
73,046132,candidate,,,,general discussion,,Sanskrit Readers: overview,,,,,,Sanskrit Readers: overview,2017,General scholarly discussion,general discussion,29,18,28,143,threads/073-046132-sanskrit-readers-overview.html,https://list.indology.info/pipermail/indology/2017-June/046132.html,long thread; multi-author; resolved replies
74,023892,candidate,,,,general discussion,,Indology's future?,,,,,,Indology's future?,2000,General scholarly discussion,general discussion,23,18,21,143,threads/074-023892-indology-s-future.html,https://list.indology.info/pipermail/indology/2000-November/023897.html,long thread; multi-author; resolved replies; request/help language
75,016462,candidate,,infrastructure_history,keyword match,general discussion,,INSA email address?,,,,,,INSA email address?,1999,General scholarly discussion,general discussion,29,12,28,143,threads/075-016462-insa-email-address.html,https://list.indology.info/pipermail/indology/1999-April/016462.html,long thread; multi-author; resolved replies; debate language
76,043992,candidate,,philological_substance,function=identification/help request,identification/help request,,Question on Diacritical Marks,,,,,,Question on Diacritical Marks,2016,General scholarly discussion,identification/help request,24,19,23,143,threads/076-043992-question-on-diacritical-marks.html,https://list.indology.info/pipermail/indology/2016-September/043992.html,long thread; multi-author; resolved replies; request/help language
77,032732,candidate,,,,general discussion,,Language barriers --- financial barriers,,,,,,Language barriers --- financial barriers,2009,General scholarly discussion,general discussion,26,17,24,143,threads/077-032732-language-barriers-financial-barriers.html,https://list.indology.info/pipermail/indology/2009-March/032735.html,long thread; multi-author; resolved replies; thanks/correction language
78,028824,candidate,,,,general discussion,,"Science Mag: ""no Indus script""",,,,,,"Science Mag: ""no Indus script""",2004,General scholarly discussion,general discussion,32,15,31,143,threads/078-028824-science-mag-no-indus-script.html,https://list.indology.info/pipermail/indology/2004-December/028824.html,long thread; multi-author; resolved replies
79,007147,candidate,,,,general discussion,,Indo-Germanic,,,,,,Indo-Germanic,1997,General scholarly discussion,general discussion,30,17,29,143,threads/079-007147-indo-germanic.html,https://list.indology.info/pipermail/indology/1997-March/007147.html,long thread; multi-author; resolved replies
80,008971,candidate,,,,general discussion,,Q: Black Draupadi?,,,,,,Q: Black Draupadi?,1997,General scholarly discussion,general discussion,27,14,25,143,threads/080-008971-q-black-draupadi.html,https://list.indology.info/pipermail/indology/1997-August/008975.html,long thread; multi-author; resolved replies; request/help language
81,057928,candidate,,infrastructure_history,keyword match,philological debate,,Manuscript collections on archive.org,,,,,,Manuscript collections on archive.org,2023,Manuscripts and epigraphy,philological discussion,28,14,27,142,threads/081-057928-manuscript-collections-on-archive-org.html,https://list.indology.info/pipermail/indology/2023-July/057928.html,long thread; multi-author; resolved replies; thanks/correction language
82,012873,candidate,,,,general discussion,,Tampering with history,,,,,,Tampering with history,1998,General scholarly discussion,general discussion,31,11,29,142,threads/082-012873-tampering-with-history.html,https://list.indology.info/pipermail/indology/1998-June/012876.html,long thread; multi-author; resolved replies; request/help language
83,060354,candidate,,,,general discussion,,dvandva → bahuvrīhi?,,,,,,dvandva → bahuvrīhi?,2025,General scholarly discussion,general discussion,31,14,30,141,threads/083-060354-dvandva-bahuvr-hi.html,https://list.indology.info/pipermail/indology/2025-March/060354.html,long thread; multi-author; resolved replies
84,011207,candidate,,,,general discussion,,Vivekananda &c.,,,,,,Vivekananda &c.,1998,General scholarly discussion,general discussion,23,12,22,141,threads/084-011207-vivekananda-c.html,https://list.indology.info/pipermail/indology/1998-March/011207.html,long thread; multi-author; resolved replies; request/help language; debate language
85,021503,candidate,,,,general discussion,,"Madhava, Vidyaranya, Sringeri, and Kulke",,,,,,"Madhava, Vidyaranya, Sringeri, and Kulke",2000,General scholarly discussion,general discussion,37,7,35,140,threads/085-021503-madhava-vidyaranya-sringeri-and-kulke.html,https://list.indology.info/pipermail/indology/2000-June/021504.html,long thread; multi-author; resolved replies
86,021750,candidate,,,,general discussion,,address,,,,,,address,2000,General scholarly discussion,general discussion,22,13,20,139,threads/086-021750-address.html,https://list.indology.info/pipermail/indology/2000-July/021759.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
87,024339,candidate,,,,general discussion,,Koh-I-Noor,,,,,,Koh-I-Noor,2000,General scholarly discussion,general discussion,29,12,27,139,threads/087-024339-koh-i-noor.html,https://list.indology.info/pipermail/indology/2000-December/024353.html,long thread; multi-author; resolved replies; request/help language
88,014789,candidate,,,,general discussion,,SV: creation of human kind,,,,,,SV: creation of human kind,1998,General scholarly discussion,general discussion,29,12,27,139,threads/088-014789-sv-creation-of-human-kind.html,https://list.indology.info/pipermail/indology/1998-December/014809.html,long thread; multi-author; resolved replies; request/help language
89,014288,candidate,,,,general discussion,,Is the Aryan Invasion a Myth?,,,,,,Is the Aryan Invasion a Myth?,1998,General scholarly discussion,general discussion,27,17,26,138,threads/089-014288-is-the-aryan-invasion-a-myth.html,https://list.indology.info/pipermail/indology/1998-November/014288.html,long thread; multi-author; resolved replies
90,032536,candidate,,philological_substance,function=philological discussion,philological debate,,"""samsara"" meaning ""life""",,,,,,"""samsara"" meaning ""life""",2009,General scholarly discussion,philological discussion,23,15,21,138,threads/090-032536-samsara-meaning-life.html,https://list.indology.info/pipermail/indology/2009-February/032539.html,long thread; multi-author; resolved replies; request/help language
91,020594,candidate,,,,general discussion,,Saraswati: Atomic Scientists reconfirm location,,,,,,Saraswati: Atomic Scientists reconfirm location,2000,General scholarly discussion,general discussion,25,12,24,137,threads/091-020594-saraswati-atomic-scientists-reconfirm-location.html,https://list.indology.info/pipermail/indology/2000-March/020594.html,long thread; multi-author; resolved replies; request/help language
92,042330,candidate,,philological_substance,topic=Manuscripts and epigraphy,general discussion,,rubrication in Indian mss.,,,,,,rubrication in Indian mss.,2015,Manuscripts and epigraphy,general discussion,29,16,28,137,threads/092-042330-rubrication-in-indian-mss.html,https://list.indology.info/pipermail/indology/2015-November/042330.html,long thread; multi-author; resolved replies
93,008649,candidate,,,,general discussion,,Translations of Gitagovinda,,,,,,Translations of Gitagovinda,1997,History and culture,general discussion,23,14,22,137,threads/093-008649-translations-of-gitagovinda.html,https://list.indology.info/pipermail/indology/1997-June/008649.html,long thread; multi-author; resolved replies; request/help language
94,035699,candidate,,philological_substance,function=identification/help request,identification/help request,,taxonomy question,,,,,,taxonomy question,2011,General scholarly discussion,identification/help request,25,15,23,136,threads/094-035699-taxonomy-question.html,https://list.indology.info/pipermail/indology/2011-August/035701.html,long thread; multi-author; resolved replies; request/help language
