thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,short_title,public_note,why_it_matters,curator_comments,manual_reviewer,manual_review_date,review_notes
012112,candidate,,,,general discussion,Koel (and Hobson-Jobson),,,,,,long thread; multi-author; resolved replies; thanks/correction language
002949,candidate,,,,general discussion,Justification for teaching Sanskrit,,,,,,long thread; multi-author; resolved replies; debate language
032816,candidate,,,,general discussion,"clinking, silent and slipping bangles",,,,,,long thread; multi-author; resolved replies; request/help language
005629,candidate,,,,announcement,Event announcement: Testing Workshop,,,,,,long thread; multi-author; resolved replies; request/help language
017614,candidate,,,,general discussion,Aurobindo about Advaita,,,,,,long thread; multi-author; resolved replies; request/help language
024485,candidate,,,,general discussion,Re. Devaraja,,,,,,long thread; multi-author; resolved replies; request/help language
038944,candidate,,,,general discussion,Public statement from Wendy Doniger,,,,,,long thread; multi-author; resolved replies
017437,candidate,,,,general discussion,Sundarapandya's Varttika,,,,,,long thread; multi-author; resolved replies; request/help language
032337,candidate,,philological_substance,topic=Buddhism and Jainism,general discussion,Proceedings BM Symposium: Mansar,,,,,,long thread; multi-author; resolved replies
041441,candidate,,,,general discussion,Religious Literature with Political Purposes,,,,,,long thread; multi-author; resolved replies
046838,candidate,,,,general discussion,Sources on Relationship btw Oral/Literary Traditions,,,,,,long thread; multi-author; resolved replies
049669,candidate,,philological_substance,function=identification/help request,identification/help request,question about a soliciation from publisher MDPI,,,,,,long thread; multi-author; resolved replies; request/help language
033251,candidate,,philological_substance,topic=Texts and philology,philological discussion,The Film Adi Shankaracharya,,,,,,long thread; multi-author; resolved replies; request/help language
015333,candidate,,philological_substance,keyword match,philological debate,references to tuLu language in ancient Tamil text,,,,,,long thread; multi-author; resolved replies
032470,candidate,,,,general discussion,invertebrates,,,,,,long thread; multi-author; resolved replies
007414,candidate,,,,general discussion,references,,,,,,long thread; multi-author; resolved replies; request/help language
026060,candidate,,,,general discussion,Etymology of sanskrit roots miS and miil,,,,,,long thread; multi-author; resolved replies; debate language
042823,candidate,,,,general discussion,Origin of Mahācīna,,,,,,long thread; multi-author; resolved replies
022758,candidate,,,,general discussion,zaNa (hemp),,,,,,long thread; multi-author; resolved replies; request/help language
033211,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,Sanskrit IAST data entry tool,,,,,,long thread; multi-author; resolved replies
020988,candidate,,,,general discussion,snake & mongoose in ancient India,,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
016322,candidate,,,,general discussion,Women in Afghanistan,,,,,,long thread; multi-author; resolved replies; request/help language
048761,candidate,,,,general discussion,brick-making communities,,,,,,long thread; multi-author; resolved replies
041686,candidate,,philological_substance,topic=Bibliographic requests,identification/help request,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,,,,,,long thread; multi-author; resolved replies; request/help language
044291,candidate,,,,general discussion,Sexual Harassment,,,,,,long thread; multi-author; resolved replies
008144,candidate,,,,general discussion,Varna and Color,,,,,,long thread; multi-author; resolved replies; thanks/correction language
018804,candidate,,,,general discussion,TretA etymology,,,,,,long thread; multi-author; resolved replies; request/help language
009713,candidate,,,,general discussion,m/anusvAra & s/visarga - correction,,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
047735,candidate,,,,general discussion,Brackets in modern sanskrit translations,,,,,,long thread; multi-author; resolved replies
061773,candidate,,philological_substance,keyword match,general discussion,Working with Pali Manuscripts: A Summer School,,,,,,long thread; multi-author; resolved replies
005015,candidate,,infrastructure_history,keyword match,general discussion,List of references in Astronomy,,,,,,long thread; multi-author; resolved replies; request/help language
012670,candidate,,,,general discussion,"method of dating RV, III",,,,,,long thread; multi-author; resolved replies; request/help language
014577,candidate,,,,general discussion,Backup tapes of Indology archives,,,,,,long thread; multi-author; resolved replies
055236,candidate,,,,general discussion,Visualisation of Sanskrit Phonetics,,,,,,long thread; multi-author; resolved replies
044118,candidate,,,,bibliographic rescue,New article on Sanskrit,,,,,,long thread; multi-author; resolved replies; request/help language
022961,candidate,,,,general discussion,Persecutin by/on Jains,,,,,,long thread; multi-author; resolved replies
025095,candidate,,,,general discussion,Did you hear this?,,,,,,long thread; multi-author; resolved replies
006050,candidate,,,,general discussion,"Req: ""dirty"" words in Sanskrit",,,,,,long thread; multi-author; resolved replies
022930,candidate,,,,general discussion,Rajaram episode,,,,,,long thread; multi-author; resolved replies
022503,candidate,,,,general discussion,Thanks for replies (was: request for out of print books),,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
043031,candidate,,,,announcement/event,New publication,,,,,,long thread; multi-author; resolved replies
056580,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,Sandhi examples in the english language,,,,,,long thread; multi-author; resolved replies
054558,candidate,,philological_substance,topic=Veda and ritual,general discussion,Rgveda complete study material and reverse word index,,,,,,long thread; multi-author; resolved replies
010570,candidate,,,,general discussion,The Cat,,,,,,long thread; multi-author; resolved replies; request/help language
017453,candidate,,,,general discussion,Forwarded message from Prof. Saroja Bhate,,,,,,long thread; multi-author; resolved replies; request/help language
011949,candidate,,,,general discussion,Telugu history,,,,,,long thread; multi-author; resolved replies; debate language
054205,candidate,,infrastructure_history,keyword match,bibliographic rescue,"Request pdf, film Vājapeya 1955, Poona",,,,,,long thread; multi-author; resolved replies; request/help language
052165,candidate,,,,general discussion,Lines to an Advaitin,,,,,,long thread; multi-author; resolved replies
010324,candidate,,,,general discussion,Uttara Kuru,,,,,,long thread; multi-author; resolved replies; request/help language
036327,candidate,,,,general discussion,Vishnu on the banks of the Volga river,,,,,,long thread; multi-author; resolved replies; request/help language
041278,candidate,,philological_substance,topic=Manuscripts and epigraphy,general discussion,prof. or mr. or mrs. or ms. etc first name,,,,,,long thread; multi-author; resolved replies; request/help language
004694,candidate,,,,general discussion,Satyarth Prakash,,,,,,long thread; multi-author; resolved replies; request/help language
013061,candidate,,philological_substance,function=general discussion,identification/help request,An old question,,,,,,long thread; multi-author; resolved replies; request/help language
011873,candidate,,,,general discussion,human sacrifice (allusion to Abraham),,,,,,long thread; multi-author; resolved replies; thanks/correction language
059606,candidate,,infrastructure_history,keyword match,philological debate,List of paninian equivalents of western grammatical terms for sanskrit,,,,,,long thread; multi-author; resolved replies; thanks/correction language
021795,candidate,,,,general discussion,script summary,,,,,,long thread; multi-author; resolved replies; debate language
038560,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,Devanagari keyboard,,,,,,long thread; multi-author; resolved replies
020641,candidate,,,,general discussion,creative atomic scientist's translations,,,,,,long thread; multi-author; resolved replies; request/help language
054890,candidate,,,,general discussion,Where can you do a BA in Sanskrit?,,,,,,long thread; multi-author; resolved replies
017105,candidate,,,,general discussion,varna and jati,,,,,,long thread; multi-author; resolved replies; request/help language
049215,candidate,,,,general discussion,Continuing my Krishna verses,,,,,,long thread; resolved replies; request/help language
019627,candidate,,,,general discussion,Vital Statistics,,,,,,long thread; multi-author; resolved replies; request/help language
002936,candidate,,,,debate/controversy,Justification for teaching Sanskrit,,,,,,long thread; multi-author; resolved replies; debate language
015077,candidate,,,,general discussion,Deepa Mehta's _Fire_,,,,,,long thread; multi-author; resolved replies; request/help language
028701,candidate,,,,general discussion,Devanagari,,,,,,long thread; multi-author; resolved replies; request/help language
044254,candidate,,,,general discussion,Indologist at Center of Sexual Harassment Mess at Berkeley,,,,,,long thread; multi-author; resolved replies
012826,candidate,,,,general discussion,Tampering with history,,,,,,long thread; multi-author; resolved replies; request/help language
009072,candidate,,,,general discussion,Dravidian Cryptography,,,,,,long thread; multi-author; resolved replies
024362,candidate,,philological_substance,function=general discussion,identification/help request,SV: Science Fiction Question for an Indologist (fwd),,,,,,long thread; multi-author; resolved replies; request/help language
007021,candidate,,infrastructure_history,keyword match,general discussion,IJTS: Nina Fonts for Devanagari,,,,,,long thread; multi-author; resolved replies
031427,candidate,,infrastructure_history,topic=Digital resources and tools,digital resource/tool,Digital Kielhorn,,,,,,long thread; multi-author; resolved replies
019962,candidate,,,,general discussion,Death of Prof. J. W. de Jong (1921-2000),,,,,,long thread; multi-author; resolved replies
059224,candidate,,,,general discussion,nyaya and regress,,,,,,long thread; multi-author; resolved replies
017615,candidate,,,,general discussion,!Re: Sri Aurobindo,,,,,,long thread; multi-author; resolved replies; request/help language
017619,candidate,,,,general discussion,Pythagoras mentioned in Vedas?,,,,,,long thread; multi-author; resolved replies
003777,candidate,,,,general discussion,old/new translations,,,,,,long thread; multi-author; resolved replies; debate language
005881,candidate,,,,bibliographic rescue,article,,,,,,long thread; multi-author; resolved replies; request/help language
028991,candidate,,,,general discussion,elves: Indic counterpart?,,,,,,long thread; multi-author; resolved replies; thanks/correction language
026153,candidate,,,,general discussion,"""Ven. Tantra"" a group",,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
012612,candidate,,,,general discussion,sarasvatI (etymology),,,,,,long thread; multi-author; resolved replies; request/help language; debate language
043610,candidate,,,,general discussion,glass in ancient India,,,,,,long thread; multi-author; resolved replies
036432,candidate,,philological_substance,topic=Manuscripts and epigraphy,philological debate,Manuscript copies of printed books,,,,,,long thread; multi-author; resolved replies; request/help language
023446,candidate,,,,general discussion,New Harappan Gallery,,,,,,long thread; multi-author; resolved replies
014333,candidate,,,,general discussion,SV: SV: Is the Aryan Invasion a Myth?,,,,,,long thread; multi-author; resolved replies; debate language
022591,candidate,,,,general discussion,SV: Urdu/hindi,,,,,,long thread; multi-author; resolved replies
040658,candidate,,,,general discussion,Examples of very ambiguous devanagari Sanskrit sentences,,,,,,long thread; multi-author; resolved replies
056183,candidate,,,,general discussion,Google Translate for Sanskrit,,,,,,long thread; multi-author; resolved replies
059505,candidate,,philological_substance,topic=Bibliographic requests,identification/help request,Request for help - materiality of texts and textual production,,,,,,long thread; multi-author; resolved replies; request/help language
010366,candidate,,philological_substance,topic=Texts and philology,philological discussion,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",,,,,,long thread; multi-author; resolved replies
051639,candidate,,,,general discussion,Vajrasūcī,,,,,,long thread; multi-author; resolved replies
022865,candidate,,,,general discussion,Rajaram unrepentent!,,,,,,long thread; multi-author; resolved replies; request/help language
008430,candidate,,,,general discussion,Clarification to D. Thillaud,,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
061365,candidate,,,,general discussion,Congratulations to Andrew Ollett on receiving an Infosys Prize for 2025,,,,,,long thread; multi-author; resolved replies
011158,candidate,,,,general discussion,Scientific Credentials (was Re: Tamil words in English),,,,,,long thread; multi-author; resolved replies; debate language
011069,candidate,,philological_substance,function=general discussion,identification/help request,Query on the term *mistri*,,,,,,long thread; multi-author; resolved replies; request/help language
015262,candidate,,,,general discussion,Pongal/Sankranti,,,,,,long thread; multi-author; resolved replies
054536,candidate,,,,general discussion,News,,,,,,long thread; multi-author; resolved replies
