thread_root_id,slug,year,month,thread_subject,message_count,author_count,primary_topic,authors
019186,1999-November,1999,11,SV: Sanskrit text books info needed,2,2,Bibliographic requests,K S Arjunwadkar | S Krishna
019187,1999-November,1999,11,SV: Sanskrit text books info needed,1,1,Bibliographic requests,Jan Brzezinski
019192,1999-November,1999,11,Avalokita's vase,2,2,General scholarly discussion,S Krishna | Shikaripura Harihareswara
019194,1999-November,1999,11,"""Indian Journal of History of Sciences""",2,2,General scholarly discussion,N. Ganesan | S.Kalyanaraman
019195,1999-November,1999,11,Help with a samskr*t sloka on Shiva,2,2,General scholarly discussion,K.KRISHNAMURTHY | N. Ganesan
019197,1999-November,1999,11,krumu river,3,3,General scholarly discussion,Allen W Thrasher | Dominik Wujastyk | Kailash Srivastava
019200,1999-November,1999,11,SV: books on Indo-Aryans,2,1,General scholarly discussion,Lars Martin Fosse
019207,1999-November,1999,11,Avalokita's vase,5,4,General scholarly discussion,"Jan Brzezinski | K S Arjunwadkar | Shikaripura Harihareswara | Thomas C, Burke"
019210,1999-November,1999,11,Avalokita's vase,1,1,General scholarly discussion,Robert A. Hueckstedt
019214,1999-November,1999,11,Another (!) Subhashita search,4,4,General scholarly discussion,Jan Brzezinski | K S Arjunwadkar | Sergei Schmalz | Swaminathan Madhuresan
019219,1999-November,1999,11,Subhashita search,7,5,General scholarly discussion,Jan Brzezinski | N. Ganesan | Roland Steiner | Sergei Schmalz | Swaminathan Madhuresan
019221,1999-November,1999,11,Usage of the word shraman,4,2,General scholarly discussion,N. Ganesan | Rajarshi Banerjee
019225,1999-November,1999,11,Traditional Panchangam calculations,2,2,General scholarly discussion,K S Arjunwadkar | Mahesh Shah
019234,1999-November,1999,11,Usage of the word shraman,1,1,General scholarly discussion,Rajarshi Banerjee
019236,1999-November,1999,11,Sanskrit texts,1,1,General scholarly discussion,"GHOSE,LYNKEN,MR"
019237,1999-November,1999,11,Sanskrit textbooks correction,1,1,General scholarly discussion,"GHOSE,LYNKEN,MR"
019238,1999-November,1999,11,Diacritics font,9,9,Digital resources and tools,Christian Coseru | Dominik Wujastyk | John Smith | Katharina Kupfer | Miroslav Rozehnal | Robert Zydenbos | Ulrich T. Kragh | Ulrike Niklas | birgit kellner
019243,1999-November,1999,11,Rg Veda etc.,6,4,General scholarly discussion,Artur Karp | N. Ganesan | Narayan S. Raja | S Krishna
019247,1999-November,1999,11,Diacritics font,3,3,General scholarly discussion,Francis | Koenraad Elst | Sergei Schmalz
019256,1999-November,1999,11,CSX+ Fonts and ISO draft standard for transliteration,1,1,Digital resources and tools,Harry Spier
019257,1999-November,1999,11,"Earliest occurrence of Skt. word for ""zero""",1,1,General scholarly discussion,Periannan Chandrasekaran
019264,1999-November,1999,11,Lecture by Arnold Toynbee in 1952,1,1,Announcements and events,Enrica Garzilli
019265,1999-November,1999,11,Diacritics font,2,2,Digital resources and tools,Allen W Thrasher | Mohan Vedantha Chari
019267,1999-November,1999,11,Vacancy Note: Curator for Urdu at the British Library,1,1,Announcements and events,Burkhard Quessel
019268,1999-November,1999,11,Unsubscribe,2,2,List administration,BERNEDE Franck | K S Arjunwadkar
019270,1999-November,1999,11,"Transliteration, fonts and modern Indian Languages",3,3,Digital resources and tools,Avinash Sathaye | Harry Spier | John Smith
019271,1999-November,1999,11,Age of the Veda ...,11,6,Veda and ritual,Jonathan Silk | Koenraad Elst | Lars Martin Fosse | Michael Witzel | N. Ganesan | Ulrike Niklas
019273,1999-November,1999,11,Age of the Veda ...,2,2,Veda and ritual,N. Ganesan | S Krishna
019275,1999-November,1999,11,"Transliteration, fonts and modern Indian Languages",1,1,Digital resources and tools,Ramalingam Shanmugalingam
019283,1999-November,1999,11,Age of the Veda ...,1,1,Veda and ritual,K R
019288,1999-November,1999,11,Origins of telugu,1,1,General scholarly discussion,Gerard Huet
019290,1999-December,1999,12,Shourie,3,3,General scholarly discussion,N. Ganesan | Periannan Chandrasekaran | Vishal Agarwal
019291,1999-December,1999,12,SV: SV: Age of the Veda ...,7,7,General scholarly discussion,Dominik Wujastyk | L.S.Cousins | Michael Witzel | Miroslav Rozehnal | Rajarshi Banerjee | S.Kalyanaraman | Vishal Agarwal
019292,1999-December,1999,12,Akkadian in IVC,2,2,General scholarly discussion,Paul Kekai Manansala | Vishal Agarwal
019294,1999-December,1999,12,Kautiliya Arthasastra,1,1,General scholarly discussion,N. Ganesan
019296,1999-December,1999,12,Position: Senior Lectureship in Hindi,1,1,Announcements and events,Ruth Laila Schmidt
019297,1999-December,1999,12,Rg Veda etc.,2,2,Veda and ritual,S.Kalyanaraman | Ulrike Niklas
019298,1999-December,1999,12,Date of RV,1,1,General scholarly discussion,Robert Zydenbos
019300,1999-December,1999,12,Age of the Veda ...,7,5,General scholarly discussion,Helen Oles Giunta | J. Kingston Cowart | Stephen Hodge | Vidyasankar Sundaresan | nanda chandran
019301,1999-December,1999,12,Max and Bibles,3,3,General scholarly discussion,Chris Beetle | Koenraad Elst | Ravi Khanna
019302,1999-December,1999,12,Information needed,1,1,Bibliographic requests,Heike Boudalfa
019304,1999-December,1999,12,address of Aditya Prakashan publishers needed,2,2,General scholarly discussion,Dominik Wujastyk | Samar Abbas
019305,1999-December,1999,12,AIT,1,1,General scholarly discussion,Anne Monius
019306,1999-December,1999,12,,1,1,General scholarly discussion,Sergei Schmalz
019312,1999-December,1999,12,Information needed,8,5,General scholarly discussion,David Salmon (Kettenpom) | Dominik Wujastyk | N. Ganesan | Paul Kekai Manansala | Robert Zydenbos
019313,1999-December,1999,12,Information needed,8,6,General scholarly discussion,N. Ganesan | Periannan Chandrasekaran | Somayaji Rajagopala | Vidyasankar Sundaresan | Vishal Agarwal | nanda chandran
019314,1999-December,1999,12,ThirujnAnasampandar and JainAs,3,3,General scholarly discussion,Deepthi Kumara Henadeerage | Dominik Wujastyk | IreneMaradei
019315,1999-December,1999,12,URL of the Indology homepage,3,3,General scholarly discussion,Allen W Thrasher | N. Ganesan | nanda chandran
019317,1999-December,1999,12,Information needed,1,1,Bibliographic requests,Chandan R. Narayan
019323,1999-December,1999,12,URL of the Indology homepage,1,1,General scholarly discussion,Dominik Wujastyk
019331,1999-December,1999,12,Shourie,3,3,General scholarly discussion,N. Ganesan | Poopathi Manickam | S.Kalyanaraman
019334,1999-December,1999,12,paladai,3,3,General scholarly discussion,Chouhan Electronic Informatics P Ltd. | Martin Bemmann | Periannan Chandrasekaran
019339,1999-December,1999,12,Information needed (Epistemology),1,1,Bibliographic requests,Allen W Thrasher
019340,1999-December,1999,12,Bhamaha-Kavyalamkara,1,1,General scholarly discussion,Allen W Thrasher
019342,1999-December,1999,12,Mon-Khmer word order,5,3,General scholarly discussion,John Peterson | N. Ganesan | Paul Kekai Manansala
019345,1999-December,1999,12,Munda kinship pattern,1,1,General scholarly discussion,N. Ganesan
019346,1999-December,1999,12,astronomy,10,6,General scholarly discussion,N. Ganesan | Paul Kekai Manansala | Richa Pauranik Clements | S Stephen | Vishal Agarwal | nanda chandran
019350,1999-December,1999,12,early substrate,11,7,General scholarly discussion,Artur Karp | Dr. Jai Maharaj | Koenraad Elst | Michael Witzel | N. Ganesan | Swaminathan Madhuresan | Vishal Agarwal
019351,1999-December,1999,12,Munda kinship pattern,10,4,General scholarly discussion,George Thompson | Michael Witzel | N. Ganesan | Paul Kekai Manansala
019355,1999-December,1999,12,Job announcement,1,1,Announcements and events,Dominik Wujastyk
019365,1999-December,1999,12,Age of the Veda ...,2,2,Veda and ritual,Samar Abbas | Vishal Agarwal
019367,1999-December,1999,12,saraswati civilisation,11,6,General scholarly discussion,Alvappillai Veluppillai | Narahari Rao | Paul Kekai Manansala | Rajarshi Banerjee | S Stephen | nanda chandran
019368,1999-December,1999,12,Jnanasambandar: Nanda Chandran's question,19,9,General scholarly discussion,Bharat Gupt | Lakshmi Srinivas | N. Ganesan | Paul Kekai Manansala | Poopathi Manickam | RM.Krishnan | S Stephen | Sunil Mehta | Yashwant Malaiya
019370,1999-December,1999,12,"sAri, the Indian dress",10,7,General scholarly discussion,"Dominik Wujastyk | George Thompson | Koenraad Elst | Mohan Vedantha Chari | Robert, Eric | S.Kalyanaraman | Vishal Agarwal"
019380,1999-December,1999,12,Brahmins and Dalits (was : Jnanasambandar:),1,1,General scholarly discussion,Benjamin Fleming
019383,1999-December,1999,12,Brahmins and Dalits (was : Jnanasambandar:),9,7,General scholarly discussion,Erik Hoogcarspel | IreneMaradei | K.KRISHNAMURTHY | Paul Kekai Manansala | Rajarshi Banerjee | Samar Abbas | nanda chandran
019384,1999-December,1999,12,Astronomy,2,2,General scholarly discussion,Michael Witzel | N. Ganesan
019385,1999-December,1999,12,contact Dr. Radhakrishna Sarma,2,2,General scholarly discussion,Michael Witzel | N. Ganesan
019389,1999-December,1999,12,Age of the Rigveda,1,1,Veda and ritual,S.Kalyanaraman
019402,1999-December,1999,12,bones and flesh,3,3,General scholarly discussion,Krishna Kalale | Ramakrishnan Balasubramanian | Robert Zydenbos
019414,1999-December,1999,12,bones and flesh,4,3,General scholarly discussion,John Smith | Jonathan Silk | Stephen Hodge
019415,1999-December,1999,12,ThirujnAnasampandar and JainAs,1,1,General scholarly discussion,"Robert, Eric"
019416,1999-December,1999,12,saraswati civilisation,1,1,General scholarly discussion,Koenraad Elst
019417,1999-December,1999,12,ThirujnAnasampandar and JainAs,2,2,General scholarly discussion,Jan Brzezinski | Roland Steiner
019418,1999-December,1999,12,Brahmins and Dalits (was : Jnanasambandar:),1,1,General scholarly discussion,Martin Gansten
019419,1999-December,1999,12,astronomy,1,1,General scholarly discussion,Dr Anthony P Stone
019421,1999-December,1999,12,Another (!) Subhashita search (the trouble with ali),3,3,General scholarly discussion,IreneMaradei | Namrata Bose | Paul Kekai Manansala
019426,1999-December,1999,12,"bones, flesh and ""science""",2,2,General scholarly discussion,N. Ganesan | Timothy C. Cahill
019436,1999-December,1999,12,ThirujnAnasampandar and JainAs,1,1,General scholarly discussion,Sreenivas Paruchuri
019437,1999-December,1999,12,dakinis,5,4,General scholarly discussion,N. Ganesan | Rajarshi Banerjee | Stephen Hodge | Venkatraman Iyer
019441,1999-December,1999,12,"All-India Oriental Conference, 40th Session, Chennai 28 to 30 May 2000",1,1,Announcements and events,S.Kalyanaraman
019444,1999-December,1999,12,.sa.s.titantra,4,4,General scholarly discussion,Bruno Lo Turco | Roland Steiner | Vidyasankar Sundaresan | Vishal Agarwal
019448,1999-December,1999,12,"Transliteration fonts: ""extra"" characters",5,4,General scholarly discussion,Koenraad Elst | Martin Gansten | N. Ganesan | Somayaji Rajagopala
019450,1999-December,1999,12,"sAri, the Indian dress",2,2,General scholarly discussion,Chris Beetle | S Krishna
019451,1999-December,1999,12,.sa.s.titantra,1,1,General scholarly discussion,Deepthi Kumara Henadeerage
019454,1999-December,1999,12,"Week, month, year - cycles",1,1,General scholarly discussion,Yashwant Malaiya
019456,1999-December,1999,12,"Transliteration fonts: ""extra"" characters",2,2,Digital resources and tools,Helen Oles Giunta | N. Ganesan
019459,1999-December,1999,12,How do I contact Prof Vasudha Narayanan?,5,5,General scholarly discussion,DAVID GRAY | Haridas C | Jan Brzezinski | L.S.Cousins | Vidyasankar Sundaresan
019466,1999-December,1999,12,"La Vallee Poussin, Louis de",1,1,General scholarly discussion,N. Ganesan
019468,1999-December,1999,12,When did the gods become literate ?,1,1,General scholarly discussion,Dominik Wujastyk
019469,1999-December,1999,12,"sAri, the Indian dress",1,1,General scholarly discussion,"Mahoney, Richard B."
019470,1999-December,1999,12,Date of Bhasa (was Re: Age of the Veda),4,3,General scholarly discussion,Stefan Baums | Toke Lindegaard Knudsen | Vidhyanath Rao
019471,1999-December,1999,12,SAmkhya/Yoga question,1,1,General scholarly discussion,N. Ganesan
019472,1999-December,1999,12,"Week, month, year - cycles",14,8,General scholarly discussion,Bharat Gupt | Bob Lazarowitz | Edwin Bryant | Helen Oles Giunta | Vidyasankar Sundaresan | Vishal Agarwal | george9252 | nanda chandran
019475,1999-December,1999,12,Chess game,1,1,General scholarly discussion,Alok Kumar
019482,1999-December,1999,12,astronomy,1,1,General scholarly discussion,John Smith
019492,1999-December,1999,12,SAmkhya/Yoga question,3,3,General scholarly discussion,Ravi Chawla | Samar Abbas | Vishal Agarwal
019499,1999-December,1999,12,astronomy,1,1,General scholarly discussion,Yashwant Malaiya
019500,1999-December,1999,12,Q: Sakasthan Numismatics,11,7,General scholarly discussion,Bharat Gupt | Chris Beetle | Edwin Bryant | Martin Gansten | Paul Kekai Manansala | Robert Zydenbos | Vidyasankar Sundaresan
019506,1999-December,1999,12,iissara & iisvara,3,3,General scholarly discussion,Artur Karp | N. Ganesan | Roland Steiner
019508,1999-December,1999,12,Forwarded announcement: Upcoming conference on Sanskrit,1,1,Announcements and events,N. Ganesan
019513,1999-December,1999,12,iissara & iisvara,1,1,General scholarly discussion,Dominik Wujastyk
019514,1999-December,1999,12,astronomy,1,1,General scholarly discussion,Dominik Wujastyk
019516,1999-December,1999,12,assimilation,1,1,General scholarly discussion,N. Ganesan
019517,1999-December,1999,12,The Fodder of First causes,1,1,General scholarly discussion,Allen W Thrasher
019519,1999-December,1999,12,Madhva,6,4,General scholarly discussion,Edwin Bryant | Martin Gansten | Ramakrishnan Balasubramanian | Robert Zydenbos
019528,1999-December,1999,12,"sAri, the Indian dress",1,1,General scholarly discussion,Enrica Garzilli
019530,1999-December,1999,12,"sAri, the Indian dress",2,2,General scholarly discussion,N. Ganesan | Rajarshi Banerjee
019532,1999-December,1999,12,"jODu, jODi",1,1,General scholarly discussion,Harry Spier
019534,1999-December,1999,12,Madhva,3,3,General scholarly discussion,Chris Austin | Roland Steiner | bahulkar
019541,1999-December,1999,12,Address of Dr.Ashok Aklujkar,4,3,General scholarly discussion,Brian Akers | Lars Martin Fosse | N. Ganesan
019545,1999-December,1999,12,The Fodder of First causes,2,1,General scholarly discussion,N. Ganesan
019556,1999-December,1999,12,The Fodder of First causes,1,1,General scholarly discussion,Michael Witzel
019560,1999-December,1999,12,"History of the usage of the terms --""mImAMsa"", ""vedAnta"" and ""mAyAvAda""",5,4,History and culture,L.S.Cousins | N. Ganesan | Ramakrishnan Balasubramanian | Sudalaimuthu Palaniappan
019561,1999-December,1999,12,rAga as musical scale,1,1,General scholarly discussion,Sudalaimuthu Palaniappan
019563,1999-December,1999,12,Hello Indologists!,1,1,General scholarly discussion,Madhav Deshpande
019567,1999-December,1999,12,On zankara's date - 1,1,1,General scholarly discussion,Sudalaimuthu Palaniappan
019568,1999-December,1999,12,On zankara's date - 2,5,5,General scholarly discussion,N. Ganesan | Stephen Hodge | Sudalaimuthu Palaniappan | Swantham | Vidyasankar Sundaresan
019569,1999-December,1999,12,The Philosopher's Name in English?,7,4,General scholarly discussion,N. Ganesan | Ramakrishnan Balasubramanian | Vidyasankar Sundaresan | Vishal Agarwal
019570,1999-December,1999,12,"Mimamsa, Vedanta etc.",5,5,General scholarly discussion,Lars Martin Fosse | N. Ganesan | Stefan Baums | Sunil Mehta | george9252
019575,1999-December,1999,12,"Mimamsa, Vedanta etc.",3,2,General scholarly discussion,Ruth Laila Schmidt | Sunil Mehta
019583,1999-December,1999,12,"Mimamsa, Vedanta etc.",2,2,General scholarly discussion,Sudalaimuthu Palaniappan | Vishal Agarwal
019585,1999-December,1999,12,On zankara's date - 2 (The view of Dvaraka Math),7,4,General scholarly discussion,Somayaji Rajagopala | Vidyasankar Sundaresan | Vishal Agarwal | Yashwant Malaiya
019590,1999-December,1999,12,On zankara's date - 2 (The view of Dvaraka Math),1,1,General scholarly discussion,N. Ganesan
019591,1999-December,1999,12,On zankara's date - 2 (The view of Dvaraka Math),2,2,General scholarly discussion,N. Ganesan | nanda chandran
019596,1999-December,1999,12,On zankara's date - 2 (The view of Dvaraka Math),1,1,General scholarly discussion,Ruth Laila Schmidt
019597,1999-December,1999,12,On zankara's date - 2,2,2,General scholarly discussion,DAVID GRAY | Lubomir Ondracka
019604,1999-December,1999,12,Looking for old books,1,1,Bibliographic requests,N. Ganesan
019605,1999-December,1999,12,"zimIdin, ziva, zibi",1,1,General scholarly discussion,Allen W Thrasher
019607,1999-December,1999,12,Millennium,1,1,General scholarly discussion,Periannan Chandrasekaran
019608,1999-December,1999,12,Sankara's portrait,3,3,General scholarly discussion,Dominik Wujastyk | N. Ganesan | Ramalingam Shanmugalingam
019610,1999-December,1999,12,Millennium,1,1,General scholarly discussion,nanda chandran
019612,1999-December,1999,12,"JSAWS Vol. 5, no. 2 (Dec. 31, 1999)",1,1,General scholarly discussion,Enrica Garzilli
019613,2000-January,2000,1,Millennium,12,9,General scholarly discussion,D.K.PRINTWORLD | Dominik Wujastyk | Kailash Srivastava | Kusuma Cunningham | Miroslav Rozehnal | N. Ganesan | Vidhyanath Rao | george9252 | pradeep mittal
019614,2000-January,2000,1,Indian Millennium - a 1000 years ago!,1,1,General scholarly discussion,N. Ganesan
019621,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Yashwant Malaiya
019623,2000-January,2000,1,Millennium,61,16,General scholarly discussion,Allen W Thrasher | Artur Karp | Bharat Gupt | Heinz Werner Wessler | Koenraad Elst | Lakshmi Srinivas | Lars Martin Fosse | N. Ganesan | Periannan Chandrasekaran | RM.Krishnan | Rajarshi Banerjee | Samar Abbas | Sudalaimuthu Palaniappan | Swaminathan Madhuresan | Vishal Agarwal | Yashwant Malaiya
019627,2000-January,2000,1,Vital Statistics,20,10,General scholarly discussion,Bharat Gupt | Claude Setzer | Madhav Deshpande | Martin Gansten | N. Ganesan | Paul Kekai Manansala | Periannan Chandrasekaran | Rajarshi Banerjee | Ravi Chawla | Vidyasankar Sundaresan
019647,2000-January,2000,1,Typographical error in the Bhagavad-Gita?,4,3,General scholarly discussion,N. Ganesan | Vidyasankar Sundaresan | birgit kellner
019649,2000-January,2000,1,vAcaspatimizra,1,1,General scholarly discussion,David Magier
019650,2000-January,2000,1,POSITION POSTING (via SARAI),3,3,General scholarly discussion,Jean Fezas | John Smith | Rachel McDermott
019651,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,John Robert Gardner
019655,2000-January,2000,1,Typographical error in the Bhagavad-Gita?,3,3,General scholarly discussion,Bharat Gupt | Kailash Srivastava | Yashwant Malaiya
019656,2000-January,2000,1,Marriage between cousins,15,7,General scholarly discussion,Elliot Stern | N. Ganesan | Ramakrishnan Balasubramanian | Sudalaimuthu Palaniappan | Swaminathan Madhuresan | Vidyasankar Sundaresan | Vishal Agarwal
019659,2000-January,2000,1,CARB fonts: proposed character set,1,1,General scholarly discussion,Chris Wooff
019660,2000-January,2000,1,Indology Technology Methodology: E-textnology,1,1,General scholarly discussion,Ronald E.Emmerick
019664,2000-January,2000,1,Teixeira,3,3,General scholarly discussion,Chouhan Electronic Informatics P Ltd. | Nikhil Rao | RM.Krishnan
019671,2000-January,2000,1,SV: Vital Statistics,2,2,General scholarly discussion,Klaus Karttunen | youri martini
019673,2000-January,2000,1,Vital Statistics - Hindi,3,2,General scholarly discussion,Martin Gansten | N. Ganesan
019675,2000-January,2000,1,vAcaspatimizra,1,1,General scholarly discussion,Matsumura
019676,2000-January,2000,1,POSITION ANNOUNCEMENT from SARAI,1,1,Announcements and events,David Magier
019677,2000-January,2000,1,JOB POSTING,3,2,General scholarly discussion,"Mehta, Shailendra | Periannan Chandrasekaran"
019680,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Lars Goehler
019686,2000-January,2000,1,SV: SV: Vital Statistics,1,1,General scholarly discussion,Heinz Werner Wessler
019689,2000-January,2000,1,Vital Statistics - Hindi,1,1,General scholarly discussion,Haridas C
019690,2000-January,2000,1,SV: Vital Statistics,1,1,General scholarly discussion,Haridas C
019692,2000-January,2000,1,Vital Statistics,2,2,General scholarly discussion,Nikhil Rao | Vishal Agarwal
019702,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Francois Obrist
019707,2000-January,2000,1,Vital Statistics,2,2,General scholarly discussion,Dominik Wujastyk | Swaminathan Madhuresan
019708,2000-January,2000,1,Vital Statistics,2,2,General scholarly discussion,Swaminathan Madhuresan | Yashwant Malaiya
019714,2000-January,2000,1,Dates for ThirukkuRaL & Gita,4,4,Texts and philology,Enrica Garzilli | Jean Fezas | John Robert Gardner | NAYAK Anand
019716,2000-January,2000,1,"Index to Louis RENOU et Jean FILLIOZAT, L'Inde classique",1,1,General scholarly discussion,Yashwant Malaiya
019729,2000-January,2000,1,Typographical error in the Bhagavad-Gita?,1,1,Texts and philology,Atimidus
019730,2000-January,2000,1,Final clarification (Was: Re: Typographical error in the Bhagavad-Gita?),4,4,Texts and philology,BP Jonsson | James Nye | N. Ganesan | george cardona
019734,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Martin Gansten
019737,2000-January,2000,1,Economist : The world language,1,1,General scholarly discussion,N. Ganesan
019741,2000-January,2000,1,"""ai"" with umlaut in RV (Van Nooten and Titus and Lubotsky)",1,1,General scholarly discussion,John Robert Gardner
019742,2000-January,2000,1,What part of India is Dravidian?,2,2,History and culture,Rajarshi Banerjee | Yashwant Malaiya
019743,2000-January,2000,1,RV 10.23.1 & Lubotsky,1,1,General scholarly discussion,John Robert Gardner
019746,2000-January,2000,1,Sanskrit language,2,2,General scholarly discussion,Stuart Ray Sarbacker | Yaroslav Vassilkov
019749,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,N. Ganesan
019750,2000-January,2000,1,Typographical error in the Bhagavad-Gita?,6,2,General scholarly discussion,L.S.Cousins | Michael Witzel
019755,2000-January,2000,1,"AIT, NEW genetic evidence",19,10,General scholarly discussion,David Salmon (Kettenpom) | Dr. Nupam Mahajan | Lars Martin Fosse | N. Ganesan | Paul Kekai Manansala | Rajarshi Banerjee | Ramadas | Samar Abbas | Vidyasankar Sundaresan | Vishal Agarwal
019764,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Narahari Achar
019767,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Madhav Deshpande
019768,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,john grimes
019772,2000-January,2000,1,Teixeira,4,3,General scholarly discussion,Paul Kekai Manansala | Sudalaimuthu Palaniappan | Vidyasankar Sundaresan
019775,2000-January,2000,1,"Language name, people's name, and place name (was Re: Vital Statistics)",1,1,General scholarly discussion,Sudalaimuthu Palaniappan
019776,2000-January,2000,1,Samyuktaksaras (Was: Vital Statistics),3,3,General scholarly discussion,Allen W Thrasher | Rajarshi Banerjee | Swaminathan Madhuresan
019778,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Koenraad Elst
019780,2000-January,2000,1,origins of Pali,2,2,Buddhism and Jainism,N. Ganesan | Yashwant Malaiya
019788,2000-January,2000,1,kUTam,1,1,General scholarly discussion,N. Ganesan
019790,2000-January,2000,1,"AIT, NEW genetic evidence",1,1,General scholarly discussion,N. Ganesan
019795,2000-January,2000,1,Vital Statistics,3,3,General scholarly discussion,Dick Plukker | Dr. Jai Maharaj | Yashwant Malaiya
019801,2000-January,2000,1,Vital Statistics,1,1,General scholarly discussion,Haridas C
019803,2000-January,2000,1,Pali (details),1,1,Buddhism and Jainism,Haridas C
019808,2000-January,2000,1,origins of Pali,2,2,Buddhism and Jainism,L.S.Cousins | Michael Witzel
019812,2000-January,2000,1,"SV: AIT, NEW genetic evidence",1,1,General scholarly discussion,Narahari Achar
019814,2000-January,2000,1,on zankara's date - 2,5,4,Buddhism and Jainism,Ashok Aklujkar | Maciej St. Ziêba | Timothy C. Cahill | Yashwant Malaiya
019818,2000-January,2000,1,Pali (details),1,1,Buddhism and Jainism,Mandakranta Bose
019823,2000-January,2000,1,event announcement from SARAI,1,1,General scholarly discussion,David Magier
019825,2000-January,2000,1,"History of indian cooking (RE: Etymology: sambar, the dish?)",4,4,History and culture,Geeta Bharathan | Nikhil Rao | Srini Pichumani | Yashwant Malaiya
019827,2000-January,2000,1,History of indian cooking,6,5,General scholarly discussion,Ashok Aklujkar | Geeta Bharathan | Georg von Simson | Nikhil Rao | Sudalaimuthu Palaniappan
019828,2000-January,2000,1,"Etymology: sambar, the dish?",5,5,General scholarly discussion,Geeta Bharathan | Klaus Karttunen | Roland Steiner | Vishal Agarwal | Yashwant Malaiya
019830,2000-January,2000,1,wanted: Buddhist invocation (Skt / Pali),1,1,Buddhism and Jainism,Bharat Gupt
019832,2000-January,2000,1,"Etymology: sambar, the dish?",1,1,General scholarly discussion,Rasik Vihari Joshi
019833,2000-January,2000,1,"History of indian cooking (RE: Etymology: sambar, the dish?)",1,1,History and culture,Peter Schreiner
019835,2000-January,2000,1,New Publication,4,4,General scholarly discussion,Ashok Aklujkar | Elliot M. Stern | Michael Witzel | Roland Steiner
019837,2000-January,2000,1,Jani,2,2,General scholarly discussion,Madhav Deshpande | Stephen Hodge
019839,2000-January,2000,1,History of indian cooking,2,1,History and culture,Axel Michaels
019840,2000-January,2000,1,"History of indian cooking (RE: Etymology: sambar, the dish?)",1,1,History and culture,Yashwant Malaiya
019841,2000-January,2000,1,Obituary for Prof. Dr. Wilhelm Rau,1,1,General scholarly discussion,christopher lee
019848,2000-January,2000,1,History of indian cooking,2,2,History and culture,Kailash Srivastava | Lars Martin Fosse
019850,2000-January,2000,1,SV: Untouchability,2,2,General scholarly discussion,Graefe | Stephen Hodge
019853,2000-January,2000,1,) Happy Pongal & Solution for India's language problem :-),4,4,History and culture,Bharat Gupt | Gabriel | Sudalaimuthu Palaniappan | juergen neuss
019856,2000-January,2000,1,Taittiriya Samhita,3,3,General scholarly discussion,Harry Spier | Somayaji Rajagopala | clopez
019857,2000-January,2000,1,Illustrated Mahabharata,6,4,Texts and philology,Heike Boudalfa | Helen Oles Giunta | IreneMaradei | lpp
019861,2000-January,2000,1,Illustrated Mahabharata,3,3,Texts and philology,"Dr. Jai Maharaj | GHOSE,LYNKEN,MR | Yashwant Malaiya"
019863,2000-January,2000,1,Dating the Veda: Using the Horse and Planets,13,4,Veda and ritual,Michael Witzel | Paul Kekai Manansala | S.Kalyanaraman | Vidhyanath Rao
019866,2000-January,2000,1,origins of Pali (II),1,1,Buddhism and Jainism,Michael Witzel
019871,2000-January,2000,1,Volume and frequency of posting,1,1,General scholarly discussion,Dominik Wujastyk
019872,2000-January,2000,1,Noah's Flood,3,3,General scholarly discussion,Dominik Wujastyk | Koenraad Elst | Venkatraman Iyer
019873,2000-January,2000,1,History of indian cooking,1,1,History and culture,Leonard Zwilling
019877,2000-January,2000,1,wanted: Buddhist invocation (Skt / Pali),1,1,Buddhism and Jainism,IreneMaradei
019881,2000-January,2000,1,Obituary for Prof. Dr. Wilhelm Rau,7,7,General scholarly discussion,DAVID GRAY | Elliot M. Stern | Greg Jay | John Smith | Rajarshi Banerjee | Stephen Hodge | Vidhyanath Rao
019893,2000-January,2000,1,Dating the Veda: Using the Horse and Planets,4,3,General scholarly discussion,Dominik Wujastyk | Joseph Carson | lpp
019894,2000-January,2000,1,Noah's Flood,1,1,General scholarly discussion,Mandakranta Bose
019903,2000-January,2000,1,Hail,1,1,General scholarly discussion,Dominic Goodall
019904,2000-January,2000,1,Vedic accent in taittiriya samhita,1,1,Veda and ritual,nanda chandran
019905,2000-January,2000,1,Death in Theravada Buddhism,14,8,Veda and ritual,Bharat Gupt | Harry Spier | Krishna Kalale | Madhav Deshpande | Nikhil Rao | Somayaji Rajagopala | Vidhyanath Rao | Vidyasankar Sundaresan
019914,2000-January,2000,1,Skt vocabulary for: Hail,9,7,General scholarly discussion,Dominik Wujastyk | Georg von Simson | Jonathan Silk | Roland Steiner | Stephen Hodge | Sudalaimuthu Palaniappan | Swaminathan Madhuresan
019918,2000-January,2000,1,cikli_ta and s'ri_: soma and prosperity,1,1,Veda and ritual,S.Kalyanaraman
