slug,year,month,month_name,message_count_index,message_count_mbox,gzip_kb_index,thread_url,date_url,gzip_url
2018-November,2018,11,November,200,200,125,https://list.indology.info/pipermail/indology/2018-November/thread.html,https://list.indology.info/pipermail/indology/2018-November/date.html,https://list.indology.info/pipermail/indology/2018-November.txt.gz
2018-December,2018,12,December,150,150,70,https://list.indology.info/pipermail/indology/2018-December/thread.html,https://list.indology.info/pipermail/indology/2018-December/date.html,https://list.indology.info/pipermail/indology/2018-December.txt.gz
2019-January,2019,1,January,141,141,63,https://list.indology.info/pipermail/indology/2019-January/thread.html,https://list.indology.info/pipermail/indology/2019-January/date.html,https://list.indology.info/pipermail/indology/2019-January.txt.gz
2019-February,2019,2,February,207,207,117,https://list.indology.info/pipermail/indology/2019-February/thread.html,https://list.indology.info/pipermail/indology/2019-February/date.html,https://list.indology.info/pipermail/indology/2019-February.txt.gz
2019-March,2019,3,March,307,307,140,https://list.indology.info/pipermail/indology/2019-March/thread.html,https://list.indology.info/pipermail/indology/2019-March/date.html,https://list.indology.info/pipermail/indology/2019-March.txt.gz
2019-April,2019,4,April,302,302,239,https://list.indology.info/pipermail/indology/2019-April/thread.html,https://list.indology.info/pipermail/indology/2019-April/date.html,https://list.indology.info/pipermail/indology/2019-April.txt.gz
2019-May,2019,5,May,154,154,88,https://list.indology.info/pipermail/indology/2019-May/thread.html,https://list.indology.info/pipermail/indology/2019-May/date.html,https://list.indology.info/pipermail/indology/2019-May.txt.gz
2019-June,2019,6,June,257,257,195,https://list.indology.info/pipermail/indology/2019-June/thread.html,https://list.indology.info/pipermail/indology/2019-June/date.html,https://list.indology.info/pipermail/indology/2019-June.txt.gz
2019-July,2019,7,July,146,146,82,https://list.indology.info/pipermail/indology/2019-July/thread.html,https://list.indology.info/pipermail/indology/2019-July/date.html,https://list.indology.info/pipermail/indology/2019-July.txt.gz
2019-August,2019,8,August,172,172,85,https://list.indology.info/pipermail/indology/2019-August/thread.html,https://list.indology.info/pipermail/indology/2019-August/date.html,https://list.indology.info/pipermail/indology/2019-August.txt.gz
2019-September,2019,9,September,233,233,127,https://list.indology.info/pipermail/indology/2019-September/thread.html,https://list.indology.info/pipermail/indology/2019-September/date.html,https://list.indology.info/pipermail/indology/2019-September.txt.gz
2019-October,2019,10,October,224,224,140,https://list.indology.info/pipermail/indology/2019-October/thread.html,https://list.indology.info/pipermail/indology/2019-October/date.html,https://list.indology.info/pipermail/indology/2019-October.txt.gz
