thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
013128,kaTha upanishad IV. 1,1998,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1998-July/013128.html,I; IV,katha; upanisad,Classical; Kathā; Upaniṣad; Vedic,1,4,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `kaTha` using `state_IV`; subject matched `upanishad` using `register_upanisad`; subject matched `kaTha` using `register_katha`
013150,Sanskrit,1998,General scholarly discussion,general discussion,6,https://list.indology.info/pipermail/indology/1998-July/013154.html,I; IV,katha; upanisad,Classical; Kathā; Upaniṣad; Vedic,1,4,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `kaTha` using `state_IV`; subject matched `upanishad` using `register_upanisad`; subject matched `kaTha` using `register_katha`
013163,"Hindi/Urdu word ""Shabhash""",1998,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1998-July/013163.html,I; IV,katha; upanisad,Classical; Kathā; Upaniṣad; Vedic,1,4,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `kaTha` using `state_IV`; subject matched `upanishad` using `register_upanisad`; subject matched `kaTha` using `register_katha`
013170,bookstores?,1998,General scholarly discussion,general discussion,16,https://list.indology.info/pipermail/indology/1998-July/013175.html,I; IV,katha; upanisad,Classical; Kathā; Upaniṣad; Vedic,2,5,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `kaTha` using `state_IV`; subject matched `upanishad` using `register_upanisad`; subject matched `kaTha` using `register_katha`; subject matched `Vedic` using `state_I`
013684,Info On Zarthushtra,1998,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1998-October/013684.html,I,rgveda; upanisad,Upaniṣad; Vedic; Ṛgveda,2,3,subject_pattern,subject matched `RV` using `register_rgveda`; subject matched `UpaniSad` using `state_I`; subject matched `UpaniSad` using `register_upanisad`
013712,SV: SV: Oguibenine's book,1998,General scholarly discussion,general discussion,8,https://list.indology.info/pipermail/indology/1998-October/013712.html,I,katha; upanisad,Kathā; Upaniṣad; Vedic,4,5,subject_pattern,subject matched `Tale` using `register_katha`; subject matched `Tale` using `register_katha`; subject matched `UpaniSad` using `state_I`; subject matched `UpaniSad` using `register_upanisad`; subject matched `Tale` using `register_katha`
013732,Kira.naagama/Kira.natantra,1998,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1998-October/013732.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `UpaniSad` using `state_I`; subject matched `UpaniSad` using `register_upanisad`
013737,gopAla-tApini UpaniSad,1998,Veda and ritual,general discussion,2,https://list.indology.info/pipermail/indology/1998-October/013737.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `UpaniSad` using `state_I`; subject matched `UpaniSad` using `register_upanisad`
014283,Q:Dehatmavada of Badarinath Sukla,1998,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1998-November/014283.html,I,kavya; upanisad,Kāvya; Upaniṣad; Vedic,2,3,subject_pattern,subject matched `poem` using `register_kavya`; subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
014516,Where was PANini inspired? (Part III),1998,Grammar and linguistics,philological discussion,2,https://list.indology.info/pipermail/indology/1998-December/014516.html,I; II,upanisad; vyakarana,Pāṇinian; Upaniṣad; Vedic; Vyākaraṇa,2,4,subject_pattern,subject matched `PANini` using `state_II`; subject matched `PANini` using `register_vyakarana`; subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
014526,Where was PANini inspired? (Part IV),1998,Grammar and linguistics,philological discussion,3,https://list.indology.info/pipermail/indology/1998-December/014526.html,I; II,upanisad; vyakarana,Pāṇinian; Upaniṣad; Vedic; Vyākaraṇa,2,4,subject_pattern,subject matched `PANini` using `state_II`; subject matched `PANini` using `register_vyakarana`; subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
014532,"SV: ""Conceptional Purging of Indology""",1998,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1998-December/014532.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
015203,Nehru and Persian/Arabic,1999,General scholarly discussion,general discussion,15,https://list.indology.info/pipermail/indology/1999-January/015232.html,I,tantra; upanisad,Tantra; Upaniṣad; Vedic,3,4,subject_pattern,subject matched `Tantrism` using `register_tantra`; subject matched `Tantrism` using `register_tantra`; subject matched `Upanishad` using `state_I`; subject matched `Upanishad` using `register_upanisad`
017544,Buddhism's Links to Early Christianity !,1999,General scholarly discussion,general discussion,12,https://list.indology.info/pipermail/indology/1999-June/017561.html,,upanisad,Upaniṣad,2,2,subject_pattern,subject matched `bRhadAranyaka` using `register_upanisad`; subject matched `bRhadAranyaka` using `register_upanisad`
017614,Pindasarani Tables for Vaastu,1999,General scholarly discussion,general discussion,26,https://list.indology.info/pipermail/indology/1999-June/017616.html,,upanisad,Upaniṣad,1,1,subject_pattern,subject matched `bRhadAranyaka` using `register_upanisad`
017795,indian art history in south india,1999,History and culture,general discussion,2,https://list.indology.info/pipermail/indology/1999-June/017795.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`
017838,Chandogya Upanisad -- mathematics and ritual,1999,Veda and ritual,general discussion,5,https://list.indology.info/pipermail/indology/1999-June/017839.html,I; III,epic; upanisad,Epic; Epic & prolongements; Upaniṣad; Vedic,3,6,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`; subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`; subject matched `Mahabharata` using `state_III`; subject matched `Mahabharata` using `register_epic`
017848,"Is ""Sanskrit"" Dravidian; and open-mindedness",1999,General scholarly discussion,general discussion,11,https://list.indology.info/pipermail/indology/1999-June/017850.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`
017851,"Is ""Sanskrit"" Dravidian; and open-mindedness",1999,General scholarly discussion,general discussion,5,https://list.indology.info/pipermail/indology/1999-June/017851.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`
017900,studies of sandhyopAsana,1999,General scholarly discussion,general discussion,9,https://list.indology.info/pipermail/indology/1999-July/017900.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`
017916,"Chandogya Upanisad, again",1999,Veda and ritual,general discussion,2,https://list.indology.info/pipermail/indology/1999-July/017921.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`
017926,"Explanation to Chandogya Upanisad, again",1999,Veda and ritual,general discussion,5,https://list.indology.info/pipermail/indology/1999-July/017926.html,I; II,upanisad; vyakarana,Pāṇinian; Upaniṣad; Vedic; Vyākaraṇa,3,6,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Chandogya` using `register_upanisad`; subject matched `Grammar` using `state_II`; subject matched `Grammar` using `register_vyakarana`; subject matched `grammar` using `state_II`; subject matched `grammar` using `register_vyakarana`
