thread_root_id,subject,year,primary_topic,list_function,message_count,author_count,reply_count,case_score,page_path,first_url,evidence
051856,A distraction from the Coronavirus,2020,General scholarly discussion,general discussion,52,16,51,206,threads/021-051856-a-distraction-from-the-coronavirus.html,https://list.indology.info/pipermail/indology/2020-March/051856.html,long thread; multi-author; resolved replies
011216,Padmabhushan,1998,General scholarly discussion,general discussion,39,16,38,205,threads/022-011216-padmabhushan.html,https://list.indology.info/pipermail/indology/1998-March/011216.html,long thread; multi-author; resolved replies; request/help language; debate language
017083,DharmasthaLa,1999,General scholarly discussion,general discussion,46,19,45,205,threads/023-017083-dharmasthala.html,https://list.indology.info/pipermail/indology/1999-May/017083.html,long thread; multi-author; resolved replies
048256,Sanskrit can tackle climate change,2018,General scholarly discussion,general discussion,51,15,50,204,threads/024-048256-sanskrit-can-tackle-climate-change.html,https://list.indology.info/pipermail/indology/2018-September/048256.html,long thread; multi-author; resolved replies
006983,Update 2 to Pali Canon online,1997,General scholarly discussion,general discussion,39,22,38,203,threads/025-006983-update-2-to-pali-canon-online.html,https://list.indology.info/pipermail/indology/1997-February/006983.html,long thread; multi-author; resolved replies; thanks/correction language
011114,Indo-Aryan invasion,1998,General scholarly discussion,general discussion,45,15,44,198,threads/026-011114-indo-aryan-invasion.html,https://list.indology.info/pipermail/indology/1998-March/011114.html,long thread; multi-author; resolved replies; request/help language
030315,"Indology and ""the disastrous ideology of the 'pure Aryan race'""",2007,General scholarly discussion,general discussion,40,18,38,196,threads/027-030315-indology-and-the-disastrous-ideology-of-the-pure-aryan-race.html,https://list.indology.info/pipermail/indology/2007-January/030325.html,long thread; multi-author; resolved replies; debate language
041200,Article about the politics surrounding indology at the IHRC,2015,General scholarly discussion,debate/controversy,42,15,41,195,threads/028-041200-article-about-the-politics-surrounding-indology-at-the-ihrc.html,https://list.indology.info/pipermail/indology/2015-June/041200.html,long thread; multi-author; resolved replies; request/help language; debate language
008004,hair's colour in sanskrit,1997,General scholarly discussion,general discussion,39,20,38,195,threads/029-008004-hair-s-colour-in-sanskrit.html,https://list.indology.info/pipermail/indology/1997-May/008004.html,long thread; multi-author; resolved replies; request/help language
014738,Kamban's Aryan,1998,General scholarly discussion,general discussion,44,14,43,192,threads/030-014738-kamban-s-aryan.html,https://list.indology.info/pipermail/indology/1998-December/014738.html,long thread; multi-author; resolved replies; request/help language
013052,Early excommunications from / inclusions into vedic ...,1998,General scholarly discussion,general discussion,45,14,44,191,threads/031-013052-early-excommunications-from-inclusions-into-vedic.html,https://list.indology.info/pipermail/indology/1998-July/013052.html,long thread; multi-author; resolved replies
022237,Rajaram's PILTDOWN horse,2000,General scholarly discussion,general discussion,39,20,38,189,threads/032-022237-rajaram-s-piltdown-horse.html,https://list.indology.info/pipermail/indology/2000-August/022237.html,long thread; multi-author; resolved replies; debate language
054683,The Buddhist term sutta,2021,General scholarly discussion,general discussion,41,21,40,188,threads/033-054683-the-buddhist-term-sutta.html,https://list.indology.info/pipermail/indology/2021-May/054683.html,long thread; multi-author; resolved replies
024525,Questions on Indian idealism,2000,General scholarly discussion,general discussion,38,17,37,187,threads/034-024525-questions-on-indian-idealism.html,https://list.indology.info/pipermail/indology/2000-December/024525.html,long thread; multi-author; resolved replies; request/help language
023085,Summer Malayalam,2000,General scholarly discussion,general discussion,41,12,40,187,threads/035-023085-summer-malayalam.html,https://list.indology.info/pipermail/indology/2000-October/023085.html,long thread; multi-author; resolved replies; debate language
032607,frequencies,2009,General scholarly discussion,general discussion,43,16,42,187,threads/036-032607-frequencies.html,https://list.indology.info/pipermail/indology/2009-February/032607.html,long thread; multi-author; resolved replies
015007,Jaffrelot book,1999,General scholarly discussion,general discussion,37,19,35,184,threads/037-015007-jaffrelot-book.html,https://list.indology.info/pipermail/indology/1999-January/015013.html,long thread; multi-author; resolved replies
058304,"Whitney and doubling of ""ch""",2023,General scholarly discussion,general discussion,42,18,41,182,threads/038-058304-whitney-and-doubling-of-ch.html,https://list.indology.info/pipermail/indology/2023-October/058304.html,long thread; multi-author; resolved replies
038062,question for European Indologists,2013,General scholarly discussion,identification/help request,30,24,29,180,threads/039-038062-question-for-european-indologists.html,https://list.indology.info/pipermail/indology/2013-June/038062.html,long thread; multi-author; resolved replies; request/help language
033994,INDOLOGY FAQ. Re. Varanasi,2010,General scholarly discussion,general discussion,39,19,37,178,threads/040-033994-indology-faq-re-varanasi.html,https://list.indology.info/pipermail/indology/2010-February/034018.html,long thread; multi-author; resolved replies
017521,"Is ""Sanskrit"" Dravidian?",1999,General scholarly discussion,general discussion,37,13,35,174,threads/041-017521-is-sanskrit-dravidian.html,https://list.indology.info/pipermail/indology/1999-June/017533.html,long thread; multi-author; resolved replies; request/help language
051899,The study of Sanskrit as the epitome of uselessness,2020,General scholarly discussion,general discussion,32,25,31,173,threads/042-051899-the-study-of-sanskrit-as-the-epitome-of-uselessness.html,https://list.indology.info/pipermail/indology/2020-March/051899.html,long thread; multi-author; resolved replies
039600,Alchemy metaphor,2014,General scholarly discussion,general discussion,45,12,44,173,threads/043-039600-alchemy-metaphor.html,https://list.indology.info/pipermail/indology/2014-July/039600.html,long thread; multi-author; resolved replies
050859,Query on verse forms,2019,General scholarly discussion,identification/help request,45,5,44,172,threads/044-050859-query-on-verse-forms.html,https://list.indology.info/pipermail/indology/2019-September/050859.html,long thread; multi-author; resolved replies; request/help language
048529,Soma and Amanita muscaria,2018,Veda and ritual,general discussion,36,19,35,171,threads/045-048529-soma-and-amanita-muscaria.html,https://list.indology.info/pipermail/indology/2018-October/048529.html,long thread; multi-author; resolved replies
018247,Book Review: An Update on AIT (Part 1),1999,General scholarly discussion,general discussion,33,14,31,169,threads/046-018247-book-review-an-update-on-ait-part-1.html,https://list.indology.info/pipermail/indology/1999-September/018254.html,long thread; multi-author; resolved replies; thanks/correction language; debate language
059093,Congratulations to Laurie Patton,2024,General scholarly discussion,general discussion,30,25,29,167,threads/047-059093-congratulations-to-laurie-patton.html,https://list.indology.info/pipermail/indology/2024-May/059093.html,long thread; multi-author; resolved replies
006876,Q: Elegy Literature,1997,General scholarly discussion,general discussion,25,16,24,163,threads/048-006876-q-elegy-literature.html,https://list.indology.info/pipermail/indology/1997-February/006876.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
039327,Hitler and MLBD,2014,General scholarly discussion,general discussion,33,20,32,161,threads/049-039327-hitler-and-mlbd.html,https://list.indology.info/pipermail/indology/2014-May/039327.html,long thread; multi-author; resolved replies
014520,Family jewels,1998,General scholarly discussion,general discussion,36,9,35,161,threads/050-014520-family-jewels.html,https://list.indology.info/pipermail/indology/1998-December/014520.html,long thread; multi-author; resolved replies; request/help language
044510,bhakti,2016,General scholarly discussion,general discussion,37,11,36,160,threads/051-044510-bhakti.html,https://list.indology.info/pipermail/indology/2016-November/044510.html,long thread; multi-author; resolved replies; thanks/correction language
005576,Official State Languages query,1996,General scholarly discussion,identification/help request,33,13,31,158,threads/052-005576-official-state-languages-query.html,https://list.indology.info/pipermail/indology/1996-August/005579.html,long thread; multi-author; resolved replies; request/help language
021312,buddhist sanskrit texts,2000,General scholarly discussion,general discussion,36,11,34,157,threads/053-021312-buddhist-sanskrit-texts.html,https://list.indology.info/pipermail/indology/2000-May/021316.html,long thread; multi-author; resolved replies
008236,the gods,1997,General scholarly discussion,general discussion,31,14,30,157,threads/054-008236-the-gods.html,https://list.indology.info/pipermail/indology/1997-May/008236.html,long thread; multi-author; resolved replies
013702,Your thesis,1998,General scholarly discussion,general discussion,30,13,28,157,threads/055-013702-your-thesis.html,https://list.indology.info/pipermail/indology/1998-October/013887.html,long thread; multi-author; resolved replies; thanks/correction language; debate language
007570,avidya in Pali literature,1997,General scholarly discussion,general discussion,31,11,30,156,threads/056-007570-avidya-in-pali-literature.html,https://list.indology.info/pipermail/indology/1997-April/007570.html,long thread; multi-author; resolved replies; request/help language
024039,Black as Evil,2000,General scholarly discussion,general discussion,30,12,28,154,threads/057-024039-black-as-evil.html,https://list.indology.info/pipermail/indology/2000-November/024042.html,long thread; multi-author; resolved replies; request/help language
009829,Roman transliteration of Tamil n's,1997,General scholarly discussion,general discussion,28,15,27,153,threads/058-009829-roman-transliteration-of-tamil-n-s.html,https://list.indology.info/pipermail/indology/1997-November/009829.html,long thread; multi-author; resolved replies; debate language
025546,SV: SV: Plight of Buddhist art,2001,General scholarly discussion,general discussion,31,18,30,153,threads/059-025546-sv-sv-plight-of-buddhist-art.html,https://list.indology.info/pipermail/indology/2001-March/025546.html,long thread; multi-author; resolved replies
020396,River Sarasvati: Atomic scientists reconfirm location,2000,General scholarly discussion,general discussion,27,13,26,152,threads/060-020396-river-sarasvati-atomic-scientists-reconfirm-location.html,https://list.indology.info/pipermail/indology/2000-March/020396.html,long thread; multi-author; resolved replies; request/help language; debate language
053620,sources for the idea that reincarnation is a semi-random process?,2020,General scholarly discussion,general discussion,34,16,33,152,threads/061-053620-sources-for-the-idea-that-reincarnation-is-a-semi-random-process.html,https://list.indology.info/pipermail/indology/2020-November/053620.html,long thread; multi-author; resolved replies
001208,jyotish,1994,General scholarly discussion,general discussion,27,18,26,151,threads/062-001208-jyotish.html,https://list.indology.info/pipermail/indology/1994-September/001208.html,long thread; multi-author; resolved replies; debate language
018215,"New Positions at Asian Studies, UT Austin",1999,General scholarly discussion,general discussion,27,16,26,151,threads/063-018215-new-positions-at-asian-studies-ut-austin.html,https://list.indology.info/pipermail/indology/1999-September/018215.html,long thread; multi-author; resolved replies; thanks/correction language; debate language
049523,pracodayāt in gāyatrī mantras,2019,General scholarly discussion,general discussion,43,5,42,150,threads/064-049523-pracoday-t-in-g-yatr-mantras.html,https://list.indology.info/pipermail/indology/2019-March/049523.html,long thread; multi-author; resolved replies
023738,ghalib correctly quoted,2000,General scholarly discussion,general discussion,29,19,28,150,threads/065-023738-ghalib-correctly-quoted.html,https://list.indology.info/pipermail/indology/2000-November/023738.html,long thread; multi-author; resolved replies
014354,Vicious Debate,1998,General scholarly discussion,general discussion,35,10,33,149,threads/066-014354-vicious-debate.html,https://list.indology.info/pipermail/indology/1998-December/014386.html,long thread; multi-author; resolved replies; debate language
059324,Analogues to Anselm's Ontological Arguments in Indian Philosophy?,2024,General scholarly discussion,general discussion,39,10,38,149,threads/067-059324-analogues-to-anselm-s-ontological-arguments-in-indian-philosophy.html,https://list.indology.info/pipermail/indology/2024-June/059324.html,long thread; multi-author; resolved replies
011660,"arma-, armaka 'ruined site'",1998,General scholarly discussion,general discussion,28,15,27,147,threads/068-011660-arma-armaka-ruined-site.html,https://list.indology.info/pipermail/indology/1998-April/011660.html,long thread; multi-author; resolved replies; request/help language
028422,Snakes,2004,General scholarly discussion,general discussion,32,16,31,146,threads/069-028422-snakes.html,https://list.indology.info/pipermail/indology/2004-July/028422.html,long thread; multi-author; resolved replies
006442,Vedic Website,1996,General scholarly discussion,general discussion,27,14,26,145,threads/070-006442-vedic-website.html,https://list.indology.info/pipermail/indology/1996-December/006442.html,long thread; multi-author; resolved replies; request/help language
041671,"Tagore, Aurobindo, and Malhotra",2015,General scholarly discussion,general discussion,33,13,32,144,threads/071-041671-tagore-aurobindo-and-malhotra.html,https://list.indology.info/pipermail/indology/2015-July/041671.html,long thread; multi-author; resolved replies
014994,Too Many Postings?,1999,General scholarly discussion,general discussion,34,8,33,144,threads/072-014994-too-many-postings.html,https://list.indology.info/pipermail/indology/1999-January/014994.html,long thread; multi-author; resolved replies
046132,Sanskrit Readers: overview,2017,General scholarly discussion,general discussion,29,18,28,143,threads/073-046132-sanskrit-readers-overview.html,https://list.indology.info/pipermail/indology/2017-June/046132.html,long thread; multi-author; resolved replies
023892,Indology's future?,2000,General scholarly discussion,general discussion,23,18,21,143,threads/074-023892-indology-s-future.html,https://list.indology.info/pipermail/indology/2000-November/023897.html,long thread; multi-author; resolved replies; request/help language
016462,INSA email address?,1999,General scholarly discussion,general discussion,29,12,28,143,threads/075-016462-insa-email-address.html,https://list.indology.info/pipermail/indology/1999-April/016462.html,long thread; multi-author; resolved replies; debate language
043992,Question on Diacritical Marks,2016,General scholarly discussion,identification/help request,24,19,23,143,threads/076-043992-question-on-diacritical-marks.html,https://list.indology.info/pipermail/indology/2016-September/043992.html,long thread; multi-author; resolved replies; request/help language
032732,Language barriers --- financial barriers,2009,General scholarly discussion,general discussion,26,17,24,143,threads/077-032732-language-barriers-financial-barriers.html,https://list.indology.info/pipermail/indology/2009-March/032735.html,long thread; multi-author; resolved replies; thanks/correction language
028824,"Science Mag: ""no Indus script""",2004,General scholarly discussion,general discussion,32,15,31,143,threads/078-028824-science-mag-no-indus-script.html,https://list.indology.info/pipermail/indology/2004-December/028824.html,long thread; multi-author; resolved replies
007147,Indo-Germanic,1997,General scholarly discussion,general discussion,30,17,29,143,threads/079-007147-indo-germanic.html,https://list.indology.info/pipermail/indology/1997-March/007147.html,long thread; multi-author; resolved replies
008971,Q: Black Draupadi?,1997,General scholarly discussion,general discussion,27,14,25,143,threads/080-008971-q-black-draupadi.html,https://list.indology.info/pipermail/indology/1997-August/008975.html,long thread; multi-author; resolved replies; request/help language
057928,Manuscript collections on archive.org,2023,Manuscripts and epigraphy,philological discussion,28,14,27,142,threads/081-057928-manuscript-collections-on-archive-org.html,https://list.indology.info/pipermail/indology/2023-July/057928.html,long thread; multi-author; resolved replies; thanks/correction language
012873,Tampering with history,1998,General scholarly discussion,general discussion,31,11,29,142,threads/082-012873-tampering-with-history.html,https://list.indology.info/pipermail/indology/1998-June/012876.html,long thread; multi-author; resolved replies; request/help language
060354,dvandva → bahuvrīhi?,2025,General scholarly discussion,general discussion,31,14,30,141,threads/083-060354-dvandva-bahuvr-hi.html,https://list.indology.info/pipermail/indology/2025-March/060354.html,long thread; multi-author; resolved replies
011207,Vivekananda &c.,1998,General scholarly discussion,general discussion,23,12,22,141,threads/084-011207-vivekananda-c.html,https://list.indology.info/pipermail/indology/1998-March/011207.html,long thread; multi-author; resolved replies; request/help language; debate language
021503,"Madhava, Vidyaranya, Sringeri, and Kulke",2000,General scholarly discussion,general discussion,37,7,35,140,threads/085-021503-madhava-vidyaranya-sringeri-and-kulke.html,https://list.indology.info/pipermail/indology/2000-June/021504.html,long thread; multi-author; resolved replies
021750,address,2000,General scholarly discussion,general discussion,22,13,20,139,threads/086-021750-address.html,https://list.indology.info/pipermail/indology/2000-July/021759.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
024339,Koh-I-Noor,2000,General scholarly discussion,general discussion,29,12,27,139,threads/087-024339-koh-i-noor.html,https://list.indology.info/pipermail/indology/2000-December/024353.html,long thread; multi-author; resolved replies; request/help language
014789,SV: creation of human kind,1998,General scholarly discussion,general discussion,29,12,27,139,threads/088-014789-sv-creation-of-human-kind.html,https://list.indology.info/pipermail/indology/1998-December/014809.html,long thread; multi-author; resolved replies; request/help language
014288,Is the Aryan Invasion a Myth?,1998,General scholarly discussion,general discussion,27,17,26,138,threads/089-014288-is-the-aryan-invasion-a-myth.html,https://list.indology.info/pipermail/indology/1998-November/014288.html,long thread; multi-author; resolved replies
032536,"""samsara"" meaning ""life""",2009,General scholarly discussion,philological discussion,23,15,21,138,threads/090-032536-samsara-meaning-life.html,https://list.indology.info/pipermail/indology/2009-February/032539.html,long thread; multi-author; resolved replies; request/help language
020594,Saraswati: Atomic Scientists reconfirm location,2000,General scholarly discussion,general discussion,25,12,24,137,threads/091-020594-saraswati-atomic-scientists-reconfirm-location.html,https://list.indology.info/pipermail/indology/2000-March/020594.html,long thread; multi-author; resolved replies; request/help language
042330,rubrication in Indian mss.,2015,Manuscripts and epigraphy,general discussion,29,16,28,137,threads/092-042330-rubrication-in-indian-mss.html,https://list.indology.info/pipermail/indology/2015-November/042330.html,long thread; multi-author; resolved replies
008649,Translations of Gitagovinda,1997,History and culture,general discussion,23,14,22,137,threads/093-008649-translations-of-gitagovinda.html,https://list.indology.info/pipermail/indology/1997-June/008649.html,long thread; multi-author; resolved replies; request/help language
035699,taxonomy question,2011,General scholarly discussion,identification/help request,25,15,23,136,threads/094-035699-taxonomy-question.html,https://list.indology.info/pipermail/indology/2011-August/035701.html,long thread; multi-author; resolved replies; request/help language
001414,Sanskrit to be an elective subject in schools,1994,General scholarly discussion,general discussion,22,15,21,135,threads/095-001414-sanskrit-to-be-an-elective-subject-in-schools.html,https://list.indology.info/pipermail/indology/1994-October/001414.html,long thread; multi-author; resolved replies; request/help language; debate language
020322,ICHR controversey,2000,General scholarly discussion,general discussion,23,10,22,135,threads/096-020322-ichr-controversey.html,https://list.indology.info/pipermail/indology/2000-March/020322.html,long thread; multi-author; resolved replies; request/help language; debate language
032816,"clinking, silent and slipping bangles",2009,General scholarly discussion,general discussion,21,17,19,134,threads/097-032816-clinking-silent-and-slipping-bangles.html,https://list.indology.info/pipermail/indology/2009-March/032819.html,long thread; multi-author; resolved replies; request/help language
012112,Koel (and Hobson-Jobson),1998,General scholarly discussion,general discussion,30,8,29,134,threads/098-012112-koel-and-hobson-jobson.html,https://list.indology.info/pipermail/indology/1998-May/012112.html,long thread; multi-author; resolved replies; thanks/correction language
002949,Justification for teaching Sanskrit,1995,General scholarly discussion,general discussion,26,12,25,134,threads/099-002949-justification-for-teaching-sanskrit.html,https://list.indology.info/pipermail/indology/1995-August/002949.html,long thread; multi-author; resolved replies; debate language
005629,Event announcement: Testing Workshop,1996,General scholarly discussion,general discussion,21,13,19,134,threads/100-005629-event-announcement-testing-workshop.html,https://list.indology.info/pipermail/indology/1996-August/005632.html,long thread; multi-author; resolved replies; request/help language
017614,Aurobindo about Advaita,1999,General scholarly discussion,general discussion,26,11,25,133,threads/101-017614-aurobindo-about-advaita.html,https://list.indology.info/pipermail/indology/1999-June/017614.html,long thread; multi-author; resolved replies; request/help language
038944,Public statement from Wendy Doniger,2014,History and culture,general discussion,26,15,25,133,threads/102-038944-public-statement-from-wendy-doniger.html,https://list.indology.info/pipermail/indology/2014-February/038944.html,long thread; multi-author; resolved replies
024485,Re. Devaraja,2000,General scholarly discussion,general discussion,26,11,25,133,threads/103-024485-re-devaraja.html,https://list.indology.info/pipermail/indology/2000-December/024485.html,long thread; multi-author; resolved replies; request/help language
032337,Proceedings BM Symposium: Mansar,2008,Buddhism and Jainism,general discussion,26,14,24,132,threads/104-032337-proceedings-bm-symposium-mansar.html,https://list.indology.info/pipermail/indology/2008-December/032343.html,long thread; multi-author; resolved replies
017437,Sundarapandya's Varttika,1999,General scholarly discussion,general discussion,22,14,20,132,threads/105-017437-sundarapandya-s-varttika.html,https://list.indology.info/pipermail/indology/1999-June/017439.html,long thread; multi-author; resolved replies; request/help language
041441,Religious Literature with Political Purposes,2015,General scholarly discussion,general discussion,33,10,32,131,threads/106-041441-religious-literature-with-political-purposes.html,https://list.indology.info/pipermail/indology/2015-July/041441.html,long thread; multi-author; resolved replies
049669,question about a soliciation from publisher MDPI,2019,General scholarly discussion,identification/help request,25,14,24,131,threads/107-049669-question-about-a-soliciation-from-publisher-mdpi.html,https://list.indology.info/pipermail/indology/2019-March/049669.html,long thread; multi-author; resolved replies; request/help language
046838,Sources on Relationship btw Oral/Literary Traditions,2017,General scholarly discussion,general discussion,27,16,26,131,threads/108-046838-sources-on-relationship-btw-oral-literary-traditions.html,https://list.indology.info/pipermail/indology/2017-November/046838.html,long thread; multi-author; resolved replies
015333,references to tuLu language in ancient Tamil text,1999,General scholarly discussion,general discussion,26,14,25,130,threads/109-015333-references-to-tulu-language-in-ancient-tamil-text.html,https://list.indology.info/pipermail/indology/1999-January/015333.html,long thread; multi-author; resolved replies
033251,The Film Adi Shankaracharya,2009,Texts and philology,philological discussion,25,11,24,130,threads/110-033251-the-film-adi-shankaracharya.html,https://list.indology.info/pipermail/indology/2009-June/033251.html,long thread; multi-author; resolved replies; request/help language
032470,invertebrates,2009,General scholarly discussion,general discussion,33,10,31,129,threads/111-032470-invertebrates.html,https://list.indology.info/pipermail/indology/2009-January/032476.html,long thread; multi-author; resolved replies
042823,Origin of Mahācīna,2016,General scholarly discussion,general discussion,26,16,25,128,threads/112-042823-origin-of-mah-c-na.html,https://list.indology.info/pipermail/indology/2016-March/042823.html,long thread; multi-author; resolved replies
007414,references,1997,General scholarly discussion,general discussion,24,12,22,128,threads/113-007414-references.html,https://list.indology.info/pipermail/indology/1997-March/007419.html,long thread; multi-author; resolved replies; request/help language
026060,Etymology of sanskrit roots miS and miil,2001,General scholarly discussion,general discussion,26,12,24,128,threads/114-026060-etymology-of-sanskrit-roots-mis-and-miil.html,https://list.indology.info/pipermail/indology/2001-April/026063.html,long thread; multi-author; resolved replies; debate language
033211,Sanskrit IAST data entry tool,2009,Digital resources and tools,digital resource/tool,22,19,20,127,threads/115-033211-sanskrit-iast-data-entry-tool.html,https://list.indology.info/pipermail/indology/2009-May/033220.html,long thread; multi-author; resolved replies
020988,snake & mongoose in ancient India,2000,General scholarly discussion,general discussion,17,12,16,127,threads/116-020988-snake-mongoose-in-ancient-india.html,https://list.indology.info/pipermail/indology/2000-April/020988.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
022758,zaNa (hemp),2000,General scholarly discussion,general discussion,22,13,21,127,threads/117-022758-zana-hemp.html,https://list.indology.info/pipermail/indology/2000-September/022758.html,long thread; multi-author; resolved replies; request/help language
008144,Varna and Color,1997,General scholarly discussion,general discussion,24,14,23,126,threads/118-008144-varna-and-color.html,https://list.indology.info/pipermail/indology/1997-May/008144.html,long thread; multi-author; resolved replies; thanks/correction language
044291,Sexual Harassment,2016,General scholarly discussion,general discussion,27,13,26,126,threads/119-044291-sexual-harassment.html,https://list.indology.info/pipermail/indology/2016-October/044291.html,long thread; multi-author; resolved replies
018804,TretA etymology,1999,General scholarly discussion,general discussion,25,11,24,126,threads/120-018804-treta-etymology.html,https://list.indology.info/pipermail/indology/1999-October/018804.html,long thread; multi-author; resolved replies; request/help language
048761,brick-making communities,2018,General scholarly discussion,general discussion,24,16,23,126,threads/121-048761-brick-making-communities.html,https://list.indology.info/pipermail/indology/2018-November/048761.html,long thread; multi-author; resolved replies
016322,Women in Afghanistan,1999,General scholarly discussion,general discussion,23,11,21,126,threads/122-016322-women-in-afghanistan.html,https://list.indology.info/pipermail/indology/1999-March/016336.html,long thread; multi-author; resolved replies; request/help language
041686,Does anyone know of Sanskrit works that use 2nd-syllable rhyming?,2015,Bibliographic requests,identification/help request,24,12,23,126,threads/123-041686-does-anyone-know-of-sanskrit-works-that-use-2nd-syllable-rhyming.html,https://list.indology.info/pipermail/indology/2015-July/041686.html,long thread; multi-author; resolved replies; request/help language
009713,m/anusvAra & s/visarga - correction,1997,General scholarly discussion,general discussion,24,9,22,125,threads/124-009713-m-anusvara-s-visarga-correction.html,https://list.indology.info/pipermail/indology/1997-November/009719.html,long thread; multi-author; resolved replies; request/help language; thanks/correction language
047735,Brackets in modern sanskrit translations,2018,General scholarly discussion,general discussion,23,18,22,125,threads/125-047735-brackets-in-modern-sanskrit-translations.html,https://list.indology.info/pipermail/indology/2018-June/047735.html,long thread; multi-author; resolved replies
061773,Working with Pali Manuscripts: A Summer School,2026,General scholarly discussion,general discussion,23,15,22,124,threads/126-061773-working-with-pali-manuscripts-a-summer-school.html,https://list.indology.info/pipermail/indology/2026-March/061773.html,long thread; multi-author; resolved replies
