thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
019623,Millennium,2000,General scholarly discussion,general discussion,61,https://list.indology.info/pipermail/indology/2000-January/019623.html,I; II; III; V,bauddha; tantra; vyakarana,Bauddha; Buddhist / Jaina; Epic & prolongements; Pāṇinian; Tantra; Vedic; Vyākaraṇa,13,16,subject_pattern,subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Theravada` using `state_V`
019627,Vital Statistics,2000,General scholarly discussion,general discussion,20,https://list.indology.info/pipermail/indology/2000-January/019627.html,III; V,bauddha,Bauddha; Buddhist / Jaina; Epic & prolongements,6,7,subject_pattern,subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Gita` using `state_III`; subject matched `Theravada` using `state_V`
019905,Vedic accent in taittiriya samhita,2000,Veda and ritual,general discussion,14,https://list.indology.info/pipermail/indology/2000-January/019906.html,I; III; V,bauddha; brahmana; epic,Bauddha; Brāhmaṇa; Buddhist / Jaina; Epic; Epic & prolongements; Vedic,10,18,subject_pattern,subject matched `Vedic` using `state_I`; subject matched `taittiriya` using `register_brahmana`; subject matched `Theravada` using `state_V`; subject matched `Theravada` using `register_bauddha`; subject matched `Veda` using `state_I`; subject matched `Veda` using `state_I`
022432,Hinduism and Colonialism,2000,General scholarly discussion,general discussion,14,https://list.indology.info/pipermail/indology/2000-August/022432.html,V,bauddha; bhasya,Bauddha; Bhāṣya; Buddhist / Jaina,4,5,subject_pattern,subject matched `Shankara` using `register_bhasya`; subject matched `Shankara` using `register_bhasya`; subject matched `Theravada` using `state_V`; subject matched `Theravada` using `register_bauddha`; subject matched `Shankara` using `register_bhasya`
027063,suggestions for a name for a hospital,2002,General scholarly discussion,general discussion,9,https://list.indology.info/pipermail/indology/2002-August/027063.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `Bodhisattva` using `state_V`; subject matched `Bodhisattva` using `register_bauddha`
027067,suggestions for a name for a hospital,2002,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/2002-August/027067.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `Bodhisattva` using `state_V`; subject matched `Bodhisattva` using `register_bauddha`
032301,RasAyana,2008,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/2008-December/032302.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `Mahayana` using `state_V`; subject matched `Mahayana` using `register_bauddha`
032318,saptaratna (navaratna),2008,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/2008-December/032322.html,V,bauddha,Bauddha; Buddhist / Jaina,2,4,subject_pattern,subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`; subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`
032319,saptaratna (navaratna),2008,General scholarly discussion,general discussion,14,https://list.indology.info/pipermail/indology/2008-December/032319.html,V,bauddha,Bauddha; Buddhist / Jaina,10,20,subject_pattern,subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`; subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`; subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`
032321,saptaratna (navaratna),2008,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/2008-December/032321.html,V,bauddha,Bauddha; Buddhist / Jaina,2,4,subject_pattern,subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`; subject matched `bodhisattva` using `state_V`; subject matched `bodhisattva` using `register_bauddha`
