source_author,target_author,confidence,weight
Lars Martin Fosse,Vidyasankar Sundaresan,thread_inferred,12
Dominik Wujastyk,Patrick Olivelle,exact_in_reply_to,12
S.Kalyanaraman,N. Ganesan,thread_inferred,12
Vidyasankar Sundaresan,Ramakrishnan Balasubramanian,thread_inferred,12
Samar Abbas,N. Ganesan,thread_inferred,12
Stephen Hodge,Arlo Griffiths,thread_inferred,12
Robert Zydenbos,Dominik Wujastyk,exact_in_reply_to,12
Madhav Deshpande,Matthew Kapstein,exact_in_reply_to,12
SNS,N. Ganesan,thread_inferred,12
Petr Mares,N. Ganesan,thread_inferred,12
Michael Witzel,S.Kalyanaraman,thread_inferred,12
Matthew Kapstein,Jonathan Silk,exact_in_reply_to,12
Palaniappa,Palaniappa,thread_inferred,12
Patrick Olivelle,Dominik Wujastyk,exact_in_reply_to,12
Ashok Aklujkar,Martin Gansten,exact_in_reply_to,12
Dominik Wujastyk,Christophe Vielle,exact_in_reply_to,12
Dominik Wujastyk,Nagaraj Paturi,exact_in_reply_to,12
Robert Zydenbos,N. Ganesan,thread_inferred,12
Matthew Kapstein,Matthew Kapstein,thread_inferred,12
Lars Martin Fosse,Artur Karp,thread_inferred,12
Elliot Stern,Elliot Stern,exact_in_reply_to,12
Oliver Hellwig,Oliver Hellwig,exact_in_reply_to,12
Marco Franceschini,Marco Franceschini,exact_in_reply_to,12
DEVARAKONDA VENKATA NARAYANA SARMA,DEVARAKONDA VENKATA NARAYANA SARMA,thread_inferred,12
Venkatraman Iyer,Swaminathan Madhuresan,thread_inferred,11
Artur Karp,Sudalaimuthu Palaniappan,thread_inferred,11
Lars Martin Fosse,Dominique.Thillaud,thread_inferred,11
Jacob Baltuch,Jacob Baltuch,thread_inferred,11
Howard Resnick,Nagaraj Paturi,exact_in_reply_to,11
Valerie J Roebuck,Allen W Thrasher,thread_inferred,11
N. Ganesan,Mani Varadarajan,thread_inferred,11
Madhav Deshpande,Christophe Vielle,exact_in_reply_to,11
Harry Spier,Nagaraj Paturi,exact_in_reply_to,11
Dominik Wujastyk,"Deshpande, Madhav",thread_inferred,11
Jean-Luc Chevillard,Sudalaimuthu Palaniappan,thread_inferred,11
palaniappa at aol.com,palaniappa at aol.com,thread_inferred,11
Sudalaimuthu Palaniappan,"Tieken, H.J.H.",exact_in_reply_to,11
nanda chandran,N. Ganesan,thread_inferred,11
l.m.fosse at easteur-orient.uio.no,l.m.fosse at easteur-orient.uio.no,thread_inferred,11
Satya Upadhya,Satya Upadhya,thread_inferred,11
Julia Hegewald,Julia Hegewald,exact_in_reply_to,11
"Hock, Hans Henrich",Harry Spier,exact_in_reply_to,11
Sudalaimuthu Palaniappan,Vishal Agarwal,thread_inferred,11
Howard Resnick,Dominik Wujastyk,exact_in_reply_to,11
John Smith,Harry Spier,thread_inferred,11
Nagaraj Paturi,patrick mccartney,thread_inferred,11
Martin Gansten,Martin Gansten,exact_in_reply_to,11
Swaminathan Madhuresan,Harry Spier,thread_inferred,11
Christophe Vielle,Harry Spier,exact_in_reply_to,11
Lakshmi Srinivas,Sudalaimuthu Palaniappan,thread_inferred,11
David and Nancy Reigle,alakendu das,exact_in_reply_to,11
Nagaraj Paturi,alakendu das,exact_in_reply_to,10
Shrisha Rao,Shrinivas Tilak,thread_inferred,10
"Olivelle, J P",Harry Spier,exact_in_reply_to,10
Dominik Wujastyk,mkapstei at UCHICAGO.EDU,thread_inferred,10
"Gruenendahl, Reinhold","Gruenendahl, Reinhold",thread_inferred,10
Jesse Knutson,Jesse Knutson,exact_in_reply_to,10
Dominik Wujastyk,Vidyasankar Sundaresan,thread_inferred,10
Harry Spier,Christophe Vielle,exact_in_reply_to,10
Walter Slaje,Martin Gansten,exact_in_reply_to,10
N. Ganesan,Robert Zydenbos,thread_inferred,10
Alexandra Vandergeer,Anna A. Slaczka,thread_inferred,10
Ashish Chandra,Partha Banerjee,thread_inferred,10
Madhav Deshpande,Patrick Olivelle,exact_in_reply_to,10
Madhav Deshpande,Andrew Ollett,exact_in_reply_to,10
Dominik Wujastyk,Dipak Bhattacharya,exact_in_reply_to,10
Ferenc Ruzsa,nanda chandran,thread_inferred,10
Walter Slaje,Walter Slaje,thread_inferred,10
Michael Rabe,Partha Banerjee,thread_inferred,10
rajam,Harry Spier,exact_in_reply_to,10
Stephen Hodge,N. Ganesan,thread_inferred,10
Andrew Ollett,Andrew Ollett,exact_in_reply_to,10
Richard MAHONEY,Jonathan Silk,thread_inferred,10
Dipak Bhattacharya,George Thompson,thread_inferred,10
Bhadraiah Mallampalli,Satya Upadhya,thread_inferred,10
Jonathan Silk,Dominik Wujastyk,exact_in_reply_to,10
S. Kalyanaraman,Michael Witzel,thread_inferred,10
Robert Zydenbos,Partha Banerjee,thread_inferred,10
N. Ganesan,Palaniappa,thread_inferred,10
Dan Lusthaus,Madhav Deshpande,exact_in_reply_to,10
Christophe Vielle,Christophe Vielle,thread_inferred,10
Dan Lusthaus,Dan Lusthaus,exact_in_reply_to,10
Jean-Luc Chevillard,N. Ganesan,thread_inferred,10
Bjarte Kaldhol,Subrahmanya S.,thread_inferred,10
Allen W Thrasher,Jonathan Silk,thread_inferred,10
Srinivasan Pichumani,Palaniappa at aol.com,thread_inferred,10
Madhav Deshpande,David and Nancy Reigle,exact_in_reply_to,10
Dominik Wujastyk,Anshuman Pandey,thread_inferred,10
Matthew Kapstein,Howard Resnick,exact_in_reply_to,10
Martin Gansten,Dominik Wujastyk,exact_in_reply_to,10
N. Ganesan,Ashish Chandra,thread_inferred,10
"Deshpande, Madhav","Deshpande, Madhav",thread_inferred,10
Enrica Garzilli,Enrica Garzilli,thread_inferred,10
Jonathan Silk,Jonathan Silk,exact_in_reply_to,10
"Olivelle, J P","Olivelle, J P",thread_inferred,10
Yaroslav V. Vassilkov,N. Ganesan,thread_inferred,10
Nagaraj Paturi,"Tieken, H.J.H.",exact_in_reply_to,10
Nityanand Misra,Dominik Wujastyk,exact_in_reply_to,9
"Tieken, H.J.H.",palaniappa at aol.com,exact_in_reply_to,9
Bharat Gupt,Artur Karp,thread_inferred,9
