person_id,display_name,full_name_ru,n_talks,rinc_search_url,review_status,rinc_author_id,spin,profile_url,reviewer,checked_at,notes,birth_year_estimate,first_publication_year,first_publication_source
PERS_9bf51055,В. М. Шелкович,В. М. Шелкович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Шелкович,todo,,,,,,,,,
PERS_9ddf9210,С.П. Нестеркин,С.П. Нестеркин,1,https://elibrary.ru/author_items.asp?authorid=&fams=Нестеркин,todo,,,,,,,,,
PERS_a0f3d86d,Сергеева Варвара Алексеевна,Сергеева Варвара Алексеевна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Сергеева,todo,,,,,,,,,
PERS_a1484b38,Кавалевская А. П.,Кавалевская А. П.,1,https://elibrary.ru/author_items.asp?authorid=&fams=Кавалевская,todo,,,,,,,,,
PERS_a638a4b3,Федорова Наталья Леонидовна,Федорова Наталья Леонидовна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Федорова,todo,,,,,,,,,
PERS_a8983673,Н.Л. Вигель,Н.Л. Вигель,1,https://elibrary.ru/author_items.asp?authorid=&fams=Вигель,todo,,,,,,,,,
PERS_a901d460,М. А. Фаградян,М. А. Фаградян,1,https://elibrary.ru/author_items.asp?authorid=&fams=Фаградян,todo,,,,,,,,,
PERS_af811d47,Корнеева Татьяна Георгиевна,Корнеева Татьяна Георгиевна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Корнеева,todo,,,,,,,,,
PERS_b024f2dd,М. Н. Русанов,М. Н. Русанов,1,https://elibrary.ru/author_items.asp?authorid=&fams=Русанов,todo,,,,,,,,,
PERS_b5dd77b1,А.В. Мрачковская,А.В. Мрачковская,1,https://elibrary.ru/author_items.asp?authorid=&fams=Мрачковская,todo,,,,,,,,,
PERS_bd77e495,Г.Б. Корнеев,Г.Б. Корнеев,1,https://elibrary.ru/author_items.asp?authorid=&fams=Корнеев,todo,,,,,,,,,
PERS_bdaaf440,Е.В.Слинько,Е.В.Слинько,1,https://elibrary.ru/author_items.asp?authorid=&fams=Е.В.Слинько,todo,,,,,,,,,
PERS_c2ffc606,Драчук Андрей Олегович,Драчук Андрей Олегович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Драчук,todo,,,,,,,,,
PERS_c582889e,И.Б. Иткин,Иткин Илья Борисович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Иткин,todo,,,,,,,,,
PERS_cac87738,Н. В. Гузеватая,Н. В. Гузеватая,1,https://elibrary.ru/author_items.asp?authorid=&fams=Гузеватая,todo,,,,,,,,,
PERS_cb967ae4,Harjender Singh Chaudhary,Harjender Singh Chaudhary,1,https://elibrary.ru/author_items.asp?authorid=&fams=Harjender,todo,,,,,,,,,
PERS_ce100d3f,Мария Шилинскене,Мария Шилинскене,1,https://elibrary.ru/author_items.asp?authorid=&fams=Мария,todo,,,,,,,,,
PERS_d01427ca,Бещук Юлия Владимировна,Бещук Юлия Владимировна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Бещук,todo,,,,,,,,,
PERS_d3cb634e,Ю.С. Атманова,Ю.С. Атманова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Атманова,todo,,,,,,,,,
PERS_de59a2bc,Г.В. Шарыгин,Г.В. Шарыгин,1,https://elibrary.ru/author_items.asp?authorid=&fams=Шарыгин,todo,,,,,,,,,
PERS_dfaf6803,Я.А. Борисов,Я.А. Борисов,1,https://elibrary.ru/author_items.asp?authorid=&fams=Борисов,todo,,,,,,,,,
PERS_e1d622e5,С.Ф. Мажитов,С.Ф. Мажитов,1,https://elibrary.ru/author_items.asp?authorid=&fams=Мажитов,todo,,,,,,,,,
PERS_e30ad8b7,Д.С. Гавриков,Д.С. Гавриков,1,https://elibrary.ru/author_items.asp?authorid=&fams=Гавриков,todo,,,,,,,,,
PERS_e4aab278,Возчиков Дмитрий Викторович,Возчиков Дмитрий Викторович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Возчиков,todo,,,,,,,,,
PERS_e96139bd,Коробов Владимир Борисович,Коробов Владимир Борисович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Коробов,todo,,,,,,,,,
PERS_ecdfe667,Е.О. Новосёлова,Е.О. Новосёлова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Новосёлова,todo,,,,,,,,,
PERS_ed83f502,Т.П. Селиванова,Т.П. Селиванова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Селиванова,todo,,,,,,,,,
PERS_ee3448c3,В.В. Деменова,В.В. Деменова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Деменова,todo,,,,,,,,,
PERS_f1a308b7,Абинякин Владимир Александрович,Абинякин Владимир Александрович,1,https://elibrary.ru/author_items.asp?authorid=&fams=Абинякин,todo,,,,,,,,,
PERS_f1f2471d,М.М. Игнатова,М.М. Игнатова,1,https://elibrary.ru/author_items.asp?authorid=&fams=Игнатова,todo,,,,,,,,,
PERS_f5a69b65,Кройцер Светлана Александровна,Кройцер Светлана Александровна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Кройцер,todo,,,,,,,,,
PERS_f619aeed,А.Д. Цендина,А.Д. Цендина,1,https://elibrary.ru/author_items.asp?authorid=&fams=Цендина,todo,,,,,,,,,
PERS_f82b6a8e,Сенина Наталья Викторовна,Сенина Наталья Викторовна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Сенина,todo,,,,,,,,,
PERS_fb73fb38,Кешарпу Екатерина Витальевна,Кешарпу Екатерина Витальевна,1,https://elibrary.ru/author_items.asp?authorid=&fams=Кешарпу,todo,,,,,,,,,
PERS_fc976255,Э.Н. Комаров,Э.Н. Комаров,1,https://elibrary.ru/author_items.asp?authorid=&fams=Комаров,todo,,,,,,,,,
PERS_fe03c926,И.А. Карышева,И.А. Карышева,1,https://elibrary.ru/author_items.asp?authorid=&fams=Карышева,todo,,,,,,,,,
