confidence,matched_field,matched_field_text,matched_term,presentation_id,public_path,renou_axis,renou_code,renou_label,rule_id,series,source_url,title,year
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_97ad954200,p/luk-oruzhie.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Лук (оружие),2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_97ad954200,p/luk-oruzhie.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Лук (оружие),2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_a8e1a30833,p/perevod-g-s-lebedevym-poemy-bkharat-chondro-raya-biddeshundor-po-rukopisi-khranyashcheisya-v-rgi.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,"Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение",2004
title_tag_pattern,title,,поэм,PRES_a8e1a30833,p/perevod-g-s-lebedevym-poemy-bkharat-chondro-raya-biddeshundor-po-rukopisi-khranyashcheisya-v-rgi.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,"Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение",2004
title_tag_pattern,title,,Ригвед,PRES_ba501c2543,p/erotika-v-rigvede-muzhskoe-i-zhenskoe-nachalo.html,state,I,Vedic,state_I,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Эротика в Ригведе: мужское и женское начало,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_ba501c2543,p/erotika-v-rigvede-muzhskoe-i-zhenskoe-nachalo.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Эротика в Ригведе: мужское и женское начало,2004
title_tag_pattern,title,,Ригвед,PRES_ba501c2543,p/erotika-v-rigvede-muzhskoe-i-zhenskoe-nachalo.html,register,rgveda,Ṛgveda,register_rgveda,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Эротика в Ригведе: мужское и женское начало,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_ba501c2543,p/erotika-v-rigvede-muzhskoe-i-zhenskoe-nachalo.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Эротика в Ригведе: мужское и женское начало,2004
title_tag_pattern,title,,Махабхарат,PRES_c567f22f17,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_c567f22f17,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),2004
title_tag_pattern,title,,Махабхарат,PRES_c567f22f17,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,register,epic,Epic,register_epic,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_c567f22f17,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),2004
title_tag_pattern,title,,гита,PRES_ceb3b3ba00,p/devi-gita-iz-devibkhagavata-purany.html,state,III,Epic & prolongements,state_III,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Деви-гита из Девибхагавата-пураны,2004
title_tag_pattern,title,,пуран,PRES_ceb3b3ba00,p/devi-gita-iz-devibkhagavata-purany.html,register,purana,Purāṇa,register_purana,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Деви-гита из Девибхагавата-пураны,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_e793d570a3,p/buddizm-v-tvorchestve-dzhayashankara-prasada.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Буддизм в творчестве Джаяшанкара Прасада,2004
title_tag_pattern,title,,Будд,PRES_e793d570a3,p/buddizm-v-tvorchestve-dzhayashankara-prasada.html,state,V,Buddhist / Jaina,state_V,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Буддизм в творчестве Джаяшанкара Прасада,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_e793d570a3,p/buddizm-v-tvorchestve-dzhayashankara-prasada.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Буддизм в творчестве Джаяшанкара Прасада,2004
title_tag_pattern,title,,Будд,PRES_e793d570a3,p/buddizm-v-tvorchestve-dzhayashankara-prasada.html,register,bauddha,Bauddha,register_bauddha,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Буддизм в творчестве Джаяшанкара Прасада,2004
title_tag_pattern,title,,Ригвед,PRES_ec5840a950,p/eshche-raz-o-slove-tman-v-rigvede.html,state,I,Vedic,state_I,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Еще раз о слове ātman в Ригведе,2004
title_tag_pattern,title,,Ригвед,PRES_ec5840a950,p/eshche-raz-o-slove-tman-v-rigvede.html,register,rgveda,Ṛgveda,register_rgveda,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,Еще раз о слове ātman в Ригведе,2004
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_2048f4153d,p/modeli-khristianskogo-i-indo-buddiiskogo-vremeni-v-sovremennoi-literature.html,state,IV,Classical,state_IV,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Модели христианского и индо-буддийского времени в современной литературе,2006
title_tag_pattern,title,,будд,PRES_2048f4153d,p/modeli-khristianskogo-i-indo-buddiiskogo-vremeni-v-sovremennoi-literature.html,state,V,Buddhist / Jaina,state_V,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Модели христианского и индо-буддийского времени в современной литературе,2006
title_tag_pattern,tag,Literature & Poetry,Poetry,PRES_2048f4153d,p/modeli-khristianskogo-i-indo-buddiiskogo-vremeni-v-sovremennoi-literature.html,register,kavya,Kāvya,register_kavya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Модели христианского и индо-буддийского времени в современной литературе,2006
title_tag_pattern,title,,будд,PRES_2048f4153d,p/modeli-khristianskogo-i-indo-buddiiskogo-vremeni-v-sovremennoi-literature.html,register,bauddha,Bauddha,register_bauddha,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Модели христианского и индо-буддийского времени в современной литературе,2006
title_tag_pattern,title,,Упанишад,PRES_409770d89b,p/interpretatsiya-idei-upanishad-u-rammokhona-roya-i-debendronatkha-tagora.html,state,I,Vedic,state_I,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора,2006
title_tag_pattern,title,,Упанишад,PRES_409770d89b,p/interpretatsiya-idei-upanishad-u-rammokhona-roya-i-debendronatkha-tagora.html,register,upanisad,Upaniṣad,register_upanisad,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора,2006
title_tag_pattern,title,,Коммент,PRES_41b4c6fe83,p/kommentarii-k-kommentariyu-g-s-lebedev-i-kulturnaya-zhizn-kalkutty-v-1790-kh-godakh.html,register,bhasya,Bhāṣya,register_bhasya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,Комментарий к комментарию (Г.С.Лебедев и культурная жизнь Калькутты в 1790-х годах),2006
