entity_type,entity_id,display_name,field_name,field_value,source_type,source_url,confidence,checked_at,notes
person,PERS_c31236d2,Березкин Юрий Евгеньевич,full_name_ru,Березкин Юрий Евгеньевич,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_c31236d2,Березкин Юрий Евгеньевич,full_name_en,Berezkin Yuri Evgenievich,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_c31236d2,Березкин Юрий Евгеньевич,birth_year,1946,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_d01427ca,Бещук Юлия Владимировна,full_name_ru,Бещук Юлия Владимировна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_d01427ca,Бещук Юлия Владимировна,full_name_en,Beshchuk Yulia Vladimirovna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_d01427ca,Бещук Юлия Владимировна,birth_year,1971,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_c6bbcef3,Битинайте Елена Алексеевна,full_name_ru,Битинайте Елена Алексеевна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_c6bbcef3,Битинайте Елена Алексеевна,full_name_en,Bitinaite Elena Alekseevna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_c6bbcef3,Битинайте Елена Алексеевна,birth_year,1985,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_18fcab2a,Блиндерман Радха Тимуровна,full_name_ru,Блиндерман Радха Тимуровна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_18fcab2a,Блиндерман Радха Тимуровна,full_name_en,Radha Blinderman,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_18fcab2a,Блиндерман Радха Тимуровна,birth_year,1990,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_96b8b195,Боголюбов Михаил Николаевич,full_name_ru,Боголюбов Михаил Николаевич,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_96b8b195,Боголюбов Михаил Николаевич,full_name_en,Bogolyubov Mikhail Nikolaevich,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_96b8b195,Боголюбов Михаил Николаевич,birth_year,1918,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_96b8b195,Боголюбов Михаил Николаевич,death_year,2010,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_2011b78d,Бондарев Алексей Владимирович,full_name_ru,Бондарев Алексей Владимирович,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2021,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_2011b78d,Бондарев Алексей Владимирович,full_name_en,Bondarev Alexey Vladimirovich,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2021,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_2011b78d,Бондарев Алексей Владимирович,birth_year,1982,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2021,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_dfaf6803,Борисов Яков Александрович,full_name_ru,Борисов Яков Александрович,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2016,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_dfaf6803,Борисов Яков Александрович,full_name_en,Yakov Borisov,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2016,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_dfaf6803,Борисов Яков Александрович,birth_year,1993,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2016,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_88e5311f,Босхомджиев Мерген Владимирович,full_name_ru,Босхомджиев Мерген Владимирович,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2025,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_88e5311f,Босхомджиев Мерген Владимирович,full_name_en,Mergen Boskhomdzhiev,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2025,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_88e5311f,Босхомджиев Мерген Владимирович,birth_year,1991,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2025,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_dd7de77e,Бросалина Елена Кирилловна,full_name_ru,Бросалина Елена Кирилловна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_dd7de77e,Бросалина Елена Кирилловна,full_name_en,Brosalina Elena Kirillovna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_dd7de77e,Бросалина Елена Кирилловна,birth_year,1931,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
