node_id,node_type,label,local_id,weight
person:PERS_efc88709,person,Канаева Наталия Алексеевна,PERS_efc88709,6
person:PERS_92f41884,person,Касым Софья Васильевна,PERS_92f41884,1
person:PERS_fb73fb38,person,Кешарпу Екатерина Витальевна,PERS_fb73fb38,1
person:PERS_467d4dbb,person,Клебанов Андрей Александрович,PERS_467d4dbb,1
person:PERS_5331196d,person,Ковалевская Анна Петровна,PERS_5331196d,1
person:PERS_93e2effb,person,Комиссаров Дмитрий Андреевич,PERS_93e2effb,5
person:PERS_40862f5e,person,Корнеева Наталья Афанасьевна,PERS_40862f5e,15
person:PERS_af811d47,person,Корнеева Татьяна Георгиевна,PERS_af811d47,1
person:PERS_e96139bd,person,Коробов Владимир Борисович,PERS_e96139bd,1
person:PERS_2a2e5602,person,Коровина Евгения Владимировна,PERS_2a2e5602,4
person:PERS_22d87263,person,Костина Екатерина Александровна,PERS_22d87263,5
person:PERS_f19cd8a1,person,Котин Игорь Юрьевич,PERS_f19cd8a1,6
person:PERS_3c202afd,person,Крапивина Рада Нельсовна,PERS_3c202afd,4
person:PERS_bc97fb65,person,Краснодембская Нина Георгиевна,PERS_bc97fb65,6
person:PERS_f5a69b65,person,Кройцер Светлана Александровна,PERS_f5a69b65,1
person:PERS_72506535,person,Крылова Анастасия Сергеевна,PERS_72506535,7
person:PERS_9366fe2c,person,Крыштоп Людмила Эдуардовна,PERS_9366fe2c,1
person:PERS_1c6fcce5,person,Кузина Елизавета Олеговна,PERS_1c6fcce5,7
person:PERS_9f398436,person,Куликов Леонид Игоревич,PERS_9f398436,7
person:PERS_cdbd7a15,person,Кулланда Сергей Всеволодович,PERS_cdbd7a15,2
person:PERS_b62a9567,person,Курочкин Александр Юрьевич,PERS_b62a9567,2
person:PERS_40f75cf9,person,Л.Г. Роман,PERS_40f75cf9,1
person:PERS_29607432,person,Лапшин Иван Евгеньевич,PERS_29607432,1
person:PERS_07adc1e6,person,Лейтан Эдгар Зигфридович,PERS_07adc1e6,1
person:PERS_9e9c9566,person,Лекарева Ева Павловна,PERS_9e9c9566,2
person:PERS_cb52ebc2,person,Лемешкина Ксения Вячеславовна,PERS_cb52ebc2,3
person:PERS_587b08ec,person,Леонов Михаил Васильевич,PERS_587b08ec,2
person:PERS_e1dd6b3e,person,Лидова Наталья Ростиславовна,PERS_e1dd6b3e,13
person:PERS_0c451d76,person,Лобанов Сергей Владимирович,PERS_0c451d76,5
person:PERS_ebb6d156,person,Ложкина Анастасия Витальевна,PERS_ebb6d156,6
person:PERS_8df81b6d,person,Лужинская Полина Александровна,PERS_8df81b6d,2
person:PERS_12125da9,person,Лысенко Виктория Георгиевна,PERS_12125da9,16
person:PERS_ea44fd14,person,Люлина Анастасия Геннадьевна,PERS_ea44fd14,9
person:PERS_47ad46f1,person,М. А. Родионов,PERS_47ad46f1,1
person:PERS_23215083,person,М. А. Русанов,PERS_23215083,6
person:PERS_96b8b195,person,М. Н. Боголюбов,PERS_96b8b195,1
person:PERS_b024f2dd,person,М. Н. Русанов,PERS_b024f2dd,1
person:PERS_a901d460,person,М. А. Фаградян,PERS_a901d460,1
person:PERS_34c0d384,person,М. Б. Павлова,PERS_34c0d384,1
person:PERS_00c3b0cc,person,М.Б. Щербак,PERS_00c3b0cc,1
person:PERS_05707a8e,person,М.Б.Загорулько,PERS_05707a8e,1
person:PERS_88e5311f,person,М.В. Босхомджиев,PERS_88e5311f,1
person:PERS_f1f2471d,person,М.М. Игнатова,PERS_f1f2471d,1
person:PERS_3c7d41ac,person,М.С. Фомин,PERS_3c7d41ac,4
person:PERS_68e9019d,person,Малютин Иван Иванович,PERS_68e9019d,1
person:PERS_50c46233,person,Маретина Ксения Александровна,PERS_50c46233,2
person:PERS_ce100d3f,person,Мария Шилинскене,PERS_ce100d3f,1
person:PERS_52d3f72c,person,Мейтарчиян Маргарита Борисовна,PERS_52d3f72c,2
person:PERS_f2fef030,person,Мехакян Арег Гайкович,PERS_f2fef030,9
person:PERS_4fff9d16,person,Минаева Мария Дмитриевна,PERS_4fff9d16,3
person:PERS_b76851a7,person,Митруев Бембя Леонидович,PERS_b76851a7,2
person:PERS_ced3d7b4,person,Молина Анна Валерьевна,PERS_ced3d7b4,3
person:PERS_7d6f456c,person,Мотылёва Вера Леонидовна,PERS_7d6f456c,1
person:PERS_cac87738,person,Н. В. Гузеватая,PERS_cac87738,1
person:PERS_7efcddc6,person,Н.А. Брылёва,PERS_7efcddc6,1
person:PERS_a8983673,person,Н.Л. Вигель,PERS_a8983673,1
person:PERS_e5a5ac24,person,Невелева Светлана Леонидовна,PERS_e5a5ac24,2
person:PERS_cca8f93d,person,Немчинов Виктор Михайлович,PERS_cca8f93d,2
person:PERS_26ce5ec1,person,Нина Будзишевска,PERS_26ce5ec1,1
person:PERS_2e00cb36,person,О. Н. Меренкова,PERS_2e00cb36,1
person:PERS_f8ab5755,person,Оранская Татьяна Иосифовна,PERS_f8ab5755,6
person:PERS_c48611e0,person,Островская Елена Петровна,PERS_c48611e0,10
person:PERS_92f293f8,person,П. В. Хрущева,PERS_92f293f8,5
person:PERS_1a097e52,person,Парибок Андрей Всеволодович,PERS_1a097e52,13
person:PERS_260a598a,person,Пахомов Сергей Владимирович,PERS_260a598a,9
person:PERS_5f6fa17b,person,Пахомова Александра Михайловна,PERS_5f6fa17b,2
person:PERS_37bb2d43,person,Покатилов Сергей Андреевич,PERS_37bb2d43,1
person:PERS_003adcfe,person,Псху Рузана Владимировна,PERS_003adcfe,12
