PersonID,DisplayName,ZografTalks,FirstYearSeen,LastYearSeen
PERS_9f4b7b0f,Е. С. Бушуев,1,2011,2011
PERS_0f93a53e,Е. В. Смирнова,1,2014,2014
PERS_40af1228,Е. Л. Комиссарук,1,2018,2018
PERS_495ebbfd,Е.В.Слинько,1,2004,2004
PERS_84e62db7,Егорова Мария Александровна,1,2025,2025
PERS_5e6a8922,Зевацкий Тимофей Юрьевич,1,2025,2025
PERS_06b8163d,Кавалевская А. П.,1,2021,2021
PERS_5e84a709,Клебанов А. А.,1,2021,2021
PERS_cc083c3c,Ковалевская Анна Петровна,1,2020,2020
PERS_ba39608e,Коробов Владимир Борисович,1,2020,2020
PERS_76d0507f,Краснодембская Нина Георгиевна,1,2014,2014
PERS_7435545f,Кройцер Светлана Александровна,1,2025,2025
PERS_e0c34b2b,Крыштоп Людмила Эдуардовна,1,2020,2020
PERS_db917000,Л.Г. Роман,1,2022,2022
PERS_13a06a68,Лапшин Иван Евгеньевич,1,2020,2020
PERS_6233fc35,Лейтан Эдгар Зигфридович,1,2023,2023
PERS_70039cbe,Лекарева Ева Павловна,1,2025,2025
PERS_6e804bb7,Лужинская Полина Александровна,1,2025,2025
PERS_4871370e,М. А. Родионов,1,2011,2011
PERS_6481b1d7,М. Н. Боголюбов,1,2006,2006
PERS_a6488705,М. Н. Русанов,1,2006,2006
PERS_e1d67c45,М. Б. Павлова,1,2014,2014
PERS_d1acbe68,Малютин Иван Иванович,1,2023,2023
PERS_c69ad05e,Мария Шилинскене,1,2014,2014
PERS_b6a739d2,Н. В. Гуров,1,2006,2006
PERS_5d825cfd,Н. В. Гузеватая,1,2019,2019
PERS_3b66be24,Нина Будзишевска,1,2014,2014
PERS_7f222277,Покатилов Сергей Андреевич,1,2025,2025
PERS_bfe0a2c7,Рыбакова Анна Геннадьевна,1,2019,2019
PERS_b3399486,Сенина Наталья Викторовна,1,2025,2025
PERS_86936cb5,Серебряный Сергей Дмитриевич,1,2020,2020
PERS_fadaae67,Толчельников Иван Евгеньевич,1,2025,2025
PERS_640d024d,Фивейская А. В.,1,2021,2021
PERS_74e0e620,Шарапова А. В.,1,2021,2021
PERS_babcfb48,Ю. Е. Березкин,1,2014,2014
PERS_e5f9e2ed,Яковлева Мария Николаевна,1,2025,2025
