meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
nepal_newar_kathmandu,PRES_8a501640a4,p/nagi-kak-personazhi-nepalskikh-legend.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_b8bade8d,s/shrestkha-krishna.html,Shrestha Krishna Prakash,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,легенда; нагой; непальский; персонаж,literature_and_poetry,Literature & Poetry,Наги как персонажи непальских легенд,2015
sanskrit_grammar_panini,PRES_92046749c3,p/problemy-datirovki-traktata-bkhamakhi-i-puti-ee-resheniya.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_61202bf3,s/yulia-alikhanova.html,Alikhanova Yulia Markovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,бхамах; датировка; путь; решение; трактат,literature_and_poetry,Literature & Poetry,Проблемы датировки трактата Бхамахи и пути ее решения,2015
comparative_analysis; epic_ramayana_mahabharata,PRES_9344fa57ea,p/stil-kavya-v-dvukh-opisaniyakh-spyashchego-garema-v-ramayane-i-v-zhizni-buddy-ashvagkhoshi.html,state:III; state:IV; state:V; register:epic; register:kavya; register:bauddha,6,matched,Bauddha; Epic; Kāvya,bauddha; epic; kavya,Buddhist / Jaina; Classical; Epic & prolongements,III; IV; V,PERS_36dabb79,s/anastasia-guriya.html,Guriya Anastasia Georgievna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,ашвагхошить; будда; гарем; два; жизнь; кавие; описание; рамаяна; спать; стиль,literature_and_poetry,Literature & Poetry,Стиль кавья в двух описаниях спящего гарема – в «Рамаяне» и в «Жизни Будды» Ашвагхоши,2015
,PRES_addb4753ec,p/skazanie-o-ratnakalike-v-sostave-poemy-lor-i-chandrani.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_dd7de77e,s/brosalina-elena.html,Brosalina Elena Kirillovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,лор; поэма; ратнакалика; сказание; состав; чандрань,literature_and_poetry,Literature & Poetry,Сказание о Ратнакалике (в составе поэмы «Лор и Чандрани»),2015
literary_studies,PRES_c1f611081b,p/sistema-obrazov-poezii-kavya-na-primere-liricheskikh-stikhov-iz-antologii-vidyakary-subkhashitar.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_c1cc76b9,s/taran.html,A. Â. Taran,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,антология; видьякара; кавие; лирический; образ; поэзия; система; стих; субхашитаратнакош,literature_and_poetry,Literature & Poetry,Система образов поэзии кавья на примере лирических стихов из антологии Видьякары «Субхашитаратнакоша»,2015
bhakti_vaishnava,PRES_d0c16fc4c0,p/propoved-kabira-nekotorye-osobennosti-yazyka-i-stilya.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_c52dfaa0,s/sofia-tsvetkova.html,Tsvetkova Svetlana Olegovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,кабир; проповедь; стиль; язык,literature_and_poetry,Literature & Poetry,Проповедь Кабира: некоторые особенности языка и стиля,2015
epic_ramayana_mahabharata,PRES_d430246a1f,p/epos-katama-radzhu-katkha-osnovnye-osobennosti-syuzheta.html,state:IV; register:epic; register:katha; register:kavya,4,matched,Epic; Kathā; Kāvya,epic; katha; kavya,Classical,IV,PERS_800ac07e,s/neivirt.html,A. A. Nejvirt,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,катама; катх; основной; раджа; сюжет; эпос,literature_and_poetry,Literature & Poetry,Эпос «Катама Раджу Катха» — основные особенности сюжета,2015
epic_ramayana_mahabharata,PRES_df75470655,p/neskolko-shtrikhov-k-skazaniyu-o-nale.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_1fa7cc0c,s/alexander-dubyansky.html,Dubyansky Alexander Mikhailovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,нале; несколько; сказание; штрих,literature_and_poetry,Literature & Poetry,Несколько штрихов к «Сказанию о Нале»,2015
epic_ramayana_mahabharata,PRES_e6c1d002d9,p/rozhdenie-geroya-ili-sakralnogo-personazha-v-indiiskoi-povestvovatelnoi-traditsii-k-interpretats.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_8e117242,s/ekaterina-yuditskaya.html,Yuditskaya Ekaterina Alekseevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,герой; индия; композиция; майя; персонаж; повествовательный; рождение; сакральный; сон; традиция,literature_and_poetry,Literature & Poetry,Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи»),2015
dravidology_south_india,PRES_e7f53e7c10,p/obraz-potoka-v-tamilskoi-poezii.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_1fa7cc0c,s/alexander-dubyansky.html,Dubyansky Alexander Mikhailovich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,образ; поток; поэзия; тамильский,literature_and_poetry,Literature & Poetry,Образ потока в тамильской поэзии,2015
vedic_studies,PRES_eb575eaa4d,p/byl-li-yama-pessimistom-znachenie-chastitsy-gha-i-ee-indoevropeiskie-paralleli-k-interpretatsii.html,state:I; state:IV; register:rgveda; register:kavya,4,matched,Kāvya; Ṛgveda,kavya; rgveda,Classical; Vedic,I; IV,PERS_9f398436,s/leonid-kulikov.html,Kulikov Leonid Igorevich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,индоевропейский; параллель; пессимист; ригведа; стих; частица; яма,linguistics_and_philology,Linguistics & Philology,Был ли Яма пессимистом? Значение частицы gha и ее индоевропейские параллели (К интерпретации стиха Ригведа,2015
