priority_rank,person_id,display_name,full_name_ru,total_talks,reason,suggested_query,rinc_search_url,openalex_search_url,review_status
2,PERS_2a2e5602,Е. В. Коровина,Коровина Евгения Владимировна,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Коровина Евгения Владимировна индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D0%BD%D0%B0&imas=%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D1%8F&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_5e2a5a5c,Е. В. Столярова,Столярова Екатерина Владимировна,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Столярова Екатерина Владимировна индолог,https://elibrary.ru/authors.asp?fams=%D0%A1%D1%82%D0%BE%D0%BB%D1%8F%D1%80%D0%BE%D0%B2%D0%B0&imas=%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_db0a826b,И. Н. Комарова,Комарова Ирина Нигматовна,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Комарова Ирина Нигматовна индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2%D0%B0&imas=%D0%98%D1%80%D0%B8%D0%BD%D0%B0&otchs=%D0%9D%D0%B8%D0%B3%D0%BC%D0%B0%D1%82%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_7f908d49,Л. А. Стрельцова,Стрельцова Лилия Александровна,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Стрельцова Лилия Александровна индолог,https://elibrary.ru/authors.asp?fams=%D0%A1%D1%82%D1%80%D0%B5%D0%BB%D1%8C%D1%86%D0%BE%D0%B2%D0%B0&imas=%D0%9B%D0%B8%D0%BB%D0%B8%D1%8F&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_3c7d41ac,М. С. Фомин,Фомин Максим Сергеевич,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Фомин Максим Сергеевич индолог,https://elibrary.ru/authors.asp?fams=%D0%A4%D0%BE%D0%BC%D0%B8%D0%BD&imas=%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC&otchs=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,,todo
2,PERS_8108c314,О. Н. Ерченков,Ерченков Олег Николаевич,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Ерченков Олег Николаевич индолог,https://elibrary.ru/authors.asp?fams=%D0%95%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2&imas=%D0%9E%D0%BB%D0%B5%D0%B3&otchs=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87,,todo
2,PERS_3c202afd,Р. Н. Крапивина,Крапивина Раиса Николаевна,4,Active scholar and no external ID; Initials-only display name,Крапивина Раиса Николаевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D1%80%D0%B0%D0%BF%D0%B8%D0%B2%D0%B8%D0%BD%D0%B0&imas=%D0%A0%D0%B0%D0%B8%D1%81%D0%B0&otchs=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Rada%20Krapivina,todo
2,PERS_06ee047f,Ю. И. Елихина,Елихина Юлия Игоревна,4,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Елихина Юлия Игоревна индолог,https://elibrary.ru/authors.asp?fams=%D0%95%D0%BB%D0%B8%D1%85%D0%B8%D0%BD%D0%B0&imas=%D0%AE%D0%BB%D0%B8%D1%8F&otchs=%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_ced3d7b4,А. В. Молина,Молина Анна Валерьевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Молина Анна Валерьевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9C%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0&imas=%D0%90%D0%BD%D0%BD%D0%B0&otchs=%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_aebd34a2,А. И. Коган,Коган Антон Ильич,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Коган Антон Ильич индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D0%B3%D0%B0%D0%BD&imas=%D0%90%D0%BD%D1%82%D0%BE%D0%BD&otchs=%D0%98%D0%BB%D1%8C%D0%B8%D1%87,,todo
2,PERS_40375fef,А. К. Васильев,Васильев Алексей Константинович,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Васильев Алексей Константинович индолог,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2&imas=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9&otchs=%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,todo
2,PERS_69750b7c,В. Н. Мазурина,Мазурина Валентина Николаевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Мазурина Валентина Николаевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9C%D0%B0%D0%B7%D1%83%D1%80%D0%B8%D0%BD%D0%B0&imas=%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0&otchs=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_bcaec2d8,В. Ю. Дружинин,Дружинин Владимир Юрьевич,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Дружинин Владимир Юрьевич индолог,https://elibrary.ru/authors.asp?fams=%D0%94%D1%80%D1%83%D0%B6%D0%B8%D0%BD%D0%B8%D0%BD&imas=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80&otchs=%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87,,todo
2,PERS_d218805b,В. Ю. Крюкова,Крюкова Виктория Юрьевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Крюкова Виктория Юрьевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D1%80%D1%8E%D0%BA%D0%BE%D0%B2%D0%B0&imas=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D1%8F&otchs=%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_f940c5b3,Г. В. Стрелкова,Стрелкова Гюзэль Владимировна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Стрелкова Гюзэль Владимировна индолог,https://elibrary.ru/authors.asp?fams=%D0%A1%D1%82%D1%80%D0%B5%D0%BB%D0%BA%D0%BE%D0%B2%D0%B0&imas=%D0%93%D1%8E%D0%B7%D1%8D%D0%BB%D1%8C&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_3d3b302d,Д. В. Соболева,Соболева Диана Владимировна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Соболева Диана Владимировна индолог,https://elibrary.ru/authors.asp?fams=%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0&imas=%D0%94%D0%B8%D0%B0%D0%BD%D0%B0&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_b2c121e9,Е. Н. Успенская,Успенская Елена Николаевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Успенская Елена Николаевна индолог,https://elibrary.ru/authors.asp?fams=%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F&imas=%D0%95%D0%BB%D0%B5%D0%BD%D0%B0&otchs=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_6441d568,Е. С. Соболева,Соболева Елена Станиславовна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Соболева Елена Станиславовна индолог,https://elibrary.ru/authors.asp?fams=%D0%A1%D0%BE%D0%B1%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0&imas=%D0%95%D0%BB%D0%B5%D0%BD%D0%B0&otchs=%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_cb52ebc2,К. В. Лемешкина,Лемешкина Ксения Вячеславовна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Лемешкина Ксения Вячеславовна индолог,https://elibrary.ru/authors.asp?fams=%D0%9B%D0%B5%D0%BC%D0%B5%D1%88%D0%BA%D0%B8%D0%BD%D0%B0&imas=%D0%9A%D1%81%D0%B5%D0%BD%D0%B8%D1%8F&otchs=%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%BD%D0%B0,,todo
2,PERS_0fd718a7,К. М. Воздиган,К. М. Воздиган,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,К. М. Воздиган индолог,https://elibrary.ru/authors.asp?fams=%D0%92%D0%BE%D0%B7%D0%B4%D0%B8%D0%B3%D0%B0%D0%BD&imas=%D0%9A&otchs=%D0%9C,,todo
2,PERS_f56c5a7e,Л. Е. Жукова,Жукова Любовь Евгеньевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Жукова Любовь Евгеньевна индолог,https://elibrary.ru/authors.asp?fams=%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D0%B0&imas=%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C&otchs=%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_4fff9d16,М. Д. Минаева,Минаева Мария Дмитриевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Минаева Мария Дмитриевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9C%D0%B8%D0%BD%D0%B0%D0%B5%D0%B2%D0%B0&imas=%D0%9C%D0%B0%D1%80%D0%B8%D1%8F&otchs=%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0,,todo
2,PERS_b881461b,М. Н. Яковлева,Яковлева Мария Николаевна,3,Active scholar and no external ID; Initials-only display name; Missing preferred Latin name,Яковлева Мария Николаевна индолог,https://elibrary.ru/authors.asp?fams=%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B0&imas=%D0%9C%D0%B0%D1%80%D0%B8%D1%8F&otchs=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0,,todo
