person_id,display_name,layer,degree,betweenness,zograf_talks,roerich_talks,total_talks,series_attended,is_series_bridge
PERS_a0264ac5,Бурмистров Сергей Леонидович,event,155,0.003657,11,0,11,zograf_only,no
PERS_0c451d76,Лобанов Сергей Владимирович,event,152,0.00364,10,0,10,zograf_only,no
PERS_58b39545,Ренковская Евгения Алексеевна,event,141,0.003594,6,2,8,both,yes
PERS_23215083,Русанов Максим Альбертович,event,131,0.003535,10,0,10,zograf_only,no
PERS_287fe378,Рыбакова Анна Геннадьевна,event,153,0.003521,10,0,10,zograf_only,no
PERS_4fff9d16,Минаева Маргарита Денисовна,event,106,0.003517,1,2,3,both,yes
PERS_3b196639,Гордийчук Николай Валентинович,event,130,0.003363,5,5,10,both,yes
PERS_dd7de77e,Бросалина Елена Кирилловна,event,129,0.003345,11,0,11,zograf_only,no
PERS_c5677a3f,Зорин Алексей Валерьевич,event,137,0.003336,12,0,12,zograf_only,no
PERS_6578b52d,Тюлина Елена Владимировна,event,104,0.003318,0,16,16,roerich_only,no
PERS_9374fd12,Вырщиков Евгений Геннадьевич,event,104,0.003318,0,16,16,roerich_only,no
PERS_da862dde,Дробышев Юлий Игорьевич,event,104,0.003318,0,15,15,roerich_only,no
PERS_5d34c947,Волошина Оксана Анатольевна,event,147,0.00324,9,0,9,zograf_only,no
PERS_50d73711,Смирнитская Анна Александровна,event,139,0.003219,7,2,9,both,yes
PERS_e9545a0b,Шустова Алла Михайловна,event,103,0.003135,0,15,15,roerich_only,no
PERS_92868e4f,Жутаев Дар Игоревич,event,101,0.002965,3,12,15,both,yes
PERS_ebb6d156,Ложкина Анастасия Витальевна,event,114,0.002899,3,6,9,both,yes
PERS_36dabb79,Гурия Анастасия Георгиевна,event,97,0.00284,1,9,10,both,yes
PERS_f8ab5755,Оранская Татьяна Иосифовна,event,142,0.002802,7,0,7,zograf_only,no
PERS_2fd442aa,Офертас Станислав Чеславович,event,97,0.002559,0,14,14,roerich_only,no
PERS_0e0a154e,Титлин Лев Игоревич,event,111,0.002527,3,4,7,both,yes
PERS_6441d568,Соболева Елена Станиславовна,event,138,0.002436,8,0,8,zograf_only,no
PERS_ba81468a,Кокова Юлия Георгиевна,event,112,0.002367,8,0,8,zograf_only,no
PERS_e72d4c09,Огнева Елена Дмитриевна,event,99,0.002356,1,12,13,both,yes
PERS_587b08ec,Леонов Михаил Васильевич,event,101,0.002269,2,2,4,both,yes
PERS_db046be0,Сабирова Римма Наилевна,event,134,0.002149,7,0,7,zograf_only,no
PERS_f940c5b3,Стрелкова Гюзэль Владимировна,event,107,0.002022,5,0,5,zograf_only,no
PERS_5ed752d9,Китинов Баатр Учаевич,event,90,0.001982,0,10,10,roerich_only,no
PERS_28317057,Дубянская Татьяна Александровна,event,101,0.001946,5,0,5,zograf_only,no
PERS_1c6fcce5,Кузина Елизавета Олеговна,event,101,0.001807,2,5,7,both,yes
PERS_ea44fd14,Люлина Анастасия Геннадьевна,event,88,0.001806,0,9,9,roerich_only,no
PERS_8108c314,Ерченков Олег Николаевич,event,123,0.001789,6,0,6,zograf_only,no
PERS_8df3730a,Донченко Сергей Сергеевич,event,126,0.001766,8,0,8,zograf_only,no
PERS_7eb0dc30,Зимина Татьяна Александровна,event,115,0.001517,8,0,8,zograf_only,no
PERS_2a2e5602,Коровина Евгения Владимировна,event,122,0.001411,5,0,5,zograf_only,no
PERS_cb52ebc2,Лемешкина Ксения Вячеславовна,event,117,0.001394,4,0,4,zograf_only,no
PERS_5e2a5a5c,Столярова Екатерина Владимировна,event,122,0.001379,7,0,7,zograf_only,no
PERS_22d87263,Костина Екатерина Александровна,event,113,0.001365,7,0,7,zograf_only,no
PERS_7f908d49,Стрельцова Лилия Александровна,event,118,0.001343,6,0,6,zograf_only,no
PERS_92f293f8,Хрущева Полина Викторовна,event,103,0.001211,7,0,7,zograf_only,no
PERS_e96139bd,Коробов Владимир Борисович,event,103,0.001205,5,0,5,zograf_only,no
PERS_d218805b,Крюкова Виктория Юрьевна,event,112,0.001192,5,0,5,zograf_only,no
PERS_50c46233,Маретина Ксения Александровна,event,107,0.001088,5,0,5,zograf_only,no
PERS_3d3b302d,Соболева Диана Владимировна,event,98,0.00104,3,0,3,zograf_only,no
PERS_bff5de3e,Бейнорюс Аудрюс,event,79,0.000982,4,0,4,zograf_only,no
PERS_c6bbcef3,Битинайте Елена Алексеевна,event,111,0.000954,5,0,5,zograf_only,no
PERS_cdbd7a15,Кулланда Сергей Всеволодович,event,66,0.000938,1,4,5,both,yes
PERS_3074a8e5,Терентьев Андрей Анатольевич,event,101,0.000867,5,0,5,zograf_only,no
PERS_6ae5c779,Фивейская Анастасия Васильевна,event,94,0.000855,2,1,3,both,yes
PERS_9e9c9566,Лекарева Ева Павловна,event,104,0.000834,4,0,4,zograf_only,no
PERS_e5a5ac24,Невелева Светлана Леонидовна,event,71,0.000742,6,0,6,zograf_only,no
PERS_01aafd44,Сафина Наталья Алексеевна,event,99,0.00074,5,0,5,zograf_only,no
PERS_b881461b,Яковлева Мария Николаевна,event,103,0.000728,3,0,3,zograf_only,no
PERS_06ee047f,Елихина Юлия Игоревна,event,69,0.00071,0,4,4,roerich_only,no
PERS_0fd718a7,Воздиган Ксения Михайловна,event,89,0.000697,6,0,6,zograf_only,no
PERS_2c40b9b1,Гуров Никита Владимирович,event,64,0.000599,5,0,5,zograf_only,no
PERS_310b2911,Толчельников Иван Евгеньевич,event,96,0.000572,3,0,3,zograf_only,no
PERS_8df81b6d,Лужинская Полина Александровна,event,96,0.000572,3,0,3,zograf_only,no
PERS_10547db9,Загуменнов Борис Иванович,event,73,0.000562,6,0,6,zograf_only,no
PERS_34c0d384,Павлова Мария Борисовна,event,87,0.00053,3,0,3,zograf_only,no
PERS_b8bade8d,Шрестха Кришна Пракаш,event,67,0.000502,0,12,12,roerich_only,no
PERS_f56c5a7e,Жукова Любовь Евгеньевна,event,92,0.000437,4,0,4,zograf_only,no
PERS_69750b7c,Мазурина Валентина Николаевна,event,81,0.000423,4,0,4,zograf_only,no
PERS_3c7d41ac,Фомин Максим Сергеевич,event,65,0.000418,0,6,6,roerich_only,no
PERS_d2559ba1,Лепехова Елена Сергеевна,event,65,0.000399,0,8,8,roerich_only,no
PERS_cca8f93d,Немчинов Виктор Михайлович,event,54,0.00036,0,2,2,roerich_only,no
PERS_d4c2cc5e,Лучина Татьяна Владимировна,event,54,0.00036,0,2,2,roerich_only,no
PERS_30b54681,Бушуев Евгений Сергеевич,event,72,0.000343,4,0,4,zograf_only,no
PERS_bf91d4b8,Уймина Юлия Александровна,event,88,0.000342,4,0,4,zograf_only,no
PERS_0ca995ac,Яковлев Виктор Михайлович,event,58,0.000313,0,8,8,roerich_only,no
PERS_45a76880,Кораблин Денис Александрович,event,53,0.000301,0,4,4,roerich_only,no
PERS_b2c121e9,Успенская Елена Николаевна,event,58,0.0003,3,0,3,zograf_only,no
PERS_2b7ca933,Танонова Елена Викторовна,event,64,0.000258,2,0,2,zograf_only,no
PERS_a1484b38,Кавалевская Анна Петровна,event,80,0.000256,3,0,3,zograf_only,no
PERS_71e9dee1,Яскунас Валдас,event,58,0.000252,3,0,3,zograf_only,no
PERS_35c57654,Егорова Мария Александровна,event,81,0.000233,2,0,2,zograf_only,no
PERS_37d557c2,Анисимова Дарья Дмитриевна,event,81,0.000233,2,0,2,zograf_only,no
PERS_f7c7adc7,В. В. Донских,event,72,0.000218,3,0,3,zograf_only,no
PERS_bcaec2d8,Дружинин Владимир Юрьевич,event,77,0.000211,3,0,3,zograf_only,no
PERS_3ccc9bd7,А. Солька,event,48,0.00018,0,2,2,roerich_only,no
PERS_5f6fa17b,Пахомова Александра Михайловна,event,48,0.00018,0,2,2,roerich_only,no
PERS_b62a9567,Курочкин Александр Юрьевич,event,76,0.000173,5,0,5,zograf_only,no
PERS_42da4866,Стукалин Глеб Дмитриевич,event,76,0.000173,3,0,3,zograf_only,no
PERS_7bbed51a,Сладков Андрей Леонидович,event,45,0.000161,2,0,2,zograf_only,no
PERS_3009a9e0,Коган Антон Ильич,event,55,0.000155,0,4,4,roerich_only,no
PERS_96b8b195,Боголюбов Михаил Николаевич,event,43,0.000153,2,0,2,zograf_only,no
PERS_db0a826b,Комарова Ирина Нигматовна,event,54,0.00015,0,5,5,roerich_only,no
PERS_35a30342,Негреев Иван Олегович,event,69,0.000145,3,0,3,zograf_only,no
PERS_3fd690ee,Комиссарук Екатерина Львовна,event,69,0.000145,3,0,3,zograf_only,no
PERS_2e00cb36,Меренкова Ольга Николаевна,event,69,0.000145,2,0,2,zograf_only,no
PERS_b6d1bf05,Дылыкова Вилена Санджиевна,event,53,0.000139,0,4,4,roerich_only,no
PERS_40375fef,Васильев Алексей Константинович,event,52,0.000138,0,4,4,roerich_only,no
PERS_c31236d2,Березкин Юрий Евгеньевич,event,54,0.000133,2,0,2,zograf_only,no
PERS_088c4df7,Атманова Юлия Георгиевна,event,51,0.000129,0,6,6,roerich_only,no
PERS_37bb2d43,Покатилов Сергей Андреевич,event,73,0.000125,2,0,2,zograf_only,no
PERS_a901d460,Фаградян Марина Александровна,event,70,0.000124,2,0,2,zograf_only,no
PERS_554c138a,Хмуркин Георгий Георгиевич,event,52,0.000122,0,4,4,roerich_only,no
PERS_18fcab2a,Блиндерман Радха Тимуровна,event,65,9.4e-05,2,0,2,zograf_only,no
PERS_38c5f03f,Железнова Наталья Анатольевна,event,49,8.4e-05,0,4,4,roerich_only,no
PERS_68e9019d,Малютин Иван Иванович,event,63,8.3e-05,2,0,2,zograf_only,no
PERS_40f75cf9,Роман Лилия Геннадьевна,event,64,8.1e-05,2,0,2,zograf_only,no
PERS_0a2e5f24,Тишин Владимир Владимирович,event,46,7.6e-05,0,3,3,roerich_only,no
PERS_7da0afff,Демичев Кирилл Андреевич,event,48,6.5e-05,0,2,2,roerich_only,no
PERS_800ac07e,А. А. Нейвирт,event,55,6.4e-05,2,0,2,zograf_only,no
PERS_3e952361,Хохлов Александр Николаевич,event,41,5.9e-05,0,3,3,roerich_only,no
PERS_b76851a7,Митруев Бембя Леонидович,event,65,5.8e-05,2,0,2,zograf_only,no
PERS_37f98454,Рудой Валерий Исаакович,event,40,5.8e-05,2,0,2,zograf_only,no
PERS_de59a2bc,Шарыгин Глеб Витальевич,event,41,3.8e-05,0,3,3,roerich_only,no
PERS_7700f517,Парамонов Денис Олегович,event,42,3.6e-05,2,0,2,zograf_only,no
PERS_929cab5a,Ю. В. Предтеченская,event,38,2.4e-05,2,0,2,zograf_only,no
PERS_c5aeda15,И. Урнова,event,38,2.4e-05,2,0,2,zograf_only,no
PERS_52d3f72c,Мейтарчиян Маргарита Борисовна,event,37,1.8e-05,0,2,2,roerich_only,no
PERS_fc976255,Комаров Эрик Наумович,event,39,1.1e-05,0,2,2,roerich_only,no
PERS_aa964a12,Самозванцев Андрей Михайлович,event,24,7e-06,0,2,2,roerich_only,no
PERS_168a3a8b,Усенко Иван Сергеевич,event,61,0.0,1,0,1,zograf_only,no
PERS_23abae7d,Пушкарева Юлия Георгиевна,event,61,0.0,1,0,1,zograf_only,no
PERS_377db63e,Седукова Надежда Александровна,event,61,0.0,1,0,1,zograf_only,no
PERS_44440578,Грановская Хелена,event,61,0.0,1,0,1,zograf_only,no
PERS_4a0de87e,Белимова Влада Сергеевна,event,61,0.0,1,0,1,zograf_only,no
PERS_58e18506,Соколова Ирина Александровна,event,61,0.0,1,0,1,zograf_only,no
PERS_7d6f456c,Мотылёва Вера Леонидовна,event,61,0.0,1,0,1,zograf_only,no
PERS_92f41884,Касым Софья Васильевна,event,61,0.0,1,0,1,zograf_only,no
PERS_936e1165,Файбушевич Светлана Ивановна,event,61,0.0,1,0,1,zograf_only,no
PERS_94f33410,Застрожнова Евгения Григорьевна,event,61,0.0,1,0,1,zograf_only,no
PERS_a0f3d86d,Сергеева Варвара Алексеевна,event,61,0.0,1,0,1,zograf_only,no
PERS_a638a4b3,Федорова Наталья Леонидовна,event,61,0.0,1,0,1,zograf_only,no
PERS_c2ffc606,Драчук Андрей Олегович,event,61,0.0,1,0,1,zograf_only,no
PERS_d01427ca,Бещук Юлия Владимировна,event,61,0.0,1,0,1,zograf_only,no
PERS_e4aab278,Возчиков Дмитрий Викторович,event,61,0.0,1,0,1,zograf_only,no
PERS_f1a308b7,Абинякин Владимир Александрович,event,61,0.0,1,0,1,zograf_only,no
PERS_f3cf67c6,Харджендер Сингх Чаудхари,event,61,0.0,1,0,1,zograf_only,no
PERS_fb73fb38,Кешарпу Екатерина Витальевна,event,61,0.0,1,0,1,zograf_only,no
PERS_51524b11,Гладкова Анна Геннадьевна,event,56,0.0,1,0,1,zograf_only,no
PERS_5f6689e8,Дмитриева Виктория Алексеевна,event,56,0.0,1,0,1,zograf_only,no
