source,target,edge_type,year,series,weight
person:PERS_088c4df7,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_0a2e5f24,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_0a2e5f24,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_0c451d76,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_0c451d76,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_0c451d76,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_0c451d76,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_0c451d76,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_0e0a154e,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_0e0a154e,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_0e0a154e,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_0e0a154e,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_0e0a154e,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_0e0a154e,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_0e0a154e,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_0fd718a7,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_0fd718a7,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_0fd718a7,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_10547db9,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_1130c736,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_11da326d,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_11da326d,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_11da326d,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_11da326d,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_11da326d,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_11da326d,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_11da326d,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_11da326d,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_11da326d,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_11da326d,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_11da326d,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_11da326d,event:ER2017,person_event,2017,Roerich Readings,2
person:PERS_11da326d,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_11da326d,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_11da326d,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_11da326d,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_11da326d,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_11da326d,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_11da326d,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_12125da9,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_12125da9,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_12125da9,event:E2010,person_event,2010,Zograf Readings,1
person:PERS_12125da9,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_12125da9,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_12125da9,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_12125da9,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_12125da9,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_12125da9,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_12125da9,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_12125da9,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_12125da9,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_12125da9,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_12125da9,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_12125da9,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_12125da9,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_142b5c2b,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_147ab928,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_168a3a8b,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_180c5e5c,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_18fcab2a,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_18fcab2a,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_1a097e52,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_1a097e52,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_1a097e52,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_1a097e52,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_1a097e52,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_1a097e52,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_1a097e52,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_1a097e52,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_1a097e52,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_1a097e52,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_1a097e52,event:E2023,person_event,2023,Zograf Readings,1
person:PERS_1a097e52,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_1a097e52,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_1c6fcce5,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_1c6fcce5,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_1c6fcce5,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_1c6fcce5,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_1c6fcce5,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_1c6fcce5,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_1c6fcce5,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_1fa7cc0c,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_1fa7cc0c,event:E2010,person_event,2010,Zograf Readings,1
person:PERS_1fa7cc0c,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_1fa7cc0c,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_1fa7cc0c,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_1fa7cc0c,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_1fa7cc0c,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_1fa7cc0c,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_1fa7cc0c,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_1fa7cc0c,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_1fa7cc0c,event:ER2017,person_event,2017,Roerich Readings,2
person:PERS_1fa7cc0c,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_1fa7cc0c,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_2011b78d,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_2095dc59,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_22d87263,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_22d87263,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_22d87263,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_22d87263,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_22d87263,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_23215083,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_23215083,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_23215083,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_23215083,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_23215083,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_23215083,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_23abae7d,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_23f54085,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_260a598a,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_260a598a,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_260a598a,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_260a598a,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_260a598a,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_260a598a,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_260a598a,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_260a598a,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_260a598a,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_26c3214a,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_26ce5ec1,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_28317057,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_28317057,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_28317057,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_287fe378,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_287fe378,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_287fe378,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_287fe378,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_287fe378,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_287fe378,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_29607432,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_2a2e5602,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_2a2e5602,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_2a2e5602,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_2a2e5602,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_2b7ca933,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_2c40b9b1,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_2c40b9b1,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_2c9b38ec,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_2e00cb36,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_2e2b9553,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_2fd442aa,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_2fd442aa,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_2fd442aa,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_2fd442aa,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_2fd442aa,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_2fd442aa,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_2fd442aa,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_2fd442aa,event:ER2023,person_event,2023,Roerich Readings,1
person:PERS_2fd442aa,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_3074a8e5,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_3074a8e5,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_30b54681,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_310b2911,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_310b2911,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_3195408b,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_3357f25b,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_3357f25b,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_3357f25b,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_3357f25b,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_3357f25b,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_3357f25b,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_3357f25b,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_3357f25b,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_3357f25b,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_34c0d384,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_35a30342,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_35ac9c82,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_35c57654,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_35c57654,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_36dabb79,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_36dabb79,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_36dabb79,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_36dabb79,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_36dabb79,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_36dabb79,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_36dabb79,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_36dabb79,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_37bb2d43,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_37d557c2,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_37d557c2,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_38c5f03f,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_3b196639,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_3b196639,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_3b196639,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_3b196639,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_3b196639,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_3b196639,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_3b196639,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_3b196639,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_3b196639,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_3c202afd,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_3c202afd,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_3c202afd,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_3c202afd,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_3c7d41ac,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_3c7d41ac,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_3c7d41ac,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_3c7d41ac,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_3d22e8d4,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_3d3b302d,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_3d3b302d,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_3d3b302d,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_3d4df70f,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_3e105f43,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_3e105f43,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_3e105f43,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_3e105f43,event:E2010,person_event,2010,Zograf Readings,1
person:PERS_3e105f43,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_3e105f43,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_3e105f43,event:E2013,person_event,2013,Zograf Readings,1
person:PERS_3e105f43,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_3e105f43,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_3e105f43,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_3e105f43,event:E2023,person_event,2023,Zograf Readings,1
person:PERS_3e105f43,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_3e38ff72,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_3fd690ee,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_40375fef,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_40375fef,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_40375fef,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_40862f5e,event:E2010,person_event,2010,Zograf Readings,1
person:PERS_40862f5e,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_40862f5e,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_40862f5e,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_40862f5e,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_40862f5e,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_40862f5e,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_40862f5e,event:E2023,person_event,2023,Zograf Readings,1
person:PERS_40862f5e,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_40862f5e,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_40862f5e,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_40862f5e,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_40862f5e,event:ER2023,person_event,2023,Roerich Readings,1
person:PERS_40862f5e,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_40862f5e,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_40f75cf9,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_41d6aa73,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_41d6aa73,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_41d6aa73,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_41d6aa73,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_41d6aa73,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_41d6aa73,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_41d6aa73,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_41d6aa73,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_41d6aa73,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_41d6aa73,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_42da4866,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_44440578,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_45a76880,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_45a76880,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_45a76880,event:ER2023,person_event,2023,Roerich Readings,1
person:PERS_45a76880,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_467d4dbb,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_47ad46f1,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_4a0de87e,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_4ebb20aa,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_4fff9d16,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_4fff9d16,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_4fff9d16,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_50c46233,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_50c46233,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_50d73711,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_50d73711,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_50d73711,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_50d73711,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_50d73711,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_50d73711,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_50d73711,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_51524b11,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_51e0a171,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_5228da95,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_5228da95,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_5228da95,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_5228da95,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_5228da95,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_5228da95,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_5228da95,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_5228da95,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_5228da95,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_5228da95,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_5228da95,event:ER2023,person_event,2023,Roerich Readings,1
person:PERS_5228da95,event:ER2024,person_event,2024,Roerich Readings,2
person:PERS_526da44f,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_52d3f72c,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_52d3f72c,event:ER2022,person_event,2022,Roerich Readings,1
person:PERS_5331196d,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_554c138a,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_554c138a,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_554c138a,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_554c138a,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_56508328,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_56508328,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_56508328,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_56508328,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_56508328,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_56508328,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_56508328,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_56508328,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_56508328,event:E2023,person_event,2023,Zograf Readings,1
person:PERS_56508328,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_56508328,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_587b08ec,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_587b08ec,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_58b39545,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_58b39545,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_58b39545,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_58b39545,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_58b39545,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_58e18506,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_5bbfea37,event:E2006,person_event,2006,Zograf Readings,1
person:PERS_5d324297,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_5d324297,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_5d324297,event:ER2016,person_event,2016,Roerich Readings,2
person:PERS_5d324297,event:ER2017,person_event,2017,Roerich Readings,2
person:PERS_5d324297,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_5d324297,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_5d324297,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_5d34c947,event:E2014,person_event,2014,Zograf Readings,1
person:PERS_5d34c947,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_5d34c947,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_5d34c947,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_5d34c947,event:E2021,person_event,2021,Zograf Readings,1
person:PERS_5d34c947,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_5d34c947,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_5d34c947,event:E2026,person_event,2026,Zograf Readings,1
person:PERS_5e2a5a5c,event:E2018,person_event,2018,Zograf Readings,1
person:PERS_5e2a5a5c,event:E2019,person_event,2019,Zograf Readings,1
person:PERS_5e2a5a5c,event:E2022,person_event,2022,Zograf Readings,1
person:PERS_5e2a5a5c,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_5ed752d9,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_5ed752d9,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_5ed752d9,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_5ed752d9,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_5ed752d9,event:ER2020,person_event,2020,Roerich Readings,1
person:PERS_5ed752d9,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_5ed752d9,event:ER2023,person_event,2023,Roerich Readings,1
person:PERS_5ed752d9,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_5ed752d9,event:ER2025,person_event,2025,Roerich Readings,1
person:PERS_5f6689e8,event:E2025,person_event,2025,Zograf Readings,1
person:PERS_5f6fa17b,event:ER2021,person_event,2021,Roerich Readings,1
person:PERS_5f6fa17b,event:ER2024,person_event,2024,Roerich Readings,1
person:PERS_61202bf3,event:E2004,person_event,2004,Zograf Readings,1
person:PERS_61202bf3,event:E2007,person_event,2007,Zograf Readings,1
person:PERS_61202bf3,event:E2010,person_event,2010,Zograf Readings,1
person:PERS_61202bf3,event:E2011,person_event,2011,Zograf Readings,1
person:PERS_61202bf3,event:E2012,person_event,2012,Zograf Readings,1
person:PERS_61202bf3,event:ER2012,person_event,2012,Roerich Readings,1
person:PERS_61202bf3,event:ER2015,person_event,2015,Roerich Readings,1
person:PERS_61202bf3,event:ER2016,person_event,2016,Roerich Readings,1
person:PERS_61202bf3,event:ER2017,person_event,2017,Roerich Readings,1
person:PERS_61202bf3,event:ER2018,person_event,2018,Roerich Readings,1
person:PERS_61202bf3,event:ER2019,person_event,2019,Roerich Readings,1
person:PERS_61de659d,event:E2020,person_event,2020,Zograf Readings,1
person:PERS_6441d568,event:E2020,person_event,2020,Zograf Readings,1
