renou_matched_talks,renou_registers,renou_states,scholar,scholar_id,scholar_url,talk_count
4,bauddha; tantra,III; V,Evgeny Bushuev,PERS_30b54681,s/bushuev-evgenii.html,4
4,epic; kavya,III; IV,Gurov Nikita Vladimirovich,PERS_2c40b9b1,s/gurov-nikita.html,5
4,bauddha; tantra,III; V,Korobov Vladimir Borisovich,PERS_e96139bd,s/korobov-vladimir.html,5
4,epic; kavya,IV,Leonov Mikhail Vasilievich,PERS_587b08ec,s/leonov-mikhail.html,4
4,bauddha; bhasya,V,Lyulina Anastasia Gennadyevna,PERS_ea44fd14,s/lyulina-anastasiya.html,9
4,epic; katha; kavya,III; IV,Molina Anna Valerievna,PERS_ced3d7b4,s/molina-anna.html,4
4,,I,Natalya Safina,PERS_01aafd44,s/safina-natalya.html,5
4,brahmana; kavya,I; IV,Polina Khrushcheva,PERS_92f293f8,s/khrushcheva-polina.html,7
4,bauddha; bhasya; brahmana; sutra,I; V,Shokhin Vladimir Kirillovich,PERS_0665f215,s/vladimir-shokhin.html,5
4,bauddha; bhasya; sutra; vyakarana,II; V,Shomakhmadov Safarali Khaibulloevich,PERS_a84aedaa,s/shomakhmadov-safarali.html,9
4,bauddha; bhasya; kavya,IV; V,Shrestha Krishna Prakash,PERS_b8bade8d,s/shrestkha-krishna.html,12
4,bauddha; hors_inde,V,Shustova Alla Mikhailovna,PERS_e9545a0b,s/shustova-alla.html,15
4,kavya,IV,Streltsova Liliya Alexandrovna,PERS_7f908d49,s/streltsova-liliya.html,6
4,bhasya; sutra; vyakarana,II,Ulansky Evgeny Andreevich,PERS_cfb92c5f,s/evgeny-ulansky.html,7
4,bhasya; katha; kavya; purana,III; IV,Vecherina Olga Pavlovna,PERS_e31ca12d,s/olga-vecherina.html,16
4,bauddha; kavya,IV; V,Zagumennov Boris Ivanovich,PERS_10547db9,s/zagumennov-boris.html,6
4,bauddha; bhasya; kavya,IV; V,Zorin Alexey Valerievich,PERS_c5677a3f,s/zorin-aleksei.html,12
3,kavya; smrti; tantra,III; IV,Anna Kavalevskaya,PERS_a1484b38,s/kavalevskaya-anna.html,3
3,bhasya; kavya,I; IV,Audrius Beinorius,PERS_bff5de3e,s/beinoryus-audryus.html,4
3,bhasya; kavya,IV,Druzhinin Vladimir Yurievich,PERS_bcaec2d8,s/druzhinin-vladimir.html,3
3,katha; kavya,IV,Dubyanskaya Tatyana Alexandrovna,PERS_28317057,s/dubyanskaya-tatyana.html,5
3,bauddha; epic; katha; kavya,IV; V,Fiveyskaya Anastasia Vasilyevna,PERS_6ae5c779,s/anastasia-fiveyskaya.html,3
3,bhasya; epic; kavya; vyakarana,II; III; IV,Gasuns Marcis,PERS_8516d1e4,s/marcis-gasuns.html,8
3,bauddha; bhasya,V,Gleb Sharygin,PERS_de59a2bc,s/sharygin-gleb.html,3
3,kavya,I; IV,Kryukova Viktoriya Yurievna,PERS_d218805b,s/kryukova-viktoriya.html,5
3,kavya; tantra,III; IV,Kuzina Elizaveta Olegovna,PERS_1c6fcce5,s/elizaveta-kuzina.html,7
3,epic; katha; kavya,III; IV,Maretina Ksenia Александровна,PERS_50c46233,s/maretina-kseniya.html,5
3,kavya,IV,Maria Pavlova,PERS_34c0d384,s/pavlova-mariya.html,3
3,kavya; natya,IV,Minaeva Margarita Denisovna,PERS_4fff9d16,s/minaeva-margarita.html,3
3,bauddha,V,Ogneva Elena Dmitrievna,PERS_e72d4c09,s/ogneva-elena.html,13
3,bhasya; upanisad,I,Skorokhodova Tatyana Grigorievna,PERS_3357f25b,s/skorokhodova-tatyana.html,18
3,bhasya,,Smirnitskaya Anna Alexandrovna,PERS_50d73711,s/anna-smirnitskaya.html,9
3,purana,III,Valdas Jaskunas,PERS_71e9dee1,s/yaskunas-valdas.html,3
3,epig; rgveda,I,Vigasin Alexey Alexeevich,PERS_f5b8b340,s/alexey-vigasin.html,7
3,bhasya; kavya; tantra,III; IV,Yakovlev Viktor Mikhailovich,PERS_0ca995ac,s/yakovlev-viktor.html,8
3,bhasya; jaina,V,Zheleznova Natalia Anatolyevna,PERS_38c5f03f,s/zheleznova-natalya.html,4
2,epic; katha; kavya,IV,A. A. Nejvirt,PERS_800ac07e,s/neivirt.html,2
2,bhasya; epic,,Atmanova Yulia Георгиевна,PERS_088c4df7,s/atmanova-yuliya.html,6
2,bauddha; katha,V,Babin Alexander Nikolaevich,PERS_05d56645,s/alexander-babin.html,13
2,epic; kavya,III; IV,Brosalina Elena Kirillovna,PERS_7bbed51a,s/brosalina-elena.html,2
2,bhasya,,Denis Paramonov,PERS_7700f517,s/paramonov-denis.html,2
2,bhasya,I,Ivan Tolchelnikov,PERS_310b2911,s/tolchelnikov-ivan.html,3
2,bauddha; bhasya,V,Ivanov Vladimir Pavlovich,PERS_6e211759,s/ivanov-vladimir.html,6
2,epig; kavya,IV,Korovina Evgeniya Vladimirovna,PERS_2a2e5602,s/korovina-evgeniya.html,5
2,kavya,IV,Kostina Ekaterina Alexandrovna,PERS_22d87263,s/kostina-ekaterina.html,7
2,bauddha,V,Krapivina Raisa Nikolaevna,PERS_3c202afd,s/rada-krapivina.html,7
2,katha; natya,,Krasnodembskaya Nina Georgievna,PERS_bc97fb65,s/krasnodembskaya-nina.html,15
2,kavya; smrti,IV,Krylova Anastasia Sergeevna,PERS_72506535,s/anastasia-krylova.html,11
2,kavya; smrti,IV,Krylova Anastasia Sergeevna,PERS_58b39545,s/anastasia-krylova.html,8
2,,I,Kullanda Sergey Vsevolodovich,PERS_cdbd7a15,s/sergey-kullanda.html,5
2,bhasya; kavya,IV,Lemeshkina Ksenia Vyacheslavovna,PERS_cb52ebc2,s/lemeshkina-kseniya.html,4
2,epic; katha; upanisad,I; IV,Maria Egorova,PERS_35c57654,s/egorova-mariya.html,2
2,katha; natya,IV,Marina Fagradyan,PERS_a901d460,s/fagradyan-marina.html,2
2,bauddha; bhasya; kavya; vyakarana,II; IV; V,Ostrovskaya Elena Petrovna,PERS_37f98454,s/ostrovskaya-elena.html,2
2,bauddha; jaina; tantra,III; V,Polina Luzhinskaya,PERS_8df81b6d,s/luzhinskaya-polina.html,3
2,smrti,III; IV,Samozvantsev Andrey Mikhailovich,PERS_aa964a12,s/samozvantsev-andrei.html,2
2,epic; sutra,IV,Tatiana Luchina,PERS_d4c2cc5e,s/luchina-tatyana.html,2
2,bauddha,V,Terentyev Andrey Anatolyevich,PERS_3074a8e5,s/terentev-andrei.html,5
2,bhasya; kavya,IV,Vasiliev Alexey Konstantinovich,PERS_40375fef,s/vasilev-aleksei.html,4
2,jaina; kavya,IV; V,Yakovleva Maria Nikolaevna,PERS_b881461b,s/yakovleva-mariya.html,3
1,bhasya,,A. Solʹka,PERS_3ccc9bd7,s/solka.html,2
1,tantra,III,A. V. Osokin,PERS_7efcddc6,s/bryleva-natalya.html,1
1,tantra,III,A. V. Osokin,PERS_b9a0e40c,s/bryleva-natalya.html,1
1,kavya,IV,A. Â. Taran,PERS_c1cc76b9,s/taran.html,1
1,bhasya; kavya; rgveda,I; IV,Aleta Chomichenkiene,PERS_5cb1449b,s/khomichenkene-aleta.html,1
1,bhasya,,Andrey Drachuk,PERS_c2ffc606,s/drachuk-andrei.html,1
1,bhasya,,Belov Vladimir Nikolaevich,PERS_61de659d,s/belov-vladimir.html,1
1,katha,,Berezkin Yuri Evgenievich,PERS_c31236d2,s/berezkin-yurii.html,2
1,bhasya,,Beshchuk Yulia Vladimirovna,PERS_d01427ca,s/beshchuk-yuliya.html,1
1,kavya,IV,Bogolyubov Mikhail Nikolaevich,PERS_96b8b195,s/bogolyubov-mikhail.html,2
1,epic,I,Daria Shaposhnikova,PERS_526da44f,s/shaposhnikova-darya.html,1
1,purana,III,Denisenko Valeriâ Leontʹevna,PERS_85a048b8,s/denisenko-valeriya.html,1
1,bhasya,,Drobyshev Yuliy Igorevich,PERS_da862dde,s/drobyshev-yulii.html,15
1,kavya,IV,E. Anohina,PERS_4831e64b,s/anokhina.html,1
1,bauddha; kavya,V,E. B. Kudrâvceva,PERS_14dec06b,s/kudryavtseva-dec06b.html,1
1,bauddha; kavya,IV; V,E. K. Kudrâvceva,PERS_e8f935aa,s/kudryavtseva-f935aa.html,1
1,,III,E. N. Anikeeva,PERS_5d38cbae,s/anikeeva.html,1
1,kavya,IV,Ekaterina Akimushkina,PERS_3d4df70f,s/akimushkina-ekaterina.html,1
1,kavya,IV,Ekaterina Kesharpu,PERS_fb73fb38,s/kesharpu-ekaterina.html,1
1,bhasya,,Ekaterina Smirnova,PERS_6b867946,s/smirnova-ekaterina.html,1
1,katha,,Elena Soboleva,PERS_6441d568,s/krasnodembskaya-nina.html,8
1,rgveda,I,Elizarenkova Tatyana Yakovlevna,PERS_2f26a47a,s/elizarenkova-tatyana.html,1
1,bauddha,V,Elmira Galimova,PERS_68270eaf,s/galimova-elmira.html,1
1,bhasya; kavya; natya,IV,Elvira Vvedenskaya,PERS_23f54085,s/vvedenskaya-elvira.html,1
1,kavya; upanisad,I; IV,Erik Komarov,PERS_fc976255,s/komarov-erik.html,2
1,kavya; natya,IV,Erman Vladimir Gansovich,PERS_b4cdbfb8,s/erman-vladimir.html,1
1,bauddha,V,Evgeniya Novoselova,PERS_ecdfe667,s/novoselova-evgeniya.html,1
1,kavya,IV,Gladkova Anna Gennadyevna,PERS_51524b11,s/gladkova-anna.html,1
1,kavya,IV,Gleb Stukalin,PERS_42da4866,s/stukalin-gleb.html,3
1,bhasya; hors_inde; kavya,IV,Itkin Ilya Borisovich,PERS_c582889e,s/itkin-ilya.html,1
1,bhasya; hors_inde; kavya,IV,Itkin Ilya Borisovich,PERS_ebc1c3c2,s/itkin-ilya.html,1
1,bhasya,,Ivan Malyutin,PERS_68e9019d,s/malyutin-ivan.html,2
1,,I,Ivan Negreev,PERS_35a30342,s/negreev-ivan.html,3
1,kavya,IV,K. Džunkova,PERS_045c435e,s/dzhunkova.html,1
1,bhasya,,K. Garalite,PERS_1955e9e8,s/garalite.html,1
1,,IV,Kanaeva Nataliya Alekseevna,PERS_efc88709,s/natalia-kanaeva.html,6
1,vyakarana,II,Klebanov Andrey Alexandrovich,PERS_467d4dbb,s/klebanov-andrei.html,1
1,bhasya,,Kogan Anton Ilyich,PERS_3009a9e0,s/kogan-anton.html,4
1,bauddha,V,Korablin Denis Alexandrovich,PERS_45a76880,s/korablin-denis.html,4
1,bauddha,V,Kozhevnikova Margarita Nikolaevna,PERS_d6ade703,s/kozhevnikova-margarita.html,1
1,,I,Kravcova E. R.,PERS_3f406fe3,s/kravtsova.html,1
1,kavya,IV,Ksenia Vozdigan,PERS_0fd718a7,s/vozdigan-kseniya.html,6
1,bhasya,,Kurochkin Alexander Yurievich,PERS_b62a9567,s/kurochkin-aleksandr.html,5
1,epic; kavya,III; IV,M. I. Petrova,PERS_ba537782,s/petrova.html,1
1,katha; kavya,IV,M. Ramdhari,PERS_cea040bb,s/demchenko-maksim.html,1
1,kavya,IV,M. V. Veršinina,PERS_d851ac20,s/vershinina.html,1
1,bauddha,V,Maria Shcherbak,PERS_00c3b0cc,s/shcherbak-mariya.html,1
1,rgveda,I,Marija Silinskiene,PERS_ce100d3f,s/mariya-shilinskene.html,1
1,bauddha,V,Mazurina Valentina Nikolaevna,PERS_69750b7c,s/mazurina-valentina.html,4
1,bhasya,,Mitruev Bembya Leonidovich,PERS_b76851a7,s/mitruev-bembya.html,2
1,bauddha,V,N. A. Aleksandrova,PERS_fa58484d,s/aleksandrova.html,1
1,sutra; vyakarana,II,Natalia Senina,PERS_f82b6a8e,s/senina-natalya.html,1
1,bhasya,,Natalya Fedorova,PERS_a638a4b3,s/fedorova-natalya.html,1
1,epic; kavya,III; IV,Nina Budziszewska,PERS_26ce5ec1,s/nina-budzishevska.html,1
1,upanisad,I,Pushkareva Yulia Georgievna,PERS_23abae7d,s/pushkareva-yuliya.html,1
1,kavya,IV,Rodionov Mikhail Anatolyevich,PERS_47ad46f1,s/rodionov-mikhail.html,1
1,epic; kavya,III; IV,Serebryany Sergey Dmitrivelch,PERS_1130c736,s/serebryanyi-sergei.html,1
1,tantra,III,Sergey Pokatilov,PERS_37bb2d43,s/pokatilov-sergei.html,2
1,bauddha; kavya,IV; V,Shelkovich Vladimir Mikhailovich,PERS_8a8c5d8b,s/vladimir.html,1
1,bhasya; kavya,IV,Soboleva Diana Владимировна,PERS_3d3b302d,s/soboleva-diana.html,3
1,sutra,,Stepin A. A.,PERS_bbd15f4f,s/stepin.html,1
1,tantra,III,Strelkov Andrey Mikhailovich,PERS_3d22e8d4,s/strelkov-andrei.html,1
1,rgveda,I,Svetlana Kardinskaya,PERS_4ebb20aa,s/kardinskaya-svetlana.html,1
1,kavya,IV,Séamus Mac Mathúna,PERS_e15e7491,s/makmakhuna-sheimas.html,1
1,kavya,IV,Tanonova Elena Viktorovna,PERS_2b7ca933,s/tanonova-elena.html,2
1,,I,Tatiana Korneeva,PERS_af811d47,s/korneeva-tatyana.html,1
1,tantra,III,Uymina Yulia Alexandrovna,PERS_bf91d4b8,s/uimina-yuliya.html,4
1,bauddha,V,Varvara Sergeeva,PERS_a0f3d86d,s/sergeeva-varvara.html,1
1,bauddha,V,Viktoria Demenova,PERS_ee3448c3,s/demenova-viktoriya.html,1
1,bhasya; sutra,,Viktoria Dmitrieva,PERS_5f6689e8,s/dmitrieva-viktoriya.html,1
1,vyakarana,II,Vishnu Shukla,PERS_e8396809,s/vishnu-shukla.html,1
1,epic,I,Yakov Borisov,PERS_dfaf6803,s/borisov-yakov.html,1
1,upanisad,I,Û. V. Predtečenskaâ,PERS_929cab5a,s/predtechenskaya.html,2
1,bauddha,V,Č. Sančaj,PERS_48b3bec3,s/sanchai.html,1
0,,,Aleshina Irina Evgenyevna,PERS_51e0a171,s/aleshina-irina.html,1
0,,,Andrey Zagorulko,PERS_36c30cf9,s/zagorulko-andrei.html,1
0,,,Anna Tsendina,PERS_57082cac,s/ovchinnikova.html,1
0,,,Anna Tsendina,PERS_f619aeed,s/ovchinnikova.html,1
0,,,Arapov Alexander Vladilenovich,PERS_180c5e5c,s/arapov-aleksandr.html,1
0,,,Arina Mrachkovskaya,PERS_b5dd77b1,s/mrachkovskaya-arina.html,1
0,,,Bitinaite Elena Alekseevna,PERS_c6bbcef3,s/bitinaite-elena.html,5
0,,,Bondarev Alexey Vladimirovich,PERS_2011b78d,s/bondarev-aleksei.html,1
0,,,D. A. Šeremetʹev,PERS_940c556e,s/kurochkin-aleksandr.html,1
0,,,D. Valančûnas,PERS_d018b6eb,s/valanchyunas.html,1
0,,,Daniil Ratushny,PERS_3195408b,s/ratushnyi-danila.html,1
0,,,Daria Anisimova,PERS_37d557c2,s/anisimova-darya.html,2
0,,,Daria Naimushina,PERS_2e2b9553,s/naimushina-darya.html,1
0,,,Daria Rozhnova,PERS_3e38ff72,s/rozhnova-darya.html,1
0,,,Demichev Kirill Anderson,PERS_7da0afff,s/demichev-kirill.html,2
0,,,Dmitry Vozchikov,PERS_e4aab278,s/vozchikov-dmitrii.html,1
0,,,E. I. Malozemova,PERS_04a4bbbb,s/kurochkin-aleksandr.html,1
0,,,Edgar Leitan,PERS_07adc1e6,s/leitan-edgar.html,1
0,,,Elikhina Yulia Igorevna,PERS_06ee047f,s/elikhina-yuliya.html,4
0,,,Evgeniya Kryuchkova,PERS_6f89f9c1,s/kryuchkova-evgeniya.html,1
0,,,Evgeny Shalahov,PERS_2095dc59,s/shalakhov-evgenii.html,1
0,,,Evgrafov D. A.,PERS_79ed852e,s/evgrafov.html,1
0,,,Gavrikov Denis Sergeevich,PERS_e30ad8b7,s/gavrikov-denis.html,1
0,,,Gennady Korneev,PERS_bd77e495,s/korneev-gennadii.html,1
0,,,Georgy Chernavin,PERS_94aa5d0a,s/chernavin-georgii.html,1
0,,,Harjender Singh Chaudhary,PERS_f3cf67c6,s/khardzhender-singkh.html,1
0,,,Helena Granovskaya,PERS_44440578,s/granovskaya-khelena.html,1
0,,,I. Urnova,PERS_c5aeda15,s/urnova.html,2
0,,,I. V. Kalinina,PERS_a4c4c35e,s/kalinina.html,1
0,,,Irina Karysheva,PERS_fe03c926,s/karysheva-irina.html,1
0,,,Irina Sokolova,PERS_58e18506,s/sokolova-irina.html,1
0,,,Ivan Lapshin,PERS_29607432,s/lapshin-ivan.html,1
0,,,Ivan Usenko,PERS_168a3a8b,s/usenko-ivan.html,1
0,,,Kalina A. È.,PERS_37c15317,s/kalina.html,1
0,,,Khmurkin Georgiy Georgievich,PERS_554c138a,s/khmurkin-georgii.html,4
0,,,Khokhlov Alexander Nikolaevich,PERS_3e952361,s/khokhlov-aleksandr.html,3
0,,,Kinâeva A. V.,PERS_d17a6a92,s/kinyaeva.html,1
0,,,Komarova Irina Nigmatovna,PERS_db0a826b,s/komarova-irina.html,5
0,,,Komissaruk Ekaterina Lvovna,PERS_3fd690ee,s/komissaruk-ekaterina.html,3
0,,,Ksenia Khazizova,PERS_6a165aa7,s/khazizova-kseniya.html,1
0,,,Ksenia Nikolskaya,PERS_147ab928,s/nikolskaya-kseniya.html,1
0,,,Liliya Roman,PERS_40f75cf9,s/roman-liliya.html,2
0,,,Lyudmila Kryshtop,PERS_9366fe2c,s/kryshtop-lyudmila.html,1
0,,,M. A. Azarkina,PERS_ddb70dc9,s/azarkina.html,1
0,,,M. M. Fialko,PERS_0900c3c4,s/fialko.html,1
0,,,Mariya Ignatova,PERS_f1f2471d,s/ignatova-mariya.html,1
0,,,Mergen Boskhomdzhiev,PERS_88e5311f,s/boskhomdzhiev-mergen.html,1
0,,,Meytarchiyan Margarita Borisovna,PERS_52d3f72c,s/meitarchiyan-margarita.html,2
0,,,N. V. Homutinnikova,PERS_0a42bfb2,s/khomutinnikova.html,1
0,,,Narine Vigel,PERS_a8983673,s/vigel-narine.html,1
0,,,Natalia Guzevataya,PERS_cac87738,s/guzevataya-natalya.html,1
0,,,Nemchinov Viktor Mikhailovich,PERS_cca8f93d,s/nemchinov-viktor.html,2
0,,,Olga Merenkova,PERS_2e00cb36,s/merenkova-olga.html,2
0,,,Pakhomova Alexandra Mikhailovna,PERS_5f6fa17b,s/pakhomova-aleksandra.html,2
0,,,Popova Irina Fyodorovna,PERS_d3c5382c,s/popova-irina.html,11
0,,,Radha Blinderman,PERS_18fcab2a,s/blinderman-radkha.html,2
0,,,S. S. Čistâkov,PERS_72d46eb6,s/chistyakov.html,1
0,,,Sattar Mazhitov,PERS_e1d622e5,s/mazhitov-sattar.html,1
0,,,Sedukova Nadežda Aleksandrovna,PERS_377db63e,s/motyleva-vera.html,1
0,,,Sedukova Nadežda Aleksandrovna,PERS_7d6f456c,s/motyleva-vera.html,1
0,,,Semyon Vatman,PERS_2c9b38ec,s/vatman-semen.html,1
0,,,Sergey Nesterkin,PERS_9ddf9210,s/nesterkin-sergei.html,1
0,,,Sharapova Alexandra Vladimirovna,PERS_874cbfb7,s/sharapova-aleksandra.html,1
0,,,Slinko Elena Viktorovna,PERS_bdaaf440,s/slinko-elena.html,1
0,,,Sofya Kasym,PERS_92f41884,s/kasym-sofya.html,1
0,,,Svetlana Faybushevich,PERS_936e1165,s/svetlana.html,1
0,,,Svetlana Kreuzer,PERS_f5a69b65,s/kroitser-svetlana.html,1
0,,,Svetlov Roman Viktorovich,PERS_dd17649f,s/svetlov-roman.html,1
0,,,Tamara Selivanova,PERS_ed83f502,s/selivanova-tamara.html,1
0,,,Tatiana Zimina,PERS_7eb0dc30,s/zimina-tatyana.html,8
0,,,Tishin Vladimir Vladimirovich,PERS_0a2e5f24,s/tishin-vladimir.html,3
0,,,Uspenskaya Elena Nikolaevna,PERS_b2c121e9,s/uspenskaya-elena.html,3
0,,,V. V. Donskih,PERS_f7c7adc7,s/donskikh.html,3
0,,,Vlada Belimova,PERS_4a0de87e,s/belimova-vlada.html,1
0,,,Vladimir Abinyakin,PERS_f1a308b7,s/abinyakin-vladimir.html,1
0,,,Zastrozhnova Evgeniya Grigoryevna,PERS_94f33410,s/zastrozhnova-evgeniya.html,1
0,,,Zevatsky Timofey Yurievich,PERS_900efc73,s/zevatskii-timofei.html,1
0,,,Zhukova Lyubov Evgenievna,PERS_f56c5a7e,s/zhukova-lyubov.html,4
