keyword,presentations,zograf,roerich,examples
индия,127,80,47,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
пратьябхиджний,2,0,2,О некоторых основных понятиях пратьябхиджни | Европейская феноменология и буддизм в свете спора представителей кашмирской школы Пратьябхиджня с буддистами
реминисценция,2,2,0,Реминисценции мифа Вала в припамирском регионе | Литературные реминисценции в «Гаудавахо» Вакпатираджи
всадник,2,1,1,Конь без всадника и дерево джамбу: к интерпретации рельефа на восточных воротах Большой Ступы в Санчи | Всадник Шамбалы (танка из собрания Мемориального кабинета Ю.Н. Рериха ИВ РАН)
сюжетный,2,1,1,Сюжетные схемы санскритских джатак Харибхатты (IV–V в.) | К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди
адхивасана,2,0,2,Обряд адхивасана («вселение») и его роль в формировании образов храма и города | Обряд освящения статуи (адхивасана) и его роль в текстах по строительству (вастувидье) в пуранах
субъект-пудгала,2,0,2,"Место «Беседы о субъекте-пудгале» в структуре палийского канона и в истории буддийской философии | Вопрос о соотношении субъекта-пудгалы, дискретности мышления-читты и устойчивости характеристик личности в тексте «Катхаваттху» (фрагмент 1.1.193-1.1.196)"
приписывать,2,1,1,"О стихах, приписываемых Бхартрихари | О гимне Авалокитешваре, приписываемом тибетскому царю Сонгцэн-гампо"
генетический,2,1,1,Сюжет встречи с Дипанкарой: функциональная роль в текстовой традиции и возможные генетические связи | О возможности генетической связи между индийским и месопотамским мифами о потопе
монарший,2,0,2,Вербальный панегирик индийского монаршего портрета эпохи Моголов | Мотив dad-u dām в могольском монаршем портрете: к вопросу о генезисе и семантике
портрет,2,0,2,Вербальный панегирик индийского монаршего портрета эпохи Моголов | Мотив dad-u dām в могольском монаршем портрете: к вопросу о генезисе и семантике
могол,2,0,2,Вербальный панегирик индийского монаршего портрета эпохи Моголов | Специфика восприятия и интерпретации моголами древнеиндийской эпической литературы
декрет,2,0,2,Тибето-китайские параллели в наименованиях и титулах регентов на примере текста декрета Далай-ламы V о назначении Сангье Гьяцо дэсридом (1679 г.) | Фисаматы из Ольвийского декрета в честь Протогена
свидетельство,2,0,2,«Парамаартхасара» Абхинавагупты: руководство по обретению «сингулярности» или свидетельство о невозможности бытия Бога (Бытия/Бога) | Ордалия раскаленной монетой: шастрический текст и «свидетельства» испытаний
замещение,2,1,1,К вопросу о замещениях (pratinidhi) при проведении шраута-ритуалов | Атиратра Агничаяна: замещение жертвенных животных в ритуалах
поэт,2,0,2,Восхваление табака в поэме «Пухейилей видутуду» тамильского поэта Сини Саккарей Пулавара | Язык жреца – язык поэта. О сакральности речи в древнейших формах санскритской драмы
чакравартина,2,0,2,"Семь сокровищ чакравартина и их пространственная локализация (палийский канон, «Артхашастра») | Вратьи и чакравартины: образ Миродержца в Древней Индии в палийских, санскритских и ведийских источниках"
рай,2,1,1,"Рай Амитабхи в традиции школы ньигма | Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение"
человеческий,2,2,0,От демонической к человеческой сексуальности? Индо-иранский миф о первобытном инцесте Ями и Ямы и его индоевропейские корни | Проблема уникальности природы человеческой души в философской системе Ямуначарьи
первобытный,2,2,0,От демонической к человеческой сексуальности? Индо-иранский миф о первобытном инцесте Ями и Ямы и его индоевропейские корни | «Век Кроноса» и «Сатья-юга»: два вида «первобытного коммунизма» и античных теорий социогенеза
синоним,2,2,0,101 синоним воды в ведийском словаре «Нигханту» | О 58 синонимах «речи» в «Нигханту»
нигхант,2,2,0,101 синоним воды в ведийском словаре «Нигханту» | О 58 синонимах «речи» в «Нигханту»
название,2,1,1,О названиях пчелы в ведийском языке | Об индийских названиях нуля
композиционный,2,1,1,Оговорка как композиционный прием в санскритской драме | (Киев). Композиционные особенности намтара «12 деяний Будды Шакьямуни» в тибетской традиции (тангки житийной серии музеев Украины)
нагарджун,2,1,1,«Ратнавали» Нагарджуны и «Дашабхумика-сутра»: явные и неявные связи | Философ Нагарджуна – персонаж пракритского романа «Лилаваи»
чой-йон,2,0,2,Тибетский принцип чой-йон и его значение для тибето-цинских отношений | Тибетский институт чой-йон (наставник-покровитель) в китайских источниках 17–18 вв
статуя,2,0,2,Еще раз к вопросу о сандаловой статуе Будды | Обряд освящения статуи (адхивасана) и его роль в текстах по строительству (вастувидье) в пуранах
таттвасанграха,2,0,2,Дискуссия между буддистами и санкхьяиками о существовании и природе атмана в разделе «Атмапарикша» «Таттвасанграхи» Шанатаракшиты | Полемика о субъекте между буддистами и ньяя-вайшешиками в «Таттвасанграхе» Шантаракшиты
сикхский,2,0,2,Текст в контексте: образ идеального сикхского правителя в кодексе Прем Сумараг в позднесредневековых панджабских реалиях | К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
двор,2,0,2,Обращение к буддийским сутрам «неясного» происхождения при императорском дворе в Японии в VIII в | К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
паннир,2,0,2,Чидамбарам и его дикшитары в зеркале «Панниру тирумурей» | Место и роль Сундарара в структуре шиваитского канона «Панниру Тирумурей»
тирумурья,2,0,2,Чидамбарам и его дикшитары в зеркале «Панниру тирумурей» | Место и роль Сундарара в структуре шиваитского канона «Панниру Тирумурей»
балтистан,2,0,2,Нетибетская лексика в тибетских диалектах Балтистана и Каргила: попытка этимологической классификации | Вопрос о дардском элементе в дотибетском населении Ладакха и Балтистана как лингвистическая проблема
тысяча,2,0,2,Путешествие «Тысячи и одной ночи» в Ирландию | Дидактика и символика в тибетской литературе (на примере «Песни о роге яка» из собрания «сто тысяч песен Миларепы»)
ирландия,2,0,2,Путешествие «Тысячи и одной ночи» в Ирландию | Тема царской охоты (на материале письменных памятников Индии и Ирландии)
дурга,2,0,2,Богиня с гхантой и гхатом. Дурга (?) в иконографической программе буддийского храма Аурангабада | Интерпретация рельефа с изображением Дурги с музыкальными инструментами из буддийского пещерного храма Аурангабада
аурангабад,2,0,2,Богиня с гхантой и гхатом. Дурга (?) в иконографической программе буддийского храма Аурангабада | Интерпретация рельефа с изображением Дурги с музыкальными инструментами из буддийского пещерного храма Аурангабада
этнический,2,1,1,"Имперская идея или этнический стереотип? Концепт «монгол» в первой половине XIII в | Материальные атрибуты (лук, стрелы, топорик) как этнические символы автохтонов Шри Ланки"
ваджраяна,2,0,2,"Майтхуна, слияние лотоса и ваджры, или о некоторых особенностях символического языка сандхья-бхаша буддизма ваджраяны | Символический язык буддизма ваджраяны на примере «Калачакра Тантры»"
риторический,2,0,2,Ирония: «риторическая фигура» в Североиндийской поэзии бхакти | Риторический вопрос и его функция в индийской средневековой поэзии бхакти
графика,2,1,1,Живопись и графика Гималайского региона в коллекции И.П.Минаева (МАЭ РАН): некоторые аспекты атрибуции и интерпретации | Живопись и графика из собрания И. П. Минаева (МАЭ РАН): опыт классификации
миссия,2,1,1,Буддийская миссия Н.К. Рериха в Лхасу | Моравская миссия в Ладакхе. «Тибетское» христианство и вклад моравских братьев в развитие языка ладакхи
плач,2,2,0,Плач матери Будды по мертвому сыну: об одном эпизоде из легенды о просветлении | Плач в составе древней махакавьи
странствие,2,2,0,В начале странствий. Эпизод абхинишкрамана в «Сутре о благом явлении царевича» | История Агададатты в романе Сангхадасы «Странствия Васудевы»
веда,2,1,1,"Ритуалы начала и прекращения изучения Вед (upākaraṇa, utsarga) | Об интерпретационном коде ранневедийской литературы (вед. śatabhuji)"
дешик,2,2,0,Философское учение Веданта Дешики в системе вишишта-адвайта-веданты | Историографический обзор философско-поэтического наследия Ведантачарьи (Веданта Дешики)
гуру,2,1,1,Майя в учениях новых индийских гуру — иллюзия или реальность | К проблеме складывания сикхского двора и придворной культуры при последних шести гуру
феноменология,2,1,1,Буддийская феноменология бессамостности (Опыт анализа концептов Я и «просто-я» Чже Цонкапы) | Европейская феноменология и буддизм в свете спора представителей кашмирской школы Пратьябхиджня с буддистами
чже,2,2,0,Буддийская феноменология бессамостности (Опыт анализа концептов Я и «просто-я» Чже Цонкапы) | Понимание высшей истины (парамартха) у Чже Цонкапы
цонкап,2,2,0,Буддийская феноменология бессамостности (Опыт анализа концептов Я и «просто-я» Чже Цонкапы) | Понимание высшей истины (парамартха) у Чже Цонкапы
риторика,2,2,0,Диалоги в ранних Упанишадах: от агона к риторике | Древнеиндийская риторика и традиция санскритского театра (Тригата в «Натьяшастре»)
рациональность,2,2,0,Индийская схема рациональности и некоторые ее приложения к индийской философии | Восьмиугольные понятийные схемы в индийской рациональности
приложение,2,1,1,Индийская схема рациональности и некоторые ее приложения к индийской философии | Философское приложение шикши в кашмирском шиваизме
специфика,2,1,1,Специфика бенгальских анекдотов | Специфика восприятия и интерпретации моголами древнеиндийской эпической литературы
малика,2,2,0,Как Кришна с Горакхой силой мерялись: Столкновение разных мистических течений в творчестве Малика Мухаммада Джаяси | Терминология суфийской проповеди в «Падмават» Малика Мухаммада Джаяси
мухаммад,2,2,0,Как Кришна с Горакхой силой мерялись: Столкновение разных мистических течений в творчестве Малика Мухаммада Джаяси | Терминология суфийской проповеди в «Падмават» Малика Мухаммада Джаяси
кто,2,1,1,Писатели хинди нового поколения: Кто они и зачем пришли в литературу | Кто говорит? Толкование источника речи в некоторых индуистских тантрах
бытование,2,2,0,«Костыль факира»: атрибуция и некоторые вопросы бытования | Множество жизней поэмы Тулси Даса (некоторые аспекты современного бытования «Рамачаритаманасы»)
полевой,2,2,0,Особенности празднования Холи в Раджастхане (по материалам полевых исследований) | Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г
преобразование,2,1,1,Sattriya Ассама: о преобразовании ритуального представления бхакатов в еще один «классический танцевальный стиль» Индии | Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса)
рудрый-шивый,2,1,1,Становление культа Рудры-Шивы по древнеиндийским священным текстам традиции шрути: от мифологемы к философскому принципу | Об эволюции образа Рудры-Шивы в священных текстах шрути
шрутить,2,1,1,Становление культа Рудры-Шивы по древнеиндийским священным текстам традиции шрути: от мифологемы к философскому принципу | Об эволюции образа Рудры-Шивы в священных текстах шрути
население,2,1,1,Вопрос о дардском элементе в дотибетском населении Ладакха и Балтистана как лингвистическая проблема | Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C
десять,2,0,2,Поэма «Десять песен»: перевод и чтение на тамильском языке | Символизм десяти воплощений Вишну во внутренней Калачакра-тантре
полемика,2,0,2,Полемика о субъекте между буддистами и ньяя-вайшешиками в «Таттвасанграхе» Шантаракшиты | Опровержение существования субъекта в полемике с вайшешиками по вопросу о существовании субъекта в «Пудгалавинишчае» Васубандху
ранневедийский,2,0,2,Об интерпретационном коде ранневедийской литературы (вед. śatabhuji) | Śradīḥ púraḥ: ранневедийский текст и ритуал
институт,2,0,2,Тибетский институт чой-йон (наставник-покровитель) в китайских источниках 17–18 вв | Институт гутхи в древнем и средневековом Непале
птица,2,1,1,Семантика изображений птицы на каменных изваяниях степей Евразии | Образ птицы в масочном театре сингалов (Шри Ланка)
степь,2,1,1,Семантика изображений птицы на каменных изваяниях степей Евразии | Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C
амдый,2,0,2,Тибетский идиом области Амдо в наши дни: между диалектом и языком | Диалект амдо – нетоновый диалект тибетского языка
момент,2,1,1,Некоторые типичные моменты появления сонма божеств в Непале | Герасим Лебедев и британская элита колониальной Калькутты: момент разрыва
непасть,2,0,2,Переводы стихов на язык непали | Пушкин на языке непали
нарасинх,2,0,2,Культ Нарасинхи в трактатах по вастувидье в пуранах | Культ Нарасинхи в трактатах по вастувидье в пуранах
называть,2,1,1,"Почему Дигнага называет определение восприятия Васубандху асара (лишенным сути)? Медленное чтение «Прамана-самуччая-вритти» ( | Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана"
пудгала,2,1,1,Использование вторичного текста (цитирование) как средство ведения дискуссии в «Вопросе о субъекте (пудгале)» в «Катхаваттху 1.1» | Фрагмент дискуссии о пудгале в «Катхаваттху» I.1: пудгала и скандхи
кашмир,2,0,2,"Изображение Канакавасты, архата из Кашмира: часть полиптиха или отдельная танка? (Танка из собрания Кабинета Ю.Н. Рериха, ИВ РАН, Москва) | Изменение межкастовых взаимоотношений в домусульманском Кашмире"
пракритский,2,2,0,Образ «распутницы» в пракритской лирике | Философ Нагарджуна – персонаж пракритского романа «Лилаваи»
основной,2,2,0,Основные идеи религиозной герменевтики Г. Оберхаммера в аспекте изучения вишишта-адвайта-веданты | Эпос «Катама Раджу Катха» — основные особенности сюжета
герменевтика,2,2,0,Основные идеи религиозной герменевтики Г. Оберхаммера в аспекте изучения вишишта-адвайта-веданты | Об астрологической герменевтике в медицинских текстах (Аюрведа)
садхана,2,2,0,"О сборнике садхан, переведенном Б. И. Панкратовым в 1930-е гг. в Пекине | Садханы Харихарихаривахана-Авалокитешвары (Авалокитешвары, восседающего на Вишну, гаруде и льве) из тибетского буддийского канона C"
пекин,2,1,1,"О сборнике садхан, переведенном Б. И. Панкратовым в 1930-е гг. в Пекине | Рерихи в Пекине в 1934—1935 гг"
основание,2,1,1,Об основаниях интерпретации терминов «dharma» и «saṃskāra» в контексте «Абхидхармасамуччаи» | Воспоминание как основание для тождества «Я» в «Ишварапратьябхиджня-вимаршини» Абхинавагупты
абхидхармасамуччай,2,2,0,Об основаниях интерпретации терминов «dharma» и «saṃskāra» в контексте «Абхидхармасамуччаи» | О некоторых особенностях в композиции Абхидхармасамуччаи
чайтанья,2,2,0,Чайтанья и его учение в североиндийской литературе XVII в. (на примере «Бхактамалы» Госвами Набхадаса) | Образ Чайтаньи в традиционных бенгальских текстах
гендерный,2,2,0,"Метафизика, мифология, повседневная жизнь: гендерный ракурс южноиндийской традиции | Южноиндийские божества: некоторые аспекты гендерных взаимоотношений"
предсказание,2,2,0,Предсказания об исчезновении Дхармы как фактор зарождения традиционной историографии буддизма | Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий
христианство,2,2,0,Моравская миссия в Ладакхе. «Тибетское» христианство и вклад моравских братьев в развитие языка ладакхи | Сат-чит-ананда как мост между христианством и индуизмом
сурдас,2,2,0,«Бхрамара-гита» Сурдаса: к характеристике стиля | Народный стиль речи в «Бхрамара-гите» Сурдаса
далджито,2,2,0,«Рамаяна» Далджита Награ — новый текст индийской диаспоры | Текст «индийской диаспоры» в поэзии Далджита Награ
награ,2,2,0,«Рамаяна» Далджита Награ — новый текст индийской диаспоры | Текст «индийской диаспоры» в поэзии Далджита Награ
миссионерский,2,2,0,Из миссионерской истории Индии: Роберто де Нобили | Из миссионерской истории Индии: Франциск Ксавье
этнографический,2,2,0,Этнографические группы веддов (история и современность) | Старинные португальские частушки в этнографическом контексте Южной Азии
гуджарат,2,2,0,Bhavāi Гуджарата: о культурном смысле и социальных функциях традиционного театра | Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г
популярный,2,2,0,Репрезентация образа адиваси в популярном индийском кинематографе | О стереотипизации адиваси в популярной культуре Индии
кинематограф,2,2,0,Репрезентация образа адиваси в популярном индийском кинематографе | Старая сказка на новый лад: Девдас в индийском кинематографе 21 века
воспоминание,2,0,2,Из воспоминаний о детстве на Онеге | Воспоминание как основание для тождества «Я» в «Ишварапратьябхиджня-вимаршини» Абхинавагупты
стратификация,2,1,1,Санскара «посвящение в ученики» (упанаяна): её место и значение в ряду других санскар и в древней разработке стратификации индийского общества | Половозрастная стратификация общества в ведийских текстах
калидас,2,1,1,О происхождении некоторых ашрамных практик в произведениях Калидасы | «Рагхуванша» Калидасы глазами тамилиста
пушкин,2,1,1,Пушкин на языке непали | Индийский эпос «Дхола-Мару» и «Сказка о царе Салтане» А.С.Пушкина
апастамб,2,0,2,Особенности жанра парибхаша на примере сутр Апастамбы | Прием почетного гостя-атитхи в санскритской текстовой традиции (по дхармасутре Апастамбы)
употребление,2,2,0,Расширение и распространение: о некоторых особенностях употребления глагольного корня bṛh в «Ригведе» | Об употреблении слова ātman в «Ригведе»
махабхагавата-пурана,2,2,0,Образ Кришны в Махабхагавата-пуране | Версия «Рамаяны» в «Махабхагавата-пуране»
кавие,2,1,1,Система образов поэзии кавья на примере лирических стихов из антологии Видьякары «Субхашитаратнакоша» | Стиль кавья в двух описаниях спящего гарема – в «Рамаяне» и в «Жизни Будды» Ашвагхоши
лирический,2,2,0,Система образов поэзии кавья на примере лирических стихов из антологии Видьякары «Субхашитаратнакоша» | «Лирическая героиня» Миры Баи
найти,2,2,0,"Вновь найденный ксилограф с санскритским алфавитом в трех графических вариантах, привезенный Д. Мессершмидтом из Сибири в 1727 г | Ян Потоцкий и тибетская рукопись, найденная в Калмыкии"
раманудж,2,2,0,Проблемы перевода «Шрибхашьи» Рамануджи | Две парадигмы монизма в интерпретации «Бхагавадгиты»: Шанкара и Рамануджа
специфический,2,2,0,Далитская автобиография как специфический жанр | Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā)
автобиографический,2,2,0,Индийская тема в автобиографической книге В. С. Найпола «A Writer's People: Ways of Looking and Feeling» | Индия и индийцы в автобиографической книге В. С. Найпола «The Writer's People»
найполый,2,2,0,Индийская тема в автобиографической книге В. С. Найпола «A Writer's People: Ways of Looking and Feeling» | Индия и индийцы в автобиографической книге В. С. Найпола «The Writer's People»
неоиндуизм,2,2,0,Бонкимчондро Чоттопаддхай и генезис неоиндуизма в Бенгалии | Феномен Рамакришны Парамахамсы и формирование неоиндуизма в Бенгалии XIX века
кадамбари,2,2,0,Роман «Кадамбари» и его современное продолжение | «Кадамбари» в современном мире
рукописный,2,2,0,Коллекция индийских рукописей рукописного фонда библиотеки СПбГУ | Древний тибетский сборник текстов по культам Махакалы и Вишну из рукописной коллекции ИВР РАН
роспись,2,2,0,О некоторых особенностях росписей осакотхи (штат Орисса) | Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г
ишварапратьябхиджень-вимаршиня,2,0,2,Воспоминание как основание для тождества «Я» в «Ишварапратьябхиджня-вимаршини» Абхинавагупты | Еще раз о субъекте: «Ишварапратьябхиджня-вимаршини» Абхинавагупты
восемь,2,1,1,Проблемы интерпретации концепции восьми опровержений в «Катхаватху» | Текст по культу Ваджрапани и восьми царей нагов в свитке XIII века Дх-178 из собрания ИВР РАН
идеологический,2,1,1,Тюркский каган и сасанидский шаханшах: к вопросу об идеологических заимствованиях древних тюрков у иранцев | Царь − установитель дхармы. Практический аспект идеологической концепции
тюрк,2,0,2,Тюркский каган и сасанидский шаханшах: к вопросу об идеологических заимствованиях древних тюрков у иранцев | К проблеме возрастных категорий у древних тюрков VI—X вв
иранец,2,0,2,Тюркский каган и сасанидский шаханшах: к вопросу об идеологических заимствованиях древних тюрков у иранцев | Степные кочевники – иранцы II тыс. до н. э. – I тыс. н. э. и их языки
спать,2,0,2,Стиль кавья в двух описаниях спящего гарема – в «Рамаяне» и в «Жизни Будды» Ашвагхоши | О значении пал. sutta (p.p. от supati «спать») в медитации осознанности (сатипаттхана)
петербург,2,1,1,Юрий Рерих и буддийский храм в Санкт- Петербурге | Саттрия: рождение нового индийского классического танца в Ассаме Лаборатория «Театрика» (Москва – С.-Петербург). Видеоматериал по традиции чхоу
география,2,1,1,Сакральная география Бодхгаи и текстовая традиция | О «священной географии» в творчестве Тирунянасамбандара (шиваитский поэтический комплекс «Деварам»)
санскритизация,2,1,1,Санскритизация перформанса: преобразования традиций Bhūta-kolam (Тулунаду) и Chhau (Орисса) | Санскритизация и философские проблемы языковой политики
повествовательный,2,1,1,Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи») | Неварский «повествовательный свиток» в собрании МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение
песенный,2,0,2,Пути песенных текстов – переводы и примеры метафонии | Песенная техника проповеди Миры Баи: подступы к исследованию
неизвестный,2,1,1,Неизвестный иллюстрированный манускрипт из Непала из собрания кабинета Ю.Н. Рериха Института востоковедения РАН | Неизвестный речевой феномен у сингалов Шри Ланки
аватар,2,2,0,Концепция аватар Вишну в поэме Магхи «Шишупалавадха» | Интерпретация учения об аватарах Вишну в «Девибхагавата-пуране»
тангутский,2,1,1,Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН | Природопользование в тангутском государстве Си Ся
сиддхам,2,2,0,Тангутские ксилографы письмом ‘сиддхам’ из собрания ИВР РАН | Интерпретация символов ‘ом’ и ‘сиддхам’ в мангала-шлоках санскритских рукописей
психология,2,2,0,Психология Бога в кашмирском шиваизме и у Якоба Беме | Психология акта самопожертвования в изображении драматургов 7-го века
спхота,2,2,0,"Спхота, джати, пашьянти и пратибха в «Вакьяпадии» — к проблеме разграничения терминов | Концепция спхоты в «Спхотасиддхи» Манданамишры"
животный,2,1,1,Животный мир пословиц и поговорок хинди | 12-летний животный цикл. К вопросу об истоках
после,2,2,0,В деревне Ампития (Шри Ланка) через 100 лет после Людмилы Мерварт | Айодхья через 20 лет после конфликта: о современных проявлениях индуистского фундаментализма (наблюдения и немного размышлений)
читта,2,2,0,"Читта и бодхичитта. Раздумья о переводе некоторых буддийских терминов | Ум, психика или сознание (о переводе буддийских терминов «читта» и «виджняна»)"
бодхичитта,2,2,0,Читта и бодхичитта. Раздумья о переводе некоторых буддийских терминов | Строфы о бодхичитте во второй главе Гухьясамаджа тантры
девибхагавата-пурана,2,2,0,Жемчужный остров в «Девибхагавата-пуране» | Интерпретация учения об аватарах Вишну в «Девибхагавата-пуране»
материальный,2,2,0,"Материальные атрибуты (лук, стрелы, топорик) как этнические символы автохтонов Шри Ланки | Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»)"
лук,2,2,0,"Материальные атрибуты (лук, стрелы, топорик) как этнические символы автохтонов Шри Ланки | Лук (оружие)"
формульность,2,1,1,О формульности надписей на санскрите | О формульности индийских дарственных надписей
баул,2,2,0,Современные баулы: от деревни до концертного зала | Концепция совершенного человека в творчестве народных певцов – баулов
зал,2,2,0,Современные баулы: от деревни до концертного зала | Драупади в Зале собрания (роль бога Дхармы)
фонема,2,1,1,"Варна – это фонема, буква, звук или …? | Варна – фон, фонема, звукотип"
календарный,2,2,0,Образ Локешвара в календарном обряде непальцев | Особенности календарной обрядности у раджпутов C
непалец,2,2,0,"Образ Локешвара в календарном обряде непальцев | О взаимовлиянии индуизма и буддизма в религии непальцев (легенды, иконография, личные наблюдения)"
символизм,2,0,2,Символизм санскритского алфавита (али-кали) в Калачакра-тантре | Символизм десяти воплощений Вишну во внутренней Калачакра-тантре
калачакра-тантра,2,0,2,Символизм санскритского алфавита (али-кали) в Калачакра-тантре | Символизм десяти воплощений Вишну во внутренней Калачакра-тантре
автор,2,1,1,Практики движения праны в текстах кашмирских авторов | Несколько индийских слов в передаче античных авторов
бхавабхути,2,1,1,«Рамаяна» в драме Бхавабхути «Последние деяния Рамы» | Рамаяна в драме Бхавабхути «Последние приключения Рамы»
деяние,2,1,1,«Рамаяна» в драме Бхавабхути «Последние деяния Рамы» | (Киев). Композиционные особенности намтара «12 деяний Будды Шакьямуни» в тибетской традиции (тангки житийной серии музеев Украины)
рама,2,1,1,«Рамаяна» в драме Бхавабхути «Последние деяния Рамы» | Рамаяна в драме Бхавабхути «Последние приключения Рамы»
веданта-парибхаш,2,1,1,Непосредственное восприятие как знание из слов по материалам «Веданта-парибхаши» Дхармараджи | Непосредственное восприятие через слово. По «Веданта-парибхаше» Дхармараджи
