video_id,video_url,video_title,year,title_hint,speaker_hint,similarity,status,presentation_id_snapshot
S5fGM-NWu7E,https://www.youtube.com/watch?v=S5fGM-NWu7E,"Маретина К.А. (СПб) ""Махабхарата"" как текст культурной памяти.",2006,Завершающие строфы «Махабхараты»: лексика и семантика,С. Л. Невелева,0.453,needs_review,PRES_a1100488
X1ZWDWAKLIw,https://www.youtube.com/watch?v=X1ZWDWAKLIw,"XLIV Зографские чтения, 23:05.2023, Лейтан Эдгар Зигфридович (Вена).",2023,Типология индийских аскетов по санскритским источникам,Лейтан Эдгар Зигфридович,0.454,needs_review,PRES_d1ab3eb2
D9gu2ZXqGYM,https://www.youtube.com/watch?v=D9gu2ZXqGYM,Ермакова Т.В. (СПб) Индийские корреспонденты Е.Е. Обермиллера.,2021,Удвоение знаков в протоиндийской письменности,Коровина Евгения Владимировна,0.455,needs_review,PRES_e335f83c
Sj1MT57SGdo,https://www.youtube.com/watch?v=Sj1MT57SGdo,Воробьева Д. Н. (Мск) Джайнские пещерные храмы Махараштры в контексте развития скальной архитектуры,2025,О понятиях «канон» и «классика» в контексте древнеиндийской литературы,Лидова Наталья Ростиславовна,0.46,needs_review,PRES_d57f79af
XU21duRgwNI,https://www.youtube.com/watch?v=XU21duRgwNI,Стрельцова Л.А. (СПб) Локальные варианты Дурга Пуджи в Колкате.,2018,Кумаонский Голудев: локальный вариант индуизма,Альбедиль Маргарита Федоровна,0.462,needs_review,PRES_a757ee5f
E632HvWvdfE,https://www.youtube.com/watch?v=E632HvWvdfE,Древнеиндийская ономастика в «Вишнусахасранаме» (24.05.2023),2026,Индийская философия в свете,Белимова Влада Сергеевна,0.462,needs_review,PRES_f975f5eb
rK2qCWpIuE4,https://www.youtube.com/watch?v=rK2qCWpIuE4,Кравцова Е.Р. (Москва) Проблема сознания в философии адвайта-веданты Сурешвары.,2007,Некоторые проблемы становления вишишта-адвайты,Псху Рузана Владимировна,0.463,needs_review,PRES_30a35b89
lpqPLS1XOxw,https://www.youtube.com/watch?v=lpqPLS1XOxw,Павлова М. (Москва) Поэтическое представление о духовном и мирском благе в гимнах наянаров.,2025,От демоницы к мстительнице: Переосмысление образа ведьмы в современном индийском кинематографе,Маретина Ксения Александровна,0.467,needs_review,PRES_e248ad48
yS7OrtJ0vEo,https://www.youtube.com/watch?v=yS7OrtJ0vEo,А. Ковалевская (Гамбург). Способы сокрытия мантр в тантрических текстах.,2011,Половозрастная стратификация общества в ведийских текстах,C. В. Кулланда,0.468,needs_review,PRES_f5ea05b8
328H4jkMwqs,https://www.youtube.com/watch?v=328H4jkMwqs,Калина А.Э. (Москва) Образы тигра и рыбы в бенгальской фразеологии.,2018,Роль мифов о творении мира в индийской философии,Псху Рузана Владимировна,0.468,needs_review,PRES_4906fe94
Z8YPjP9XA0w,https://www.youtube.com/watch?v=Z8YPjP9XA0w,Лемешкина К.В. Поведенческие стереотипы сикхов.,2019,Элементы шаманских практик в воинских традициях Индии,А. Ю. Курочкин,0.469,needs_review,PRES_916be128
pAQB_pquI-k,https://www.youtube.com/watch?v=pAQB_pquI-k,Приветствие от Генерального консульства Республики Индия,2018,Путешествие И. П. Минаева в Непал: обстоятельства и результаты,Ермакова Татьяна Викторовна,0.47,needs_review,PRES_72185450
Isi08A4An0I,https://www.youtube.com/watch?v=Isi08A4An0I,Лидова Н.Р. (Москва) О терминологии ‘воды’ в космогонических гимнах Ригведы.,2018,Семантика терминологии родства в малых дравидийских языках: когнитивные аспекты,Смирнитская Анна Александровна,0.473,needs_review,PRES_01d45bf2
xH2Ea-8B85Y,https://www.youtube.com/watch?v=xH2Ea-8B85Y,Евграфов Д.А. (Москва) Суфизм в Индии: истоки и течения.,2021,Искусство протеста. Политический театр в Индии: истоки и развитие,Рыжакова Светлана Игоревна,0.474,needs_review,PRES_ec767635
ehKc94g2bzs,https://www.youtube.com/watch?v=ehKc94g2bzs,Ерченков О. Н. (Горный Алтай) Кула и кауладхарма: центральная универсалия индуистского тантризма.,2020,О телесном и духовном бессмертии в индуистском тантризме,Пахомов Сергей Владимирович,0.476,needs_review,PRES_ddd8120c
mbZhYseG_NU,https://www.youtube.com/watch?v=mbZhYseG_NU,"А.С. Крылова, Е.А. Ренковская (Москва). Поэзия народов мунда.",2026,Седукова Надежда Александровна,Мотылёва Вера Леонидовна,0.477,needs_review,PRES_9f441f94
gF0QyRm1lj0,https://www.youtube.com/watch?v=gF0QyRm1lj0,Донченко С.С. (СПб) Три системы бенгальского стихосложения.,2013,«Открытие Индии» сквозь призму традиционного текста: опыт мыслителей Бенгальского Возрождения,Скороходова Татьяна Григорьевна,0.483,needs_review,PRES_b0acecab
lwjdVzRtHpM,https://www.youtube.com/watch?v=lwjdVzRtHpM,Лобанов С. В. (Москва) Монистический теизм (адвайта-ишваравада) Абхинавагупты.,2007,Лингвофилософское в «Пара-тримшика-виварана» Абхинавагупты,А. А. Мехакян,0.488,needs_review,PRES_2f86cd9c
UZKA1AnQLfo,https://www.youtube.com/watch?v=UZKA1AnQLfo,Васильков Я. В. Индийская притча о «человеке в колодце» в творчестве Л.Н. Толстого,2021,Ведийский санскрит и индийская философия в творчестве композитора А. Н. Скрябина*,Мехакян Арег Гайкович,0.49,needs_review,PRES_2d19d75b
j1jbDMCRK5I,https://www.youtube.com/watch?v=j1jbDMCRK5I,"XLIV Зографские чтения, 24.05.2023, Лекарева Ева Павловна (Санкт-Петербург).",2026,Вера Александровна Новикова,Лекарева Ева Павловна,0.495,needs_review,PRES_612be9e9
UHoDhzUraoY,https://www.youtube.com/watch?v=UHoDhzUraoY,Лысенко В.Г. (Москва) Как лучше представить западному читателю историю индийской философии.,2019,О предмете индийской философии,Лысенко Виктория Георгиевна,0.496,needs_review,PRES_49ea3b23
HKPVeyX-ZnQ,https://www.youtube.com/watch?v=HKPVeyX-ZnQ,Гордийчук Николай Валентинович (Москва). Эстетика комического в поэме «Kaliṅkattupparaṇi»,2022,Смысл,Гордийчук Николай Валентинович,0.5,needs_review,PRES_83d38f95
