PersonID,DisplayName,TotalTalks,ZografTalks,RoerichTalks,FirstYearSeen,LastYearSeen,SeriesAttended
PERS_3e38ff72,Рожнова Дарья Антоновна,1,0,1,2024,2024,Roerich
PERS_72d46eb6,С. С. Чистяков,1,1,0,2017,2017,Zograf
PERS_dd17649f,Светлов Роман Викторович,1,1,0,2016,2016,Zograf
PERS_377db63e,Седукова Надежда Александровна,1,1,0,2026,2026,Zograf
PERS_ed83f502,Селиванова Тамара Петровна,1,0,1,2015,2015,Roerich
PERS_f82b6a8e,Сенина Наталья Викторовна,1,1,0,2025,2025,Zograf
PERS_a0f3d86d,Сергеева Варвара Алексеевна,1,1,0,2026,2026,Zograf
PERS_1130c736,Серебряный Сергей Дмитриевич,1,1,0,2020,2020,Zograf
PERS_bdaaf440,Слинько Елена Викторовна,1,1,0,2004,2004,Zograf
PERS_6b867946,Смирнова Екатерина Викторовна,1,1,0,2014,2014,Zograf
PERS_58e18506,Соколова Ирина Александровна,1,1,0,2026,2026,Zograf
PERS_bbd15f4f,Степин А.А.,1,1,0,2024,2024,Zograf
PERS_3d22e8d4,Стрелков Андрей Михайлович,1,1,0,2007,2007,Zograf
PERS_168a3a8b,Усенко Иван Сергеевич,1,1,0,2026,2026,Zograf
PERS_936e1165,Файбушевич Светлана Ивановна,1,1,0,2026,2026,Zograf
PERS_a638a4b3,Федорова Наталья Леонидовна,1,1,0,2026,2026,Zograf
PERS_6a165aa7,Хазизова Ксения Владимировна,1,0,1,2025,2025,Roerich
PERS_f3cf67c6,Харджендер Сингх Чаудхари,1,1,0,2026,2026,Zograf
PERS_f619aeed,Цендина Анна Дамдиновна,1,0,1,2025,2025,Roerich
PERS_48b3bec3,Ч. Санчай,1,0,1,2024,2024,Roerich
PERS_94aa5d0a,Чернавин Георгий Игоревич,1,0,1,2025,2025,Roerich
PERS_752884a2,Ш. Макмахуна,1,0,1,2017,2017,Roerich
PERS_2095dc59,Шалахов Евгений Геннадьевич,1,0,1,2024,2024,Roerich
PERS_526da44f,Шапошникова Дарья Сергеевна,1,0,1,2015,2015,Roerich
PERS_874cbfb7,Шарапова Александра Владимировна,1,1,0,2021,2021,Zograf
PERS_8a8c5d8b,Шелкович Владимир Михайлович,1,1,0,2006,2006,Zograf
PERS_00c3b0cc,Щербак Мария Борисовна,1,1,0,2022,2022,Zograf
PERS_b4cdbfb8,Эрман Владимир Гансович,1,1,0,2004,2004,Zograf
