entity_type,entity_id,field_name,field_value,source_type,confidence,checked_at,notes
organization,МАЭ РАН,alternateName,"[""Kunstkamera""]",authority_ids.json,unspecified,,
organization,МАЭ РАН,full_name_ru,Музей антропологии и этнографии имени Петра Великого (Кунсткамера) Российской академии наук,authority_ids.json,unspecified,,
organization,МАЭ РАН,name_en,Peter the Great Museum of Anthropology and Ethnography (the Kunstkamera),authority_ids.json,unspecified,,
organization,МАЭ РАН,url,https://www.kunstkamera.ru,authority_ids.json,unspecified,,
organization,МАЭ РАН,wikidata,Q618774,authority_ids.json,unspecified,,
organization,МГУ,alternateName,"[""MSU""]",authority_ids.json,unspecified,,
organization,МГУ,full_name_ru,Московский государственный университет имени М. В. Ломоносова,authority_ids.json,unspecified,,
organization,МГУ,name_en,Lomonosov Moscow State University,authority_ids.json,unspecified,,
organization,МГУ,ror,02drsyg33,authority_ids.json,unspecified,,
organization,МГУ,url,https://www.msu.ru,authority_ids.json,unspecified,,
organization,МГУ,wikidata,Q13164,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,alternateName,"[""Higher School of Economics""]",authority_ids.json,unspecified,,
organization,НИУ ВШЭ,full_name_ru,Национальный исследовательский университет «Высшая школа экономики»,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,name_en,HSE University,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,ror,03p90cg98,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,url,https://www.hse.ru,authority_ids.json,unspecified,,
organization,НИУ ВШЭ,wikidata,Q1340150,authority_ids.json,unspecified,,
organization,РГГУ,alternateName,"[""RSUH""]",authority_ids.json,unspecified,,
organization,РГГУ,full_name_ru,Российский государственный гуманитарный университет,authority_ids.json,unspecified,,
organization,РГГУ,name_en,Russian State University for the Humanities,authority_ids.json,unspecified,,
organization,РГГУ,url,https://www.rsuh.ru,authority_ids.json,unspecified,,
organization,РГГУ,wikidata,Q1056588,authority_ids.json,unspecified,,
organization,СПбГУ,alternateName,"[""SPbU""]",authority_ids.json,unspecified,,
organization,СПбГУ,full_name_ru,Санкт-Петербургский государственный университет,authority_ids.json,unspecified,,
organization,СПбГУ,name_en,Saint Petersburg State University,authority_ids.json,unspecified,,
organization,СПбГУ,ror,00k2yeb14,authority_ids.json,unspecified,,
organization,СПбГУ,url,https://spbu.ru,authority_ids.json,unspecified,,
organization,СПбГУ,wikidata,Q27621,authority_ids.json,unspecified,,
